rank,addr,count,pid,file_path,file_offset,symbol
1,0x00005651c49f91c0,45,20444,/home/ssy/lbr/test/test_lbr_sframe,0x11c0,main+0x100
2,0x00005651c49f91e5,45,20444,/home/ssy/lbr/test/test_lbr_sframe,0x11e5,main+0x125
3,0x00005651c49f90b0,22,20444,/home/ssy/lbr/test/test_lbr_sframe,0x10b0,_init+0xb0
4,0x00005651c49f91de,18,20444,/home/ssy/lbr/test/test_lbr_sframe,0x11de,main+0x11e
5,0x00005651c49f91d3,18,20444,/home/ssy/lbr/test/test_lbr_sframe,0x11d3,main+0x113
6,0x00007fc396d26b17,13,20444,/usr/lib/libc.so.6,0x43b17,random_r+0x17
7,0x00007fc396d269cb,13,20444,/usr/lib/libc.so.6,0x439cb,random+0x7b
8,0x00007fc396d26b38,13,20444,/usr/lib/libc.so.6,0x43b38,random_r+0x38
9,0x00007fc396d26b00,13,20444,/usr/lib/libc.so.6,0x43b00,random_r
10,0x00007fc396d26972,12,20444,/usr/lib/libc.so.6,0x43972,random+0x22
11,0x00007fc396d269a6,12,20444,/usr/lib/libc.so.6,0x439a6,random+0x56
12,0x00007fc396d269b6,12,20444,/usr/lib/libc.so.6,0x439b6,random+0x66
13,0x00007fc396d269c0,12,20444,/usr/lib/libc.so.6,0x439c0,random+0x70
14,0x00007fc396d269d4,12,20444,/usr/lib/libc.so.6,0x439d4,random+0x84
15,0x00007fc396d2674d,12,20444,/usr/lib/libc.so.6,0x4374d,rand+0xd
16,0x00007fc396d2674e,12,20444,/usr/lib/libc.so.6,0x4374e,rand+0xe
17,0x00007fc396d26740,11,20444,/usr/lib/libc.so.6,0x43740,rand
18,0x00007fc396d269d0,11,20444,/usr/lib/libc.so.6,0x439d0,random+0x80
19,0x00007fc396d26748,11,20444,/usr/lib/libc.so.6,0x43748,rand+0x8
20,0x00007fc396d26950,11,20444,/usr/lib/libc.so.6,0x43950,random
21,0x00007fc396d26b6c,11,20444,/usr/lib/libc.so.6,0x43b6c,random_r+0x6c
22,0x00005651c49f9260,8,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1260,main+0x1a0
23,0x00005651c49f9837,8,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1837,fibonacci+0x347
24,0x00005651c49f9847,6,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1847,fibonacci+0x357
25,0x00005651c49f9245,6,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1245,main+0x185
26,0x00005651c49f9689,6,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1689,fibonacci+0x199
27,0x00005651c49f9240,6,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1240,main+0x180
28,0x00005651c49f94f0,6,20444,/home/ssy/lbr/test/test_lbr_sframe,0x14f0,fibonacci
29,0x00005651c49f9684,6,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1684,fibonacci+0x194
30,0x00005651c49f926e,5,20444,/home/ssy/lbr/test/test_lbr_sframe,0x126e,main+0x1ae
31,0x00005651c49f980b,5,20444,/home/ssy/lbr/test/test_lbr_sframe,0x180b,fibonacci+0x31b
32,0x00005651c49f9265,4,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1265,main+0x1a5
33,0x00005651c49f926a,4,20444,/home/ssy/lbr/test/test_lbr_sframe,0x126a,main+0x1aa
34,0x00005651c49f924e,3,20444,/home/ssy/lbr/test/test_lbr_sframe,0x124e,main+0x18e
35,0x00005651c49f9807,3,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1807,fibonacci+0x317
36,0x00005651c49f9503,3,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1503,fibonacci+0x13
37,0x00005651c49f96b1,3,20444,/home/ssy/lbr/test/test_lbr_sframe,0x16b1,fibonacci+0x1c1
38,0x00005651c49f9542,3,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1542,fibonacci+0x52
39,0x00005651c49f9823,3,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1823,fibonacci+0x333
40,0x00005651c49f9661,3,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1661,fibonacci+0x171
41,0x00005651c49f924a,3,20444,/home/ssy/lbr/test/test_lbr_sframe,0x124a,main+0x18a
42,0x00005651c49f9810,3,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1810,fibonacci+0x320
43,0x00005651c49f96cd,2,20444,/home/ssy/lbr/test/test_lbr_sframe,0x16cd,fibonacci+0x1dd
44,0x00005651c49f9658,2,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1658,fibonacci+0x168
45,0x00007fc396d26b5e,1,20444,/usr/lib/libc.so.6,0x43b5e,random_r+0x5e
46,0x00005651c49f91ee,1,20444,/home/ssy/lbr/test/test_lbr_sframe,0x11ee,main+0x12e
47,0x00005651c49f9642,1,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1642,fibonacci+0x152
48,0x00007fc396d26b70,1,20444,/usr/lib/libc.so.6,0x43b70,random_r+0x70
49,0x00007fc396d26b73,1,20444,/usr/lib/libc.so.6,0x43b73,random_r+0x73
50,0x00005651c49f9190,1,20444,/home/ssy/lbr/test/test_lbr_sframe,0x1190,main+0xd0
