rank,addr,count,pid,file_path,file_offset,symbol
1,0x000055740383129b,17,179715,/home/ssy/lbr/test/test_lbr_sframe,0x129b,bubble_sort+0xce
2,0x00005574038311f0,17,179715,/home/ssy/lbr/test/test_lbr_sframe,0x11f0,bubble_sort+0x23
3,0x0000557403831222,15,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1222,bubble_sort+0x55
4,0x000055740383128b,15,179715,/home/ssy/lbr/test/test_lbr_sframe,0x128b,bubble_sort+0xbe
5,0x0000557403831337,13,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1337,fibonacci+0x3a
6,0x00005574038312fd,9,179715,/home/ssy/lbr/test/test_lbr_sframe,0x12fd,fibonacci
7,0x00005574038310b0,8,179715,/home/ssy/lbr/test/test_lbr_sframe,0x10b0,sleep@plt
8,0x00005574038315e5,8,179715,/home/ssy/lbr/test/test_lbr_sframe,0x15e5,main+0x269
9,0x0000557403831330,7,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1330,fibonacci+0x33
10,0x000055740383132b,6,179715,/home/ssy/lbr/test/test_lbr_sframe,0x132b,fibonacci+0x2e
11,0x0000557403831321,6,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1321,fibonacci+0x24
12,0x000055740383130d,5,179715,/home/ssy/lbr/test/test_lbr_sframe,0x130d,fibonacci+0x10
13,0x0000557403831314,5,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1314,fibonacci+0x17
14,0x0000557403831312,5,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1312,fibonacci+0x15
15,0x0000557403831332,5,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1332,fibonacci+0x35
16,0x00007f67f77b4740,4,179715,/usr/lib/libc.so.6,0x43740,rand
17,0x00005574038315ea,4,179715,/home/ssy/lbr/test/test_lbr_sframe,0x15ea,main+0x26e
18,0x00007f67f77b4b17,4,179715,/usr/lib/libc.so.6,0x43b17,random_r+0x17
19,0x00005574038316c8,4,179715,/home/ssy/lbr/test/test_lbr_sframe,0x16c8,main+0x34c
20,0x00007f67f77b4b38,4,179715,/usr/lib/libc.so.6,0x43b38,random_r+0x38
21,0x00007f67f77b49c0,4,179715,/usr/lib/libc.so.6,0x439c0,random+0x70
22,0x00007f67f77b4b00,4,179715,/usr/lib/libc.so.6,0x43b00,random_r
23,0x0000557403831643,4,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1643,main+0x2c7
24,0x00007f67f77b474e,4,179715,/usr/lib/libc.so.6,0x4374e,rand+0xe
25,0x00007f67f77b4748,4,179715,/usr/lib/libc.so.6,0x43748,rand+0x8
26,0x00007f67f77b4950,4,179715,/usr/lib/libc.so.6,0x43950,random
27,0x00005574038316d9,4,179715,/home/ssy/lbr/test/test_lbr_sframe,0x16d9,main+0x35d
28,0x0000557403831635,4,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1635,main+0x2b9
29,0x0000557403831620,4,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1620,main+0x2a4
30,0x00007f67f77b49cb,4,179715,/usr/lib/libc.so.6,0x439cb,random+0x7b
31,0x000055740383162e,4,179715,/home/ssy/lbr/test/test_lbr_sframe,0x162e,main+0x2b2
32,0x00007f67f77b49b6,4,179715,/usr/lib/libc.so.6,0x439b6,random+0x66
33,0x00007f67f77b474d,4,179715,/usr/lib/libc.so.6,0x4374d,rand+0xd
34,0x00007f67f77b4972,4,179715,/usr/lib/libc.so.6,0x43972,random+0x22
35,0x00007f67f77b49a6,3,179715,/usr/lib/libc.so.6,0x439a6,random+0x56
36,0x000055740383165c,3,179715,/home/ssy/lbr/test/test_lbr_sframe,0x165c,main+0x2e0
37,0x0000557403831655,3,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1655,main+0x2d9
38,0x000055740383164a,3,179715,/home/ssy/lbr/test/test_lbr_sframe,0x164a,main+0x2ce
39,0x000055740383166e,3,179715,/home/ssy/lbr/test/test_lbr_sframe,0x166e,main+0x2f2
40,0x0000557403831679,3,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1679,main+0x2fd
41,0x000055740383131c,3,179715,/home/ssy/lbr/test/test_lbr_sframe,0x131c,fibonacci+0x1f
42,0x0000557403831667,3,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1667,main+0x2eb
43,0x00007f67f77b4b6c,3,179715,/usr/lib/libc.so.6,0x43b6c,random_r+0x6c
44,0x00007f67f77b49d4,3,179715,/usr/lib/libc.so.6,0x439d4,random+0x84
45,0x00007f67f77b49d0,3,179715,/usr/lib/libc.so.6,0x439d0,random+0x80
46,0x0000557403831689,2,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1689,main+0x30d
47,0x0000557403831680,1,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1680,main+0x304
48,0x000055740383168b,1,179715,/home/ssy/lbr/test/test_lbr_sframe,0x168b,main+0x30f
49,0x0000557403831653,1,179715,/home/ssy/lbr/test/test_lbr_sframe,0x1653,main+0x2d7
50,0x000055740383169b,1,179715,/home/ssy/lbr/test/test_lbr_sframe,0x169b,main+0x31f
