rank,addr,count,pid,file_path,file_offset,symbol
1,0x0000562ff594235b,21,52512,/home/ssy/lbr/test/test_lbr_sframe,0x135b,sum_even_numbers+0x17
2,0x0000562ff5942375,21,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1375,sum_even_numbers+0x31
3,0x0000562ff59425e5,19,52512,/home/ssy/lbr/test/test_lbr_sframe,0x15e5,main+0x269
4,0x0000562ff59420b0,19,52512,/home/ssy/lbr/test/test_lbr_sframe,0x10b0,sleep@plt
5,0x0000562ff5942337,13,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1337,fibonacci+0x3a
6,0x00007f4892f5774d,11,52512,/usr/lib/libc.so.6,0x4374d,rand+0xd
7,0x00007f4892f579d0,11,52512,/usr/lib/libc.so.6,0x439d0,random+0x80
8,0x0000562ff59425ea,11,52512,/home/ssy/lbr/test/test_lbr_sframe,0x15ea,main+0x26e
9,0x00007f4892f5774e,11,52512,/usr/lib/libc.so.6,0x4374e,rand+0xe
10,0x0000562ff5942363,11,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1363,sum_even_numbers+0x1f
11,0x00007f4892f57b6c,11,52512,/usr/lib/libc.so.6,0x43b6c,random_r+0x6c
12,0x00007f4892f579a6,11,52512,/usr/lib/libc.so.6,0x439a6,random+0x56
13,0x0000562ff594236b,11,52512,/home/ssy/lbr/test/test_lbr_sframe,0x136b,sum_even_numbers+0x27
14,0x00007f4892f579b6,11,52512,/usr/lib/libc.so.6,0x439b6,random+0x66
15,0x00007f4892f579d4,11,52512,/usr/lib/libc.so.6,0x439d4,random+0x84
16,0x00007f4892f57b17,10,52512,/usr/lib/libc.so.6,0x43b17,random_r+0x17
17,0x00007f4892f57b38,10,52512,/usr/lib/libc.so.6,0x43b38,random_r+0x38
18,0x0000562ff59426d9,9,52512,/home/ssy/lbr/test/test_lbr_sframe,0x16d9,main+0x35d
19,0x00007f4892f579cb,9,52512,/usr/lib/libc.so.6,0x439cb,random+0x7b
20,0x00007f4892f579c0,9,52512,/usr/lib/libc.so.6,0x439c0,random+0x70
21,0x00007f4892f57b00,9,52512,/usr/lib/libc.so.6,0x43b00,random_r
22,0x00007f4892f57972,9,52512,/usr/lib/libc.so.6,0x43972,random+0x22
23,0x0000562ff59422fd,9,52512,/home/ssy/lbr/test/test_lbr_sframe,0x12fd,fibonacci
24,0x00007f4892f57740,9,52512,/usr/lib/libc.so.6,0x43740,rand
25,0x0000562ff5942635,8,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1635,main+0x2b9
26,0x00007f4892f57748,8,52512,/usr/lib/libc.so.6,0x43748,rand+0x8
27,0x00007f4892f57950,8,52512,/usr/lib/libc.so.6,0x43950,random
28,0x0000562ff5942643,8,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1643,main+0x2c7
29,0x0000562ff594262e,8,52512,/home/ssy/lbr/test/test_lbr_sframe,0x162e,main+0x2b2
30,0x0000562ff5942620,8,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1620,main+0x2a4
31,0x0000562ff59426c8,8,52512,/home/ssy/lbr/test/test_lbr_sframe,0x16c8,main+0x34c
32,0x0000562ff5942312,7,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1312,fibonacci+0x15
33,0x0000562ff5942332,7,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1332,fibonacci+0x35
34,0x0000562ff5942330,7,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1330,fibonacci+0x33
35,0x0000562ff594264a,7,52512,/home/ssy/lbr/test/test_lbr_sframe,0x164a,main+0x2ce
36,0x0000562ff5942655,7,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1655,main+0x2d9
37,0x0000562ff594232b,6,52512,/home/ssy/lbr/test/test_lbr_sframe,0x132b,fibonacci+0x2e
38,0x0000562ff5942321,6,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1321,fibonacci+0x24
39,0x0000562ff594265c,5,52512,/home/ssy/lbr/test/test_lbr_sframe,0x165c,main+0x2e0
40,0x0000562ff5942667,5,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1667,main+0x2eb
41,0x0000562ff594266e,4,52512,/home/ssy/lbr/test/test_lbr_sframe,0x166e,main+0x2f2
42,0x0000562ff5942679,4,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1679,main+0x2fd
43,0x0000562ff5942314,3,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1314,fibonacci+0x17
44,0x0000562ff5942692,3,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1692,main+0x316
45,0x0000562ff5942680,3,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1680,main+0x304
46,0x0000562ff594231c,3,52512,/home/ssy/lbr/test/test_lbr_sframe,0x131c,fibonacci+0x1f
47,0x0000562ff594268b,3,52512,/home/ssy/lbr/test/test_lbr_sframe,0x168b,main+0x30f
48,0x0000562ff594269d,3,52512,/home/ssy/lbr/test/test_lbr_sframe,0x169d,main+0x321
49,0x0000562ff594230d,3,52512,/home/ssy/lbr/test/test_lbr_sframe,0x130d,fibonacci+0x10
50,0x0000562ff5942629,2,52512,/home/ssy/lbr/test/test_lbr_sframe,0x1629,main+0x2ad
