rank,addr,count,pid,file_path,file_offset,symbol
1,0x000055d69e6e2337,23,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1337,fibonacci+0x3a
2,0x000055d69e6e22fd,22,180505,/home/ssy/lbr/test/test_lbr_sframe,0x12fd,fibonacci
3,0x000055d69e6e229b,22,180505,/home/ssy/lbr/test/test_lbr_sframe,0x129b,bubble_sort+0xce
4,0x000055d69e6e21f0,22,180505,/home/ssy/lbr/test/test_lbr_sframe,0x11f0,bubble_sort+0x23
5,0x000055d69e6e232b,14,180505,/home/ssy/lbr/test/test_lbr_sframe,0x132b,fibonacci+0x2e
6,0x000055d69e6e2321,13,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1321,fibonacci+0x24
7,0x000055d69e6e25e5,12,180505,/home/ssy/lbr/test/test_lbr_sframe,0x15e5,main+0x269
8,0x000055d69e6e20b0,12,180505,/home/ssy/lbr/test/test_lbr_sframe,0x10b0,sleep@plt
9,0x000055d69e6e2707,12,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1707,main+0x38b
10,0x000055d69e6e27ae,12,180505,/home/ssy/lbr/test/test_lbr_sframe,0x17ae,main+0x432
11,0x000055d69e6e2312,11,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1312,fibonacci+0x15
12,0x000055d69e6e2332,11,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1332,fibonacci+0x35
13,0x000055d69e6e228b,10,180505,/home/ssy/lbr/test/test_lbr_sframe,0x128b,bubble_sort+0xbe
14,0x000055d69e6e27a0,10,180505,/home/ssy/lbr/test/test_lbr_sframe,0x17a0,main+0x424
15,0x000055d69e6e2222,10,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1222,bubble_sort+0x55
16,0x000055d69e6e2330,10,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1330,fibonacci+0x33
17,0x000055d69e6e231c,8,180505,/home/ssy/lbr/test/test_lbr_sframe,0x131c,fibonacci+0x1f
18,0x000055d69e6e2314,8,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1314,fibonacci+0x17
19,0x000055d69e6e230d,8,180505,/home/ssy/lbr/test/test_lbr_sframe,0x130d,fibonacci+0x10
20,0x00007f0152ec374e,7,180505,/usr/lib/libc.so.6,0x4374e,rand+0xe
21,0x000055d69e6e25ea,7,180505,/home/ssy/lbr/test/test_lbr_sframe,0x15ea,main+0x26e
22,0x00007f0152ec39d4,6,180505,/usr/lib/libc.so.6,0x439d4,random+0x84
23,0x00007f0152ec39cb,6,180505,/usr/lib/libc.so.6,0x439cb,random+0x7b
24,0x00007f0152ec3740,6,180505,/usr/lib/libc.so.6,0x43740,rand
25,0x000055d69e6e26c8,6,180505,/home/ssy/lbr/test/test_lbr_sframe,0x16c8,main+0x34c
26,0x00007f0152ec3b6c,6,180505,/usr/lib/libc.so.6,0x43b6c,random_r+0x6c
27,0x000055d69e6e26d9,6,180505,/home/ssy/lbr/test/test_lbr_sframe,0x16d9,main+0x35d
28,0x00007f0152ec3b17,6,180505,/usr/lib/libc.so.6,0x43b17,random_r+0x17
29,0x00007f0152ec3972,6,180505,/usr/lib/libc.so.6,0x43972,random+0x22
30,0x000055d69e6e2763,6,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1763,main+0x3e7
31,0x00007f0152ec39a6,6,180505,/usr/lib/libc.so.6,0x439a6,random+0x56
32,0x00007f0152ec3b00,6,180505,/usr/lib/libc.so.6,0x43b00,random_r
33,0x00007f0152ec3748,6,180505,/usr/lib/libc.so.6,0x43748,rand+0x8
34,0x00007f0152ec39b6,6,180505,/usr/lib/libc.so.6,0x439b6,random+0x66
35,0x00007f0152ec374d,6,180505,/usr/lib/libc.so.6,0x4374d,rand+0xd
36,0x000055d69e6e271a,6,180505,/home/ssy/lbr/test/test_lbr_sframe,0x171a,main+0x39e
37,0x00007f0152ec39d0,6,180505,/usr/lib/libc.so.6,0x439d0,random+0x80
38,0x00007f0152ec3b38,6,180505,/usr/lib/libc.so.6,0x43b38,random_r+0x38
39,0x00007f0152ec3950,6,180505,/usr/lib/libc.so.6,0x43950,random
40,0x00007f0152ec39c0,6,180505,/usr/lib/libc.so.6,0x439c0,random+0x70
41,0x000055d69e6e262e,5,180505,/home/ssy/lbr/test/test_lbr_sframe,0x162e,main+0x2b2
42,0x000055d69e6e2620,5,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1620,main+0x2a4
43,0x000055d69e6e2797,4,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1797,main+0x41b
44,0x000055d69e6e275a,4,180505,/home/ssy/lbr/test/test_lbr_sframe,0x175a,main+0x3de
45,0x000055d69e6e2635,4,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1635,main+0x2b9
46,0x000055d69e6e2643,4,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1643,main+0x2c7
47,0x000055d69e6e2761,4,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1761,main+0x3e5
48,0x000055d69e6e274f,4,180505,/home/ssy/lbr/test/test_lbr_sframe,0x174f,main+0x3d3
49,0x000055d69e6e266e,3,180505,/home/ssy/lbr/test/test_lbr_sframe,0x166e,main+0x2f2
50,0x000055d69e6e2679,3,180505,/home/ssy/lbr/test/test_lbr_sframe,0x1679,main+0x2fd
