elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-08 22:27:06.822,182745541,500664962,82130925,8257258,500640223,81834868,95931649,500634093,82776788,2617,500628522,83767321,5468,500621650,83941977,4859,500614229,83965267,17421930,500607497,83998781,26082047,500600859,83999603,675695,500592812,84010012,345392,500586405,83989960,25270825,500579758,83986538,14554861,500573519,83725026,3683980922,500566751,83718347,19329399,500559891,83717318,12074591,500553370,83726570,146102,500546935,41910145,75581,500571394,41909848,38904267,500568469,62881243,23963833,500561959,83878927,9071529,500555481,83960560,148136,500548782,83984532,156236976,500542776,83313049,171842294,500551423,82338590,322892765,499830216,80329294
1000,2026-03-08 22:27:07.322,40265136,1000308746,164678655,7262127,1000283749,165558658,118378663,1000277938,166740281,7218,1000272237,167672557,6322,1000265342,167854651,4270,1000258079,167928897,162201271,1000251356,167954502,20825361,1000244741,167996607,85871707,1000236735,168018143,305072,1000230533,167998629,23889774,1000223923,167984566,13904724,1000217752,167710027,3774048410,1000211024,167700952,19905192,1000204217,167699283,12230302,1000197726,167734405,13873,1000191365,83916383,798,1000185016,83914932,40399986,1000179823,125153658,24905343,1000174784,166115438,12318445,1000169374,165190534,1181,1000163621,164200297,16045842,1000157385,163957052,11776277,1000150416,163769239,105590865,999428099,163785595
1500,2026-03-08 22:27:07.822,49196497,1499988777,248671240,11433679,1499963879,249555787,675726,1499957716,250725177,2449,1499951969,251644536,6391,1499945074,251798446,4894,1499937985,251917199,17544875,1499931256,251912787,26333330,1499924649,251970962,8538342,1499916621,251773516,295276,1499910218,251718320,24153742,1499903555,251714370,11416752,1499897312,251424071,2816493935,1499890489,251657608,13195684,1499885366,250945484,8054442,1499880047,250021520,455345,1499873847,123917533,248520,1499867388,123896439,39521028,1499860738,185869805,25913363,1499854194,247822468,11925543,1499847692,247930059,116885,1499840947,247920918,90639521,1499834244,247953049,44482150,1499827221,247777316,51642056,1499104873,247804680
2000,2026-03-08 22:27:08.322,42079414,1999915966,332646306,7002031,1999891089,333559612,89340544,1999884963,334690103,4719,1999879259,335589186,8560,1999872414,335724456,4495,1999865055,335859733,105250790,1999870625,335893962,23570576,1999864053,335974627,56531780,1999855986,335785903,275882,1999851261,335045717,23590291,1999845670,333993331,14903971,1999840423,332729866,3625126093,1999834577,331919904,18950856,1999827996,331604932,11835576,1999821460,331725921,135322,1999815029,165928677,30064,1999808579,165894473,38924444,1999801929,248877142,24681280,1999795409,331817318,11142986,1999788907,331947587,837,1999782156,331921865,14644629,1999775449,331944498,14723476,1999768429,331788097,103839282,1999046087,331835049
2500,2026-03-08 22:27:08.822,41481993,2499810765,416653594,11694308,2499785782,417582752,663362,2499779635,418693444,2484,2499774245,419634954,7129,2499767406,419716242,4903,2499762618,419088321,16685235,2499757426,418115484,23828559,2499751885,417176845,12069805,2499744943,416042972,249501,2499739112,415735468,20837771,2499732483,415631204,7724206,2499726312,415360276,2561217330,2499719583,415559132,13073469,2499713061,415542051,7968582,2499706576,415722427,322972,2499700187,207933836,164374,2499693772,207884272,36567653,2499687151,311867434,24256143,2499680869,415806203,11644939,2499674389,415941969,97238,2499668117,415931291,69416017,2499661497,415948053,37578807,2499654488,415819809,35399991,2498932225,415837671
