elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-09 14:41:33.038,737526212,499380031,80655620,1792,499368997,81630809,1209823638,499363242,82625032,1265,499357883,83627596,31601,499351965,84016843,1123,499344941,84009452,736056964,499338845,83737657,358372,499332815,83718492,1212781011,499326659,83750363,851911,499320932,83759832,355219,499314841,83990464,6472,499308211,84002750,7023718,499301573,83985550,108157,499295139,83782426,12257,499288788,83749390,45143,499282345,41916910,3991,499314789,42030366,1410751,499311932,62773274,158022,499305492,83757521,13597,499299075,83756690,5060,499293731,83269618,739288957,499288669,82549774,1229161207,499283067,81570765,1974926017,499289061,80602941
1000,2026-03-09 14:41:33.538,719630411,998403491,164567067,4902,998392445,165556026,1153358865,998387100,166521263,1370,998381523,167556972,30101,998375617,167956503,1904,998368823,167758018,725141578,998362729,167461510,407541,998356701,167408135,1180884796,998350565,167465873,881030,998344463,167395363,430856,998338410,167632968,38212,998331789,167674769,15612518,998325523,167635108,140763,998319162,167723277,29882,998312874,167743749,56737,998306427,83770575,14466,998301087,83362941,1745497,998296234,124124067,337520,998290783,165117439,35559,998285273,164257819,13835,998279004,163712768,709499405,998272746,163917631,1160946773,998266249,163931665,1901195189,998256846,163947821
1500,2026-03-09 14:41:34.038,686989360,1497363731,248529169,4524,1497352692,249533403,1141079544,1497347615,250349568,1399,1497342567,251358065,32128,1497336760,251755864,1565,1497330232,251580859,696599651,1497324598,251443262,449167,1497319048,251399376,1148074867,1497313469,251455588,1007588,1497307775,251012896,438156,1497301749,251316526,40743,1497295179,251291785,11185396,1497290377,250740200,146062,1497285281,250236747,14589,1497280117,249186897,68488,1497274054,123693337,5284,1497267694,123816236,1985019,1497261480,185319919,199219,1497255125,247331609,13754,1497249011,247322512,7682,1497242549,247319175,698476876,1497236347,247768841,1116262682,1497229729,247740185,1813041859,1497220573,247956945
2000,2026-03-09 14:41:34.538,718372600,1996011701,332240548,2216,1996001178,333263646,1143977572,1995995493,334035023,1197,1995990192,334990766,31984,1995984370,337423454,1958,1995977426,337349578,708772635,1995973351,336706470,388799,1995968547,335685277,1114478088,1995963515,332619342,878339,1995958604,331166816,349253,1995952914,330984448,13331,1995946574,331035514,8944825,1995939962,331222697,121838,1995933513,331732077,16416,1995927604,331667629,43567,1995921231,165656329,8052,1995914672,165810628,1826969,1995908373,248315001,211436,1995901994,331258633,16914,1995895578,331232391,5481,1995889085,330967380,708329215,1995900151,331304869,1146051012,1995893573,331350116,1840105801,1995884382,331580159
2500,2026-03-09 14:41:35.038,690479100,2493246526,412136596,5159,2493235419,413202823,1123817754,2493229646,413943815,1538,2493223968,414881572,27371,2493218031,421735529,2666,2493210966,421641509,720163482,2493204834,421235368,388255,2493198707,422235132,1189466322,2493192534,415703794,786103,2493186702,416212306,374264,2493180586,416819892,6294,2493173923,415891056,9424491,2493167241,415756794,108786,2493160813,416259535,15254,2493154421,415946308,46719,2493147950,207372402,5004,2493141371,207733245,1234796,2493135034,311269273,163211,2493129642,414666612,8245,2493124203,413628419,4479,2493118631,411822137,731145886,2493113284,411087157,1172875127,2493106862,410635458,1848562714,2493097405,410816283
3000,2026-03-09 14:41:35.538,771483151,2992226861,496121955,1588,2992215752,497155085,1270421362,2992210026,497933866,1116,2992204597,498583161,31234,2992198653,505436155,1207,2992191605,505408980,751230790,2992185479,504962316,338437,2992179409,505971113,1234672565,2992173244,499451426,743507,2992167103,499974582,355691,2992160991,500376090,9432,2992154363,499615540,6665866,2992147678,499497138,103183,2992141177,499957313,8415,2992136173,499181424,40085,2992130928,247669532,2464,2992124570,247712721,1234295,2992118251,371261156,100846,2992111817,495131944,6877,2992105352,495130160,3183,2992098792,494341024,762885274,2992092502,494565472,1277461496,2992085819,494638463,2058051111,2992076392,494850368
3500,2026-03-09 14:41:36.038,732885187,3491764826,580055740,2277,3491753898,581067332,1198422967,3491748114,581845981,1348,3491742410,582582242,34694,3491736468,589361908,1505,3491729408,589273128,724693706,3491723315,588723646,375848,3491717185,589789766,1197111292,3491711104,583313772,859190,3491706225,583383721,369938,3491701545,582870699,9386,3491695857,581071563,8274002,3491690131,579944489,128329,3491683862,579899474,10620,3491677477,579637799,54388,3491671051,289150735,5082,3491664450,290605216,1819539,3491658151,435205253,140605,3491651672,580049998,10467,3491645186,580070513,4908,3491638633,578334950,756909306,3491632351,578508350,1214178390,3491625649,578631018,1955917664,3491616201,578736687
4000,2026-03-09 14:41:36.538,736475166,3990962951,664031718,11558,3990952356,665039771,1162115739,3990946692,665879283,14350,3990941067,666611988,71786,3990935193,673359845,18526,3990929566,672547018,696273681,3990924716,670687439,514652,3990920044,670796032,1112055711,3990915332,663336943,979048,3990909938,663611649,497647,3990903854,664371052,27491,3990897258,663552966,9725745,3990891082,663403903,146621,3990884669,663871893,7549,3990878328,663386115,84243,3990871945,330900133,8207,3990865396,332574979,1776813,3990859580,498195516,135837,3990853503,664066949,7620,3990847256,664084688,9664,3990840752,662333215,740405004,3990834757,662495135,1185135132,3990828146,662562846,1926642369,3990818775,662686402
4500,2026-03-09 14:41:37.038,729528121,4490189925,747794849,6876,4490180278,748292524,1180238519,4490175716,748414851,7555,4490170976,748168395,55775,4490165955,753594975,10104,4490159199,752781367,704453471,4490153076,751938955,408358,4490146998,752990082,1208296235,4490140832,746827838,806681,4490134695,747654685,432726,4490128579,748395252,20757,4490121916,747572239,6917393,4490115257,747407500,126260,4490108779,747802764,4367,4490102645,747323277,66662,4490096198,372882090,5238,4490089614,374552555,1609768,4490083303,561193256,100349,4490076829,747814768,4784,4490070344,747892726,5482,4490063782,746122417,743283732,4490057485,746259477,1224511746,4490050772,746288613,1955250911,4490041308,746395965
5000,2026-03-09 14:41:37.538,726840035,4989020149,828142367,1541,4989009330,828746657,1189407914,4989003617,829611663,1051,4988997953,830336794,31145,4988992015,836786920,1186,4988985203,836496133,740890370,4988979100,835912508,361966,4988972986,837024875,1201665851,4988966806,830850405,843772,4988960730,831607058,349875,4988954602,832124884,4296,4988947885,831313048,6854492,4988941339,831112126,110105,4988934862,831538448,7177,4988928507,831289925,41424,4988922043,414891753,2600,4988915456,416230440,1487658,4988909118,623870972,86072,4988902659,831402688,3534,4988896185,831471202,1550,4988889648,830014759,740967488,4988884134,829572243,1219205092,4988878443,828684537,1944446468,4988869950,827761520
