Timestamp,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-loads,L1-icache-load-misses,l1d.replacement,l1d_pend_miss.fb_full,l1d_pend_miss.pending,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-references,cache-misses,mem-loads,mem-stores,mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any
2026-01-10 22:28:39,15209205,24588,3909704,3650,59622,25820,8940111,627531,4119158,N/A,1897059,834383,634933,29940968,297876,67055,51597,27986,2313812,490370,43302,65883,13456132,6308680,13674852
2026-01-10 22:28:40,11020354,47790,8419294,4578,30378,27062,13014843,1184393,7341571,N/A,1619112,1412977,1461310,51700174,448275,153475,173128,118614,4271800,2227253,257013,147665,11473914,7313686,19680031
2026-01-10 22:28:42,63273447,40445,29099703,2307,102264,24983,67202197,2554572,22552496,N/A,2285729,2583682,306159,50697547,599114,122122,85240,54742,5254290,1267021,57838,110135,68219304,28241604,99930020
2026-01-10 22:28:43,62874876,38536,23449563,2221,94030,19685,62771995,2419215,22293621,N/A,2226921,2624907,50625,39990382,511064,81229,75385,33721,6231691,1445902,83763,104983,61801400,23350129,79481316
2026-01-10 22:28:44,9229607,28116,4123819,3848,73245,18631,6227705,430443,4035685,N/A,1418141,545540,245628,17781652,196926,42141,58017,22133,2671776,686586,43855,75861,9236419,5157677,12276890
2026-01-10 22:28:45,14322744,21034,1036007,1634,21006,15266,4414941,456021,3756094,N/A,928151,802721,394655,13120823,171612,28422,167106,140698,1713807,766394,28786,367316,12195927,3902947,7350907
2026-01-10 22:28:46,11263649,37276,8267303,4281,67322,24404,12583333,625100,6611789,N/A,1653342,985357,1081132,23871895,228760,39451,175657,198116,2997468,1214718,63872,227566,12863341,7629323,22700900
2026-01-10 22:28:47,4145261,23527,2437784,2855,15138,13967,4863227,399927,2778892,N/A,862871,437791,143674,7399218,111364,20056,42219,13690,1520465,366230,17941,51217,4321766,1700408,5821415
