elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-09 14:41:50.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,2026-03-09 14:41:50.595,3435,28602,28602,81,28602,28602,1689,28602,28602,4,28602,28602,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0
1500,2026-03-09 14:41:51.095,0,28602,28602,0,28602,28602,0,28602,28602,0,28602,28602,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0,0,28602,0
2000,2026-03-09 14:41:51.595,2783,46368,46368,75,46368,46368,1367,46368,46368,3,46368,46368,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0
2500,2026-03-09 14:41:52.095,0,46368,46368,0,46368,46368,0,46368,46368,0,46368,46368,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0,0,46368,0
3000,2026-03-09 14:41:52.595,3352,65538,65538,77,65538,65538,1669,65538,65538,3,65538,65538,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0
3500,2026-03-09 14:41:53.095,0,65538,65538,0,65538,65538,0,65538,65538,0,65538,65538,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0,0,65538,0
4000,2026-03-09 14:41:53.595,3244,91476,91476,78,91476,91476,1622,91476,91476,3,91476,91476,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0
4500,2026-03-09 14:41:54.095,0,91476,91476,0,91476,91476,0,91476,91476,0,91476,91476,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0,0,91476,0
5000,2026-03-09 14:41:54.595,2948,111185,111185,72,111185,111185,1480,111185,111185,3,111185,111185,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0
5500,2026-03-09 14:41:55.095,0,111185,111185,0,111185,111185,0,111185,111185,0,111185,111185,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0,0,111185,0
6000,2026-03-09 14:41:55.595,1874,139152,139152,40,139152,139152,982,139152,139152,4,139152,139152,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0,0,139152,0
