elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-08 22:22:46.396,75682941,495316956,80216611,7377331,495301261,81155800,11273656,495293869,83028089,21567,495287773,83958429,46392,495279839,84029053,25480,495271376,84026820,15835118,495263392,82789968,19465794,495255638,82918234,2093346,495237057,82932663,847381,495223624,82949719,19851143,495215607,84303419,5965889,495207261,84222652,2646805827,495197987,84183125,13325593,495190026,84119281,8192294,495181398,83099292,336609,495172327,42572484,169130,495193561,42594853,32449084,495189164,62985704,20648229,495181454,82830815,7525643,495173638,80911756,200264,495180871,79868547,122546218,495173218,79302868,106366465,495164722,79293799,189679908,495157180,79249869
1000,2026-03-08 22:22:46.896,83757847,989067876,164548423,8878463,989052284,165496196,57875275,989044916,166419042,5305,989038763,166668193,12166,989030868,166722254,7449,989022500,166872746,89859654,989014528,165687866,22163704,989024619,166026578,58568221,989007243,165088458,568061,988994606,164115395,20519313,988987704,164377713,13086097,988979623,163749420,3546173950,988970417,163777117,18364321,988962562,163655685,12190344,988953931,163719336,59954,988944811,83282547,58823,988937720,82295064,36520984,988928645,123701618,24346873,988919674,164492759,11830085,988910781,163531230,73478,988902169,164341378,75616154,988894164,163558950,66383655,988885955,164377908,150443856,988878079,164416532
1500,2026-03-08 22:22:47.396,74368956,1485323423,248661848,8417659,1485309229,249047624,49677066,1485302992,248959673,3552,1485297853,248370095,9340,1485290931,247105028,4953,1485282730,246751599,71261933,1485274782,245509780,20419804,1485266979,246236061,58516531,1485248395,246224490,411288,1485234740,246249842,23777893,1485226741,247504852,14722130,1485218413,246792447,3464787717,1485209152,246906351,15934765,1485201090,246821402,10090357,1485192490,246861887,255556,1485183736,124890639,124128,1485176373,124003940,39295459,1485167339,186412456,25754775,1485158291,248159915,11916455,1485149350,247428936,79640,1485140612,248242078,66980264,1485132590,247455151,54726003,1485124046,248306885,131661001,1485116270,248239379
2000,2026-03-08 22:22:47.896,15074263,1974918133,330007974,6528911,1974902465,330763308,23527959,1974895119,330695116,8772,1974889057,330256044,22557,1974881356,329888125,15641,1974872902,328911866,45984616,1974864970,328426543,15842993,1974857241,329199467,51387295,1974838733,330843674,2119555,1974825278,331684700,18066842,1974817345,333144758,6999694,1974811076,331902908,2402522273,1974803151,329499301,11686492,1974796642,327804957,7378186,1974789117,325894337,182918,1974780333,164141712,79169,1974772970,163231965,32925875,1974763931,245271694,21176916,1974754968,327760350,9001183,1974746072,327189719,35293,1974737393,327937015,23838995,1974729437,328248150,2136397,1974721008,328993291,16819787,1974713129,329525552
2500,2026-03-08 22:22:48.396,18521990,2470603648,413316520,8619941,2470587901,413793585,9778156,2470580659,413739828,21488,2470576082,413790041,22913,2470569494,412301232,27270,2470562014,410572081,101967102,2470555054,409129001,15973294,2470547489,408513638,130949702,2470529152,410349918,883949,2470515496,411188463,15796761,2470507500,412686870,4553917,2470499162,411932530,2786842400,2470489986,410500129,14082035,2470482011,409823201,9513872,2470473421,408832732,158766,2470464306,206688184,17092,2470456904,205816908,38650043,2470447867,309635811,25690394,2470438861,413829951,11685871,2470429937,412390030,11481,2470421197,413115758,16448956,2470413196,412525555,1939336,2470404659,412371278,19531358,2470396714,412839851
3000,2026-03-08 22:22:48.896,16314847,2960533386,493355938,7932571,2960518202,495010614,2098744,2960511256,495004376,8157,2960505529,493552550,20927,2960497924,494124231,13688,2960489740,493321719,35039601,2960482060,492892500,18997471,2960474798,493690290,47214556,2960469271,494482075,1467855,2960457266,495080357,19406845,2960450659,495493718,12220460,2960443676,492967504,3601499757,2960435985,492598622,16969119,2960428475,492209603,10367854,2960420103,491314687,323152,2960411473,245955325,170410,2960404222,244965831,36805071,2960395300,369287627,24169845,2960386455,494202985,10895824,2960377673,493876976,115616,2960369114,494663560,70170493,2960361766,492897527,27023970,2960353467,491629313,26089345,2960345951,492950466
3500,2026-03-08 22:22:49.396,71523703,3454627200,578214228,8064680,3454613216,579448366,56633059,3454606903,578599601,5940,3454601781,575108786,12758,3454594763,575636130,8726,3454586543,574419983,37141393,3454578560,572964814,19039784,3454570816,573716892,49298525,3454552219,573605255,751531,3454538873,574527951,19736086,3454530871,575957347,10915113,3454522525,574619261,3323048182,3454513472,575248054,15958214,3454505412,575013502,9915637,3454496824,574249238,160783,3454487716,287602863,79419,3454480335,286511587,38563719,3454471248,431546357,25017652,3454462256,577289981,11839360,3454453335,577006256,56989,3454444591,577782863,55315718,3454436576,576052898,42595899,3454428032,575545922,128631905,3454420216,577788004
4000,2026-03-08 22:22:49.896,13778327,3954081810,658621664,8133044,3954066593,659887462,15406568,3954059276,660054831,4077,3954053534,657538924,7685,3954045706,659018100,5651,3954037265,658310323,72141229,3954029294,656796207,21193638,3954021630,657596678,67536619,3954003079,657503357,329993,3953989451,658437042,21113777,3953981580,659863077,12957534,3953973268,658489883,3239014249,3953964013,659151686,15683183,3953956027,658912539,9440732,3953947461,658182350,273694,3953938383,329539881,121383,3953930991,328473635,33779174,3953921947,494517326,22821776,3953912981,661217264,11176089,3953904096,660928178,41929,3953917985,661705252,31238308,3953911193,659493157,2231386,3953903727,657992211,14555586,3953897068,659226493
4500,2026-03-08 22:22:50.396,17939048,4450519563,741624874,5489491,4450504676,743289343,1249312,4450497332,743613474,12956,4450491498,741268807,25208,4450483716,742729576,16329,4450475460,742404081,11965966,4450467538,740702186,15030973,4450460397,743411160,1154079,4450441821,743315433,704900,4450428276,743863363,16536461,4450420338,745386932,8548944,4450412710,742173768,3202392088,4450403556,742906585,11836019,4450395629,742623398,7487406,4450389854,741159183,320974,4450382456,369327482,259504,4450375443,368046001,25686584,4450366463,553918717,18643270,4450357537,740473100,6947716,4450348708,740472032,224420,4450340046,741217813,68396478,4450332085,739685031,38202015,4450323652,739180257,53672096,4450315890,741195502
5000,2026-03-08 22:22:50.896,10622772,4947935073,825447139,5846067,4947919575,827025143,867968,4947912314,827300182,6093,4947906325,824995596,8099,4947898583,826515409,5032,4947890237,825830416,10708779,4947882344,824196743,15100949,4947876972,826393250,715428,4947859852,827124994,403469,4947848222,827106814,14414208,4947841766,827667486,6659332,4947834145,823974287,2713609340,4947825094,822898549,9993603,4947817175,822584206,6904843,4947808648,821491728,337346,4947799696,410832041,327312,4947792565,409820905,24935399,4947783646,616636755,18372712,4947774781,824185114,7109281,4947765964,824089566,235318,4947757360,825095056,64317904,4947749469,823623040,33631066,4947741650,823087433,35804905,4947733910,825036557
