elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-08 22:24:05.523,12187744,494700394,80179149,5660369,494688912,81062682,22871104,494682763,82077381,5129,494677218,83028771,6004,494671334,82802177,5050,494663211,82861595,58058313,494656743,82857343,14095259,494650540,82730509,52539482,494644372,82972552,496714,494637850,82766473,14320462,494631480,82704758,5356406,494625259,83049741,2598638561,494618975,83189809,11247691,494612767,83256942,8522428,494606444,83446563,162965,494599975,41549072,64794,494633332,41314656,26596539,494632150,61889062,20304169,494626130,82630010,8482106,494619557,82920745,4570,494630731,82582126,13391630,494625727,81965314,834934,494620689,81057760,14143287,494615818,79889656
1000,2026-03-08 22:24:06.023,62435915,993743315,164149585,7489726,993731787,165053329,25160859,993725517,165843526,2943,993719904,166747996,5316,993714006,166545047,4837,993706073,166596444,45644190,993699565,166606019,15759682,993693254,166440104,59326392,993686816,166662384,400965,993680217,166429553,16856550,993673838,166568273,9045263,993667551,166999068,3163721021,993661168,167152729,14686881,993654839,167251655,10662922,993648492,167338877,158139,993641936,83423808,78273,993636810,82780642,34850231,993631270,123322993,24868626,993625352,164075986,11084962,993619387,163376048,121292,993612986,162855004,83987734,993606277,163234607,58694323,993599361,163314424,119568126,993592758,163175525
1500,2026-03-08 22:24:06.523,44425747,1493573902,248138140,6687882,1493562458,249036281,83291479,1493572996,249820311,4747,1493567500,250727681,4871,1493561664,250492734,4309,1493553574,250544832,124490762,1493547050,250566387,21760463,1493540884,250407726,65370466,1493534491,250685564,380075,1493528033,250434572,23150026,1493521629,250496835,16720018,1493515354,250918159,3909952534,1493511606,250627507,17134679,1493506686,249746446,10462477,1493501518,248892752,143493,1493495255,123398438,67349,1493488469,123271768,36879965,1493481593,184801391,24494008,1493474854,246565638,11761508,1493468001,246849128,25766,1493461344,246797909,21237167,1493454782,247195095,731254,1493447901,247249972,25126101,1493441327,247124257
2000,2026-03-08 22:24:07.023,16607366,1993223659,332108117,8936076,1993212101,333044930,693084,1993206710,333779809,2995,1993202592,334645254,4220,1993197084,334392145,4863,1993189237,334432640,43357659,1993182741,334480416,22646752,1993177340,334383073,80378940,1993172996,334226663,418583,1993167532,332913992,15634265,1993162061,331981301,2875475,1993157181,331375699,1611238977,1993150996,330869197,11210324,1993144649,330997343,10134842,1993138330,331133163,382984,1993131718,165395072,72109,1993124933,165287985,41923502,1993118087,247804320,28418604,1993111238,330565106,14403686,1993104375,330842737,1729,1993097692,330817235,17081249,1993091201,331209092,704623,1993084280,331283167,17486344,1993077669,331158389
2500,2026-03-08 22:24:07.523,116690727,2493005947,416100629,7156621,2492994509,417067933,69800031,2492988403,417782845,3007,2492982865,418633297,5207,2492979014,417918767,4675,2492972078,416918176,15877022,2492966768,416002810,21875175,2492961713,414896491,9940855,2492955582,414598776,323455,2492949000,414271839,19697090,2492942745,414348425,11083326,2492936594,414698589,2969893890,2492930291,414818635,15345741,2492924397,414969242,10779554,2492918132,415055649,110138,2492911586,207352634,31603,2492904861,207295427,38684791,2492898015,310808998,24784628,2492891229,414557069,10264633,2492884350,414846320,109373,2492877847,414774864,108230595,2492871194,415178423,107981174,2492864292,415250622,238952599,2492857950,415128974
