elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
5500,2026-03-09 14:39:38.595,38992834,5486612997,914772811,5143861,5486601409,912016313,7822245,5486594753,914133194,3853,5486588747,915424905,7466,5486582277,914917312,4283,5486575002,914601840,70766341,5486568539,913620046,20368515,5486561762,913545714,83568233,5486555426,914101188,275858,5486549077,914296594,18960933,5486542753,914252633,16634097,5486536390,913851924,3038841044,5486529588,913842721,12493733,5486523347,912659230,9084542,5486516610,913156361,159623,5486510232,458069977,122160,5486503462,459723219,33528797,5486496536,688158168,23507280,5486489751,916562404,9476200,5486483203,915522145,84277,5486478088,913033171,73541776,5486472654,916142331,53732394,5486466571,914894775,91752216,5486460870,914124846
6000,2026-03-09 14:39:39.095,109861391,5985501604,998783466,4879623,5985489913,996025579,38828095,5985483257,998059610,3042,5985477251,999333410,8763,5985470786,998528873,4826,5985463512,998206981,42284862,5985457007,997261492,17102042,5985450227,997191287,56394498,5985456800,998036650,273268,5985450453,998170518,16237404,5985444017,998131320,13072661,5985437651,997736874,3230242309,5985430862,997476658,15024452,5985424374,996139174,12448640,5985417640,996675131,17572,5985411204,500030510,1038,5985406477,501208911,32722180,5985400661,749641047,23139216,5985394969,998024148,9216500,5985389419,996004049,141747,5985382559,993485259,132065820,5985375841,997599435,116342584,5985368765,997364641,248066366,5985362079,997619717
6500,2026-03-09 14:39:39.595,15601472,6484458413,1082171448,5318768,6484446768,1079486163,20475835,6484440164,1081467675,3772,6484434234,1082746479,4109,6484428147,1082444107,4368,6484420953,1082096570,101263003,6484414517,1081149916,15188088,6484407822,1081089826,104489636,6484401516,1081879090,342275,6484395223,1082040709,16844985,6484388853,1082027363,17084236,6484382531,1081637999,3398859518,6484377163,1080864832,14254140,6484371901,1078501789,11238218,6484366223,1078097535,159072,6484360273,540035850,87879,6484353555,541671612,30786371,6484346601,811098868,22763120,6484339875,1080442056,10746573,6484333426,1079444479,69294,6484326373,1077441550,44819509,6484319729,1081473399,14938184,6484313021,1081272086,16317982,6484306420,1081506623
7000,2026-03-09 14:39:40.095,66153110,6982828650,1166128545,4738949,6982817159,1163170899,75785134,6982810559,1165146002,3196,6982804608,1166442907,5694,6982798269,1166137235,4671,6982791037,1165961929,101965516,6982784631,1165094434,16733038,6982777898,1164825940,77776717,6982773629,1165100442,391547,6982769074,1164278831,16603567,6982763739,1163235381,16675468,6982758963,1161827256,3317712107,6982752435,1161026745,15345332,6982746002,1159673163,12598018,6982739286,1160295926,19553,6982732907,581733990,510915,6982726175,583352506,32918186,6982719205,873774460,23536185,6982712496,1164117539,10305194,6982706053,1163468348,49643,6982698966,1161113196,50383231,6982692294,1165183032,29278382,6982685250,1164934593,95534224,6982678598,1165118958
7500,2026-03-09 14:39:40.595,129764666,7481392224,1250139908,4555414,7481380728,1247153492,85774995,7481374327,1249118929,3189,7481381436,1250395005,5921,7481377172,1249542901,4993,7481371390,1248143656,16188594,7481366103,1246252371,18442996,7481360561,1244998718,1695501,7481354719,1245115969,359916,7481348447,1245414613,17257684,7481342080,1245321998,14080298,7481335869,1244928458,2776735223,7481329165,1244634095,12462210,7481322730,1243418372,9520324,7481316212,1244082350,141066,7481309900,623467085,31524,7481303186,625097592,33529598,7481296176,936301108,25179401,7481289572,1247645817,11625469,7481283179,1247228553,80594,7481276454,1244892240,104433283,7481269845,1249197026,112234231,7481262848,1248974900,238375486,7481256296,1249159235
8000,2026-03-09 14:39:41.095,151870097,7980234052,1333653262,4739493,7980223294,1329601894,98782393,7980217639,1330516368,3352,7980212609,1330819355,6996,7980206451,1329957143,4483,7980199251,1329564114,47855265,7980192784,1328487532,20751885,7980186015,1328192217,6135267,7980179658,1328828595,279226,7980173314,1329177306,19712457,7980166896,1329094031,18809465,7980160538,1328691632,3371010108,7980153751,1328380994,14585673,7980147277,1327145277,11674345,7980140558,1327731257,171851,7980134189,665153143,67355,7980127451,666907321,35472972,7980120456,999076173,25798649,7980113686,1331422975,11375377,7980107271,1330995617,133091,7980100162,1328827166,129691859,7980093453,1333173607,126697352,7980086698,1332965476,301214717,7980080103,1333164509
8500,2026-03-09 14:39:41.595,74034726,8478360911,1414105118,4926361,8478349294,1410753477,37161363,8478342759,1412655011,4155,8478336784,1414019754,5662,8478330329,1413365726,4973,8478323081,1413298561,66875455,8478316612,1412253280,17887439,8478309911,1411657690,57299833,8478303553,1412606663,328564,8478297257,1412669881,18312200,8478291127,1412558466,14299754,8478284812,1412438340,3286834414,8478278052,1412064332,14046269,8478271592,1411084188,10010838,8478264853,1411698281,158542,8478258529,707168023,75518,8478251770,708851496,31246705,8478244826,1061740937,22895064,8478238087,1415081532,10436765,8478231613,1414351456,130513,8478226295,1411718625,93340537,8478220835,1415340709,67160005,8478214764,1414121036,130740723,8478209182,1413586552
9000,2026-03-09 14:39:42.095,74418610,8977994359,1498109954,4856909,8977982837,1494744615,47085090,8977976250,1496638060,2978,8977970249,1498010862,9893,8977964169,1497356810,4694,8977957635,1497307867,15154608,8977951936,1496254815,17849442,8977945376,1495431865,2128075,8977939064,1496342937,242459,8977932781,1496396413,17013161,8977926426,1496288355,13466428,8977920116,1496377533,2651291197,8977913376,1496017977,11640855,8977906959,1495090314,9037726,8977900291,1495669331,280227,8977893933,749142195,131174,8977888912,750332673,32134813,8977883119,1123214699,23936886,8977877449,1496532290,10879478,8977872321,1494805749,98919,8977865552,1492174997,78951256,8977858889,1496789257,69677254,8977851830,1496615971,134975273,8977845217,1497061425
9500,2026-03-09 14:39:42.595,43797905,9477864185,1582138500,5229587,9477852883,1578745094,24906430,9477846783,1580555671,3906,9477841322,1581946296,8001,9477835588,1581243886,4495,9477828802,1581242572,72855687,9477822636,1580245069,16419129,9477816140,1579431362,83484720,9477810268,1580362521,259321,9477804430,1580393425,16634488,9477810690,1580303583,13814574,9477804619,1580355846,2909164829,9477799663,1579475096,13483022,9477794797,1577542267,11408799,9477789307,1577099737,43297,9477783736,789125670,51040,9477777249,790853521,32284044,9477770705,1184753764,23493471,9477764088,1579067544,10411556,9477758033,1578316889,74076,9477751380,1576160871,67260753,9477745022,1580764768,51563182,9477738156,1580608111,97620063,9477731734,1581060739
10000,2026-03-09 14:39:43.095,130539327,9977192467,1665812682,4549700,9977180787,1662439465,92286430,9977174141,1664264799,3072,9977168407,1665668938,8292,9977161965,1665243445,4697,9977154712,1665212911,20126060,9977148226,1664248368,20492974,9977141459,1663409098,9913780,9977136779,1663819461,298302,9977131810,1662851202,18637658,9977126375,1661762676,16747177,9977121034,1660822470,2935356938,9977114487,1659943386,12822503,9977107995,1659043398,11203704,9977101270,1659377129,233210,9977094846,830901035,88385,9977088085,832841608,37682763,9977081043,1247729671,28322509,9977074308,1662994277,14093176,9977067785,1662232420,68435,9977060715,1660082323,92948597,9977054004,1664683108,101570546,9977046896,1664539262,245178848,9977040215,1665022990
10500,2026-03-09 14:39:43.595,103156134,10476268757,1749524352,4487484,10476257143,1746159421,99028085,10476250496,1748228554,2706,10476244517,1749615329,8794,10476239471,1748707208,4142,10476233335,1747652121,60674878,10476227829,1745705987,18680222,10476222069,1743791798,9263247,10476215921,1744224751,285884,10476209575,1744263309,18074833,10476203143,1743966849,18273982,10476196786,1743888882,3195296705,10476189996,1743503434,13444923,10476183547,1742605527,10156521,10476176803,1743169614,148197,10476170384,872889006,73253,10476163627,874810605,32674576,10476156566,1310706819,23979747,10476149807,1746895823,12400635,10476143271,1746176278,21642,10476136117,1744015030,46508914,10476129446,1748613338,58751493,10476122334,1748291264,170938518,10476115684,1748792337
11000,2026-03-09 14:39:44.095,70809683,10975691709,1832751997,4814555,10975681607,1828398384,58435327,10975676151,1829472584,2813,10975683427,1829869860,5820,10975677697,1829226911,3414,10975671420,1829182523,54310662,10975665125,1828229048,17440462,10975658537,1827287975,38621565,10975652665,1828197940,328725,10975646467,1828222525,16562738,10975640219,1827898729,12543775,10975634503,1827835518,3121133707,10975628795,1827454962,13604468,10975622789,1826309276,11300900,10975616210,1826903119,65607,10975609994,914917551,63832,10975603548,916801847,32065167,10975610841,1373726842,23114138,10975604264,1830890195,9905971,10975597800,1830141347,78311,10975590793,1828025449,74276287,10975584245,1832572665,56036186,10975577400,1832282476,127444826,10975570768,1832789848
11500,2026-03-09 14:39:44.595,50304052,11474952280,1913013340,4954470,11474940640,1909909662,58181801,11474934003,1911943088,2914,11474927968,1913325748,6159,11474921529,1913199856,4120,11474914272,1913156530,53802167,11474907969,1912155145,19053289,11474901206,1911232549,42345151,11474894848,1912117387,284529,11474888504,1912173545,16985545,11474882117,1911883703,14033615,11474875763,1911812096,2801795961,11474869007,1911436940,12171823,11474862564,1910262310,9419431,11474855819,1910885907,146188,11474849396,956913354,78245,11474842636,958510420,31390182,11474835774,1436448793,23312953,11474829027,1914562789,11191746,11474822485,1913824750,20836,11474817288,1911472888,16858120,11474811797,1914732666,7868597,11474805703,1913527913,58135669,11474800093,1913023236
12000,2026-03-09 14:39:45.095,76431771,11974133238,1997016511,5362719,11974121561,1993892519,28116355,11974114903,1995631193,2932,11974108907,1996990502,7298,11974102458,1996686450,4617,11974095203,1996655176,49088592,11974088748,1995954140,19204112,11974081982,1995032192,68974331,11974075626,1996139505,274744,11974069281,1996168613,17864884,11974062882,1995870351,15013253,11974056518,1995565309,3298231588,11974049937,1995176679,14968237,11974043472,1994031413,12130663,11974036751,1994661773,244205,11974030327,998890728,104691,11974025150,999972541,34506739,11974019296,1497870310,24854123,11974013520,1995960917,11775471,11974007982,1994293586,109386,11974001149,1991932593,106360474,11973994435,1996235642,75620859,11973987370,1996056519,138797228,11973980714,1996521966
12500,2026-03-09 14:39:45.595,68641754,12473074477,2080776924,5208794,12473063077,2077877668,52876515,12473056420,2079581638,3650,12473050677,2080978460,7685,12473044222,2080655724,4376,12473036970,2080655477,66281708,12473030472,2079977788,17615083,12473023717,2078811631,37444725,12473017358,2079672144,290323,12473011016,2079686482,18563443,12473004573,2079304940,19881040,12472998203,2079006383,3760220087,12472992994,2078352080,15516574,12472987723,2076238253,11368839,12472982032,2075925690,144483,12472975869,1038869947,70811,12472969101,1040472991,30245136,12472962035,1559354069,21689170,12472955287,2078437316,8908582,12472948745,2077781998,151453,12472941584,2075915377,112432610,12472934895,2079981720,83073524,12472927877,2079845068,153090361,12472921217,2080276122
13000,2026-03-09 14:39:46.095,52536832,12971839753,2164774028,5187105,12971828105,2161877292,58964025,12971821461,2163361601,2894,12971815470,2164736464,7479,12971809012,2164464793,4063,12971801818,2164411712,61145059,12971795330,2163941584,18337805,12971788557,2162823577,47312901,12971784119,2162870551,297092,12971779352,2161946242,16719859,12971773927,2160588884,12848094,12971768558,2159237353,2655746359,12971762023,2158856721,12071599,12971755535,2157755312,9097423,12971748821,2158401769,150666,12971742411,1080843402,72487,12971735649,1082473556,32107742,12971728604,1622352935,23805179,12971721917,2162207601,12194255,12971715476,2161288872,16533,12971708689,2159162506,16024494,12971702098,2163241411,10071803,12971695231,2163332624,63187444,12971688719,2164014193
13500,2026-03-09 14:39:46.595,44334721,13471088724,2248472091,5288332,13471077026,2245615683,688784,13471070693,2247341023,4307,13471064707,2248676568,6975,13471059576,2247907148,5539,13471053618,2246832978,70563459,13471048065,2245394104,16144650,13471042166,2243285369,62178512,13471035982,2243336682,286047,13471029632,2243403774,17539675,13471023196,2242981418,19043453,13471016866,2242403658,3486899360,13471010079,2242490890,14547506,13471003870,2241396176,10682933,13470997135,2242120933,176981,13470990716,1122852566,145197,13470983962,1124457227,31221408,13470977467,1685333959,22010260,13470970735,2246204841,8824163,13470964257,2245287541,131798,13470957523,2243171772,88866826,13470950875,2247225398,59881666,13470943962,2247036008,102478305,13470937787,2247741608
14000,2026-03-09 14:39:47.095,43949710,13970161694,2331911563,5163508,13970151193,2328072624,57170549,13970145619,2328818255,3640,13970141083,2329184464,9299,13970134940,2328403256,4458,13970127734,2328318363,109661181,13970121357,2327890529,17838813,13970114632,2326755205,66775939,13970108313,2327078523,298798,13970101964,2327143132,20951267,13970095560,2326678347,25712222,13970089225,2326139887,4202515912,13970082571,2326465452,16421953,13970076406,2325122506,11913143,13970069691,2325885883,278778,13970063268,1164844341,156245,13970056509,1166451848,32212405,13970049488,1748321113,23706817,13970042756,2329903132,11579339,13970036266,2328955917,105067,13970029425,2326838441,66065951,13970022773,2330893435,23856592,13970015765,2330969473,58579569,13970009134,2331686552
14500,2026-03-09 14:39:47.595,98177282,14469533267,2412421382,4751168,14469538613,2409560069,98460558,14469532686,2411276627,3598,14469527499,2412655397,8727,14469521451,2412361991,4216,14469514480,2412295808,118745121,14469508039,2411897527,16586362,14469501386,2410781147,78127824,14469511244,2411107538,307111,14469504962,2411150958,17668554,14469498569,2410677305,19611711,14469492251,2410126687,3732878174,14469485477,2410448855,16372785,14469479054,2409105690,12690328,14469472329,2409928037,23151,14469465998,1206850458,874,14469459261,1208166032,34049974,14469468425,1811042931,24730618,14469461681,2413587485,12027690,14469455198,2412675305,34491,14469450035,2410058368,56273020,14469444621,2413117730,56420156,14469438504,2412224365,153322140,14469432877,2411948217
