elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-08 22:20:33.961,89381563,491816828,81477001,7778338,491807189,82348317,54638670,491801460,83053265,5525,491795974,84102343,13665,491789709,83993728,8577,491782839,84168985,41604917,491776014,83182886,21479396,491769750,83087428,66754976,491763611,83265300,734741,491757405,83189763,18111133,491750796,83233268,7382323,491743248,83651967,2373959003,491736888,83618352,13716036,491731958,83250577,10429028,491726693,82389763,157361,491720681,39756519,82130,491743484,39654292,40509375,491740336,59516684,25802963,491733885,79283135,12224717,491727660,79385824,13242,491721180,79498675,35622249,491714757,79409720,49041084,491708290,80674120,140877928,491701405,80585227
1000,2026-03-08 22:20:34.461,56330360,985668902,166807760,7635131,985660903,167295845,56895922,985656467,166854287,6862,985651944,166743359,16678,985646985,163465771,10536,985640384,164085752,70838788,985633607,165041856,22253312,985640617,165111815,34719067,985634536,165453592,756378,985628349,164406855,21323398,985621763,162594321,10208059,985614247,163114441,3019765880,985608295,163788016,14246012,985601945,163808408,8397513,985595571,163969282,250422,985589302,81484764,90747,985581933,82085532,39478289,985575430,122731376,24852874,985569004,163388796,11540728,985562806,163474999,19464,985556329,162681964,16461016,985549925,162530971,13481522,985543483,163807925,70633729,985536624,163658755
1500,2026-03-08 22:20:34.961,98205639,1480581840,245973857,7947267,1480572059,248090577,28571043,1480566331,248574123,7511,1480561032,249344616,15994,1480554699,247984370,11265,1480547814,248127415,15312609,1480540993,249043833,19238744,1480534727,249377406,11223498,1480528571,248758114,1088585,1480522360,248328764,19315903,1480515754,246534080,9197132,1480508180,247119931,3161830062,1480501794,247794711,17023037,1480495345,247160945,12088001,1480489066,247247520,114286,1480482785,122973259,33184,1480475381,123668860,40826231,1480468838,185117535,25156599,1480463849,246169746,9355643,1480458844,245225125,145012,1480453326,243457764,134496916,1480447861,242231534,116278962,1480441639,243015033,220835079,1480434737,242827417
2000,2026-03-08 22:20:35.461,83727873,1980339947,329884907,7394465,1980330163,332004454,56488433,1980324450,332570587,3095,1980318920,333313081,5822,1980312716,331925253,4836,1980306125,332061971,35491238,1980299700,332956328,21063627,1980293675,333361982,23206461,1980287704,332683001,311426,1980281950,332263854,19119541,1980275404,330483165,11389606,1980267931,331036079,3401777085,1980261729,331783933,18165328,1980255341,331154740,11861800,1980251158,330754914,109624,1980246130,163478220,74337,1980239039,163693671,33471958,1980232528,245102710,22182031,1980226103,326682569,9956443,1980219881,326749361,74671,1980213407,325892781,83441183,1980207005,325699563,70279548,1980200538,326893339,157561752,1980193713,326698104
2500,2026-03-08 22:20:35.961,28214308,2479753749,413527590,7865447,2479743969,416013035,43640074,2479738238,416566329,5751,2479732669,417312664,15752,2479726332,415895134,8005,2479719444,416002999,133653774,2479712701,416918993,16483402,2479706435,417320507,143397296,2479700276,416682579,309524,2479694055,416315625,21019482,2479689017,413981421,14822776,2479682524,413562674,3507982380,2479677145,413282066,17347572,2479671763,411601362,11764506,2479665593,411248674,25232,2479659284,205000236,2458,2479651890,205731074,36041800,2479645354,308108338,23956366,2479638885,410581280,11055064,2479632647,410543341,2154,2479626157,409672893,13964822,2479619732,409167489,857220,2479613243,410451197,15458238,2479606388,410333388
3000,2026-03-08 22:20:36.461,99702401,2979431248,497494075,8176048,2979421507,499958256,55821026,2979415800,500516053,2960,2979410260,501261072,6968,2979404156,499835412,5661,2979397345,499981337,17797615,2979392276,500325054,20655448,2979387304,499667383,16412163,2979382129,498006226,352524,2979376991,496629226,18367258,2979370652,494378464,9086022,2979363089,495010160,2977998809,2979356728,495732906,16158495,2979350625,495026654,11196754,2979344272,495202512,107173,2979338037,247023178,51281,2979330714,247727823,33986261,2979324232,371105704,22149739,2979317778,494609278,9324423,2979311563,494549963,89041,2979305096,493666857,101137816,2979298692,493167620,100508346,2979292222,494390538,213046705,2979285361,494288117
3500,2026-03-08 22:20:36.961,77951435,3478953282,581458955,7840043,3478943623,583968544,88272259,3478939404,583989923,3266,3478935008,583719091,5685,3478929649,581283533,4573,3478923880,580428442,71685987,3478917318,580788380,21273777,3478911038,581146113,36894608,3478904879,580511713,290195,3478898644,580140421,21571887,3478892036,578368815,11184240,3478884463,578953980,3114309313,3478878337,579659672,15050899,3478871891,578966415,10430573,3478865489,579148896,149314,3478859207,289022105,74514,3478851807,289692257,38057345,3478845276,434067955,24786179,3478838805,578601824,11250268,3478832560,578254153,37815,3478826072,577364709,48623643,3478819647,576820703,48945229,3478813157,578041566,122708036,3478806269,578222660
4000,2026-03-08 22:20:37.461,53491037,3978491041,662934136,8495454,3978482618,664436621,39972179,3978477186,664504632,3606,3978471655,665240921,5100,3978465555,663803946,4704,3978458662,663911271,129993323,3978451841,664768624,18566753,3978445578,665107569,107358723,3978439470,664460693,309154,3978433269,664143551,22105948,3978426658,662342093,13031036,3978419082,662859983,3723823348,3978413001,663511825,18625779,3978406590,662792536,12276111,3978400195,663013707,19638,3978394164,331022783,9008,3978386765,331679128,34938721,3978380228,497046311,23160620,3978373768,662569415,9842424,3978367526,662019211,73815,3978361029,661085805,73868205,3978354617,660567300,60292546,3978349227,661300806,124045659,3978343374,660703733
4500,2026-03-08 22:20:37.961,14136557,4477762208,745093221,8558331,4477752440,747414082,719821,4477746745,747963233,3229,4477741259,748716270,8570,4477734998,747617505,5633,4477728165,747897830,14971873,4477721374,748719186,21734925,4477715199,749138423,16387244,4477709073,748446910,294891,4477702874,748113494,19748974,4477696306,746375293,9442085,4477688782,746766667,2789421458,4477682452,747433631,13622216,4477676050,746664749,8344125,4477669951,746863441,398806,4477663696,373016089,183471,4477656327,373693124,34350856,4477649837,560050351,23518960,4477644932,746047451,9972638,4477639945,744490664,92980,4477634567,742528075,58513030,4477629213,741045832,20237488,4477623003,741796814,14460199,4477616125,742164542
5000,2026-03-08 22:20:38.461,15329646,4976912044,829106089,9058205,4976902392,831393627,11592099,4976896663,831907812,3349,4976891096,833630542,8479,4976884768,832267993,5690,4976878005,832567904,73418974,4976871179,833380448,20031950,4976864960,832805809,55061536,4976858798,832336971,337365,4976852634,832004585,22307847,4976846024,830301454,12459035,4976838446,830695810,2952018832,4976832371,831363211,13479310,4976827366,830116689,7555118,4976822151,829277085,280557,4976816184,412999739,141208,4976808783,413664687,36437967,4976802433,620039822,23914140,4976795945,826566561,11587900,4976789700,825967363,44704,4976783257,824712124,21577095,4976776863,824223902,731510,4976770371,825478535,15928456,4976763493,825833494
