elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-09 14:42:24.270,1163823199,499122392,80555785,2007,499111218,81566354,1170232561,499103993,82611923,1322,499097024,83753656,9680,499089813,83878047,559,499081232,83867156,1200436405,499073446,83827167,355283,499066202,83732776,1197711113,499041519,83750611,400782,499033488,83536899,383529,499025258,83547554,12022,499017020,84719056,14168756,499008787,84758607,56461,499001618,84570309,27036,498984555,83586300,22851,498977526,44696933,3074,498993922,44631689,718878,498972945,64635869,198169,498945021,84657351,33986,498937248,80902898,3038,498911350,80941921,1185752250,498886547,80921072,1182451904,498878492,80889411,2348477887,498870326,79713510
1000,2026-03-09 14:42:24.770,1194161637,997919940,164345980,1611,997908797,165328249,1159936734,997901561,166472755,1226,997894631,167634192,10174,997887404,167717006,995,997880712,167457664,1125975481,997874449,166475556,1176259,997870507,166215695,1131468338,997849647,165269469,452367,997843440,164225734,983678,997836046,164157024,494033,997828091,164517399,23572617,997819566,164573944,96284,997810626,165789975,54283,997792342,165815990,28876,997784611,86660634,5172,997775970,86620260,835941,997751778,129385010,298420,997723896,170357200,50520,997716312,166581675,4892,997690463,166621242,1181229969,997665739,164729247,1184833343,997657735,164630618,2397226891,997649913,163473505
1500,2026-03-09 14:42:25.270,1153372861,1497492375,246928056,12241,1497486007,246989543,1130581029,1497481117,247128556,15796,1497474970,247617701,24848,1497468487,247682352,24593,1497476601,247755735,1153730899,1497469337,247794819,500054,1497462720,248515803,1169497911,1497438626,248526960,415741,1497431704,248205862,470524,1497424008,248126505,30938,1497416469,248390881,10005521,1497408263,248490975,100883,1497400199,251511154,19963,1497382401,251576195,63764,1497375247,128708961,9756,1497367028,128604573,764842,1497343616,192374814,144567,1497316415,254331969,22782,1497309159,250532240,10030,1497283877,250630404,1160626087,1497259893,248626239,1160288983,1497252561,248523073,2334285472,1497245518,247106654
2000,2026-03-09 14:42:25.770,1130978122,1993063856,330523359,2888,1993052765,329783790,1079205470,1993045484,329900548,1383,1993039060,331230205,9829,1993032018,331323147,1047,1993023606,331132058,1121203761,1993016199,331200310,1987720,1993009020,331794425,1112835172,1992984470,331791572,528869,1992976595,331669460,1821081,1992970140,331061141,268577,1992963325,330179325,13924523,1992955873,329311130,106657,1992948079,332077083,15904,1992930140,331683750,28017,1992922372,172209026,2246,1992913841,172117575,1392986,1992889613,255802017,231276,1992861744,337450260,24673,1992854056,330910906,2228,1992828143,330806363,1165247043,1992803465,330689892,1172641873,1992795704,331761164,2276908804,1992787613,329460467
2500,2026-03-09 14:42:26.270,1255722708,2491645062,414457854,1180,2491634147,413767478,1260928632,2491626755,413660102,1141,2491619783,414760637,9027,2491612806,414854349,787,2491604221,414681465,1216864562,2491597551,414423658,453948,2491591271,413996696,1208564236,2491580417,412996062,353237,2491573287,411855444,307937,2491565441,411127299,5232,2491557195,411410965,6719635,2491548559,411540147,48789,2491539574,415330411,12091,2491521238,415611248,14400,2491513236,214194261,1164,2491504569,213876832,450499,2491480219,318550679,79162,2491452278,421164506,9992,2491444520,414644010,1670,2491418563,414734796,1238455810,2491393768,414550834,1239627917,2491385712,415645432,2491701994,2491377544,413362580
3000,2026-03-09 14:42:26.770,1226245373,2991081802,498287906,1220,2991070611,497580130,1219050420,2991064354,497146935,1184,2991058581,497454893,11149,2991052608,496548392,953,2991045038,495377183,1195131266,2991037486,494746778,309105,2991030182,495325433,1231710865,2991005528,495318953,314863,2990997469,495143847,381272,2990989255,495098089,4101,2990981032,495151342,6717843,2990972427,495249861,46078,2990963492,499093648,16134,2990945185,499398988,18621,2990937203,256188030,1543,2990928575,255836506,590484,2990904281,381498219,84062,2990876369,505012760,12059,2990868649,498515505,1457,2990842703,498617504,1219717684,2990818088,498448241,1223295482,2990810081,499660804,2451839434,2990801932,497153925
3500,2026-03-09 14:42:27.270,348883570,3490002486,579698295,869,3489992202,577948394,355045148,3489985045,577195710,4707,3489978099,578274254,18927,3489970823,578592559,2642,3489962240,578398264,360364897,3489954450,578447489,212850404,3489947119,579269439,363593610,3489922444,579280867,317792,3489914360,579067953,210075319,3489906126,579049045,20220,3489897879,579060373,2486082888,3489889240,579045907,30481467,3489880256,582961362,45682,3489861922,583272795,28006,3489853914,298183636,925,3489845246,297815149,136436159,3489821257,444458334,111376,3489793316,588690918,24204,3489785568,582194668,1216,3489759594,582330461,345814727,3489734803,582210259,345437593,3489727496,583350182,700017367,3489720355,579854617
4000,2026-03-09 14:42:27.770,266280553,3989109975,661964714,880,3989098790,661157327,272197598,3989091345,661119567,1060,3989084373,662162826,12571,3989077084,662539863,812,3989081275,662436970,267478618,3989073570,662429415,231261146,3989066562,663291595,262733034,3989041885,663254872,370786,3989033801,663001362,234312465,3989025561,663010389,20909,3989017316,662763683,2828560581,3989008685,662790154,34499677,3988999653,666501700,24012,3988981371,666816168,27228,3988973366,340176602,986,3988964700,339820722,148632281,3988940319,507177241,135168,3988913862,672103954,40164,3988907317,664608672,973,3988882663,663758040,259322543,3988858874,662919292,257326096,3988851081,663642427,523412339,3988842938,661159525
4500,2026-03-09 14:42:28.270,257982162,4488861026,745748199,1181,4488849882,744949373,254867637,4488842508,744916695,1107,4488835596,745959038,15110,4488828376,746534407,908,4488819852,746433386,253697391,4488812105,746435377,223578955,4488804811,747288002,258595228,4488780180,747254376,355123,4488772199,747000339,229421179,4488764016,746996067,17750,4488755850,746773619,2735936760,4488747264,746781580,33553144,4488738322,750492067,5526,4488721291,750472482,29406,4488714663,380852169,579,4488706380,379834341,138213302,4488682055,567191783,63961,4488654179,752440359,13046,4488646785,745908249,733,4488620886,746069347,258015312,4488596143,746205995,257315891,4488588121,747595462,519135566,4488580025,745110794
5000,2026-03-09 14:42:28.770,256213680,4986021552,830350987,4567,4986010357,828557981,253112255,4986003119,828566107,1292,4985996179,829634503,13599,4985988922,830421874,1086,4985980363,830373362,249095848,4985973853,830028519,216245998,4985967706,830386659,243569649,4985944035,829348758,401545,4985937017,828043340,207926957,4985929090,827414893,360778,4985920907,826692928,2524881990,4985912302,826744113,33293061,4985903325,830457540,6772,4985885012,831189761,37104,4985877084,422600628,626,4985868435,421825052,148299169,4985844100,630189715,59741,4985816187,836403491,5238,4985808460,829882686,1081,4985782532,829984107,253984002,4985757748,831049412,252480932,4985749726,832405776,508083958,4985741578,829886549
5500,2026-03-09 14:42:29.270,256342392,5483241501,911232370,1616,5483230250,908928348,254235482,5483222811,908974227,1078,5483215843,910033771,9565,5483208565,912546532,1008,5483199990,913042125,264664929,5483192201,912967562,232837352,5483184864,914242010,264524877,5483160187,912447882,526377,5483152102,911175090,231497725,5483143857,911179986,3250774,5483135618,910444265,2744622719,5483126989,910513942,36202841,5483117991,914171533,8080,5483099657,914716885,26051,5483091656,464303280,613,5483082992,464724198,152196150,5483058639,694062576,73214,5483030975,920626576,12199,5483023217,914157151,594,5482998551,912771399,259083479,5482974907,913807692,257798322,5482967913,914781320,517674989,5482960779,911246387
