elapsed_ms,timestamp,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,l1d.replacement,l1d_pend_miss.fb_full,l1d_pend_miss.pending,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-references,cache-misses,mem-loads,mem-stores,mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any
19500,2026-03-08 20:11:37.772,68087659,11942,50995060,1175,,,,,,,,,,,,,,,,,,,,
20000,2026-03-08 20:11:38.272,83902482,9688,67743772,1114,,,,,,,,,,,,,,,,,,,,
20500,2026-03-08 20:11:38.772,85484496,8703,67789542,1137,,,,,,,,,,,,,,,,,,,,
21000,2026-03-08 20:11:39.272,85397280,8130,67760178,1137,,,,,,,,,,,,,,,,,,,,
21500,2026-03-08 20:11:39.772,85225005,6285,67754982,1068,,,,,,,,,,,,,,,,,,,,
22000,2026-03-08 20:11:40.272,66173495,11764,51034562,1216,,,,,,,,,,,,,,,,,,,,
22500,2026-03-08 20:11:40.772,84749867,8367,67791389,1372,,,,,,,,,,,,,,,,,,,,
23000,2026-03-08 20:11:41.272,65989535,5734,51001489,1121,,,,,,,,,,,,,,,,,,,,
23500,2026-03-08 20:11:41.772,67242903,9746,51063300,1825,,,,,,,,,,,,,,,,,,,,
24000,2026-03-08 20:11:42.272,82853902,13090,67804763,1217,,,,,,,,,,,,,,,,,,,,
24500,2026-03-08 20:11:42.772,66069947,10472,51003910,1176,,,,,,,,,,,,,,,,,,,,
25000,2026-03-08 20:11:43.272,85267947,10969,67784703,1192,,,,,,,,,,,,,,,,,,,,
25500,2026-03-08 20:11:43.772,85408565,17750,67800845,1360,,,,,,,,,,,,,,,,,,,,
26000,2026-03-08 20:11:44.272,70486448,9694,52881651,1117,,,,,,,,,,,,,,,,,,,,
26500,2026-03-08 20:11:44.772,81820951,9793,65844778,1130,,,,,,,,,,,,,,,,,,,,
27000,2026-03-08 20:11:45.272,85081734,12927,67767685,1131,,,,,,,,,,,,,,,,,,,,
27500,2026-03-08 20:11:45.772,85255426,10243,67754711,1142,,,,,,,,,,,,,,,,,,,,
28000,2026-03-08 20:11:46.272,80446772,11896,63003595,1151,,,,,,,,,,,,,,,,,,,,
28500,2026-03-08 20:11:46.772,71112689,12616,55730655,1160,,,,,,,,,,,,,,,,,,,,
29000,2026-03-08 20:11:47.272,85227245,10129,67762472,1110,,,,,,,,,,,,,,,,,,,,
29500,2026-03-08 20:11:47.772,85255891,10118,67798795,1278,,,,,,,,,,,,,,,,,,,,
