elapsed_ms,timestamp,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,l1d.replacement,l1d_pend_miss.fb_full,l1d_pend_miss.pending,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-references,cache-misses,mem-loads,mem-stores,mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any
500,2026-03-08 20:11:18.772,45370997,90546,34713411,12399,,,,,,,,,,,,,,,,,,,,
1000,2026-03-08 20:11:19.272,64497755,29117,51396699,9279,,,,,,,,,,,,,,,,,,,,
1500,2026-03-08 20:11:19.772,64851243,32262,51014340,1261,,,,,,,,,,,,,,,,,,,,
2000,2026-03-08 20:11:20.272,47392451,35406,34442049,2024,,,,,,,,,,,,,,,,,,,,
2500,2026-03-08 20:11:20.772,82420787,21142,67821781,1670,,,,,,,,,,,,,,,,,,,,
3000,2026-03-08 20:11:21.272,65558832,15566,51083101,2177,,,,,,,,,,,,,,,,,,,,
3500,2026-03-08 20:11:21.772,65201936,17855,51104242,1730,,,,,,,,,,,,,,,,,,,,
4000,2026-03-08 20:11:22.272,66000434,16369,51275133,6622,,,,,,,,,,,,,,,,,,,,
4500,2026-03-08 20:11:22.772,84380251,8970,67793925,1169,,,,,,,,,,,,,,,,,,,,
5000,2026-03-08 20:11:23.272,66018341,9673,51036780,1242,,,,,,,,,,,,,,,,,,,,
5500,2026-03-08 20:11:23.772,80661080,8251,63824091,1187,,,,,,,,,,,,,,,,,,,,
6000,2026-03-08 20:11:24.272,69686194,13949,54981060,3010,,,,,,,,,,,,,,,,,,,,
6500,2026-03-08 20:11:24.772,66546182,10081,50984504,1179,,,,,,,,,,,,,,,,,,,,
7000,2026-03-08 20:11:25.272,83956659,10967,67748849,1095,,,,,,,,,,,,,,,,,,,,
7500,2026-03-08 20:11:25.772,65916659,10673,51001694,1295,,,,,,,,,,,,,,,,,,,,
8000,2026-03-08 20:11:26.272,84420978,14642,67791932,1231,,,,,,,,,,,,,,,,,,,,
8500,2026-03-08 20:11:26.772,65718155,12053,51012382,1181,,,,,,,,,,,,,,,,,,,,
9000,2026-03-08 20:11:27.272,85004187,12032,67748349,1127,,,,,,,,,,,,,,,,,,,,
9500,2026-03-08 20:11:27.772,66010276,13745,51006488,1184,,,,,,,,,,,,,,,,,,,,
10000,2026-03-08 20:11:28.272,84461912,23154,67783464,1380,,,,,,,,,,,,,,,,,,,,
10500,2026-03-08 20:11:28.772,66216666,10194,51035667,1278,,,,,,,,,,,,,,,,,,,,
11000,2026-03-08 20:11:29.272,82174214,21914,64986925,15659,,,,,,,,,,,,,,,,,,,,
11500,2026-03-08 20:11:29.772,69235720,9720,54430211,1370,,,,,,,,,,,,,,,,,,,,
12000,2026-03-08 20:11:30.272,65731651,10679,50997566,1170,,,,,,,,,,,,,,,,,,,,
12500,2026-03-08 20:11:30.772,84428487,12558,67769798,1130,,,,,,,,,,,,,,,,,,,,
13000,2026-03-08 20:11:31.272,65851958,13246,50982626,1136,,,,,,,,,,,,,,,,,,,,
13500,2026-03-08 20:11:31.772,72083005,32094,55163729,1908,,,,,,,,,,,,,,,,,,,,
14000,2026-03-08 20:11:32.272,80253262,21986,64604997,2755,,,,,,,,,,,,,,,,,,,,
14500,2026-03-08 20:11:32.772,68375562,22804,52172337,3364,,,,,,,,,,,,,,,,,,,,
15000,2026-03-08 20:11:33.272,85380663,26663,68136328,2318,,,,,,,,,,,,,,,,,,,,
15500,2026-03-08 20:11:33.772,68072803,22762,52001108,2917,,,,,,,,,,,,,,,,,,,,
16000,2026-03-08 20:11:34.272,85673948,20288,68040699,1819,,,,,,,,,,,,,,,,,,,,
16500,2026-03-08 20:11:34.772,85674767,14581,67794413,1323,,,,,,,,,,,,,,,,,,,,
17000,2026-03-08 20:11:35.272,68435002,15854,51000934,1238,,,,,,,,,,,,,,,,,,,,
17500,2026-03-08 20:11:35.772,84001063,14444,67787220,1273,,,,,,,,,,,,,,,,,,,,
18000,2026-03-08 20:11:36.272,85468729,16163,67807775,1294,,,,,,,,,,,,,,,,,,,,
18500,2026-03-08 20:11:36.772,85624393,10771,67787951,1194,,,,,,,,,,,,,,,,,,,,
19000,2026-03-08 20:11:37.272,85499353,10219,67798878,1229,,,,,,,,,,,,,,,,,,,,
