elapsed_ms,timestamp,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,l1d.replacement,l1d_pend_miss.fb_full,l1d_pend_miss.pending,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-references,cache-misses,mem-loads,mem-stores,mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any
1000,2026-03-08 19:53:02.458,19906499,23570,11138058,2430,6247,3019,15039772,3663196,13766624,169433,3830596,2184729,930345680,3248553,3044316,18418,6607,6404931,7513981,3277220,28833,23485912,17788366,39571926
2000,2026-03-08 19:53:03.458,16119430,12307,9429923,463,2695,439,19076105,4061224,20938196,153156,3795526,2342780,932687851,3480992,3172727,50957,33280,7107064,8425223,4061169,24995,16966527,11575552,27025163
3000,2026-03-08 19:53:04.458,37082914,6900,25936376,407,3820,387,9740626,4516121,8697921,139990,4401348,5313228,1177217182,4493903,4047488,14884,7382,7424559,8129109,3456375,50352,38813607,36580442,75968968
4000,2026-03-08 19:53:05.458,30028030,4223,20621760,380,2758,395,15444598,5404009,5031692,122272,5208602,6020867,1201196353,4711801,3891144,37751,23121,7613258,7879179,3652933,33516,26854757,23676939,55382903
5000,2026-03-08 19:53:06.458,20122763,4002,22481163,389,2341,427,39435109,4811335,20951810,127312,5487244,7637095,1395134443,5649241,4567603,26387,16851,8529298,8286250,3548250,32883,26037966,17286755,33226495
6000,2026-03-08 19:53:07.458,26613221,2506,21319869,381,2661,352,29499074,5120863,21266095,98106,5293249,6161693,1256900155,5334975,4497608,20101,13838,9028454,8653916,3903991,39384,30041922,20648383,44763170
7000,2026-03-08 19:53:08.458,29551251,1841,20564198,388,2616,395,18854833,6017624,13342051,108941,5818214,6907088,1243031022,4836937,3731765,40720,22405,8776835,8487229,3957085,27340,25482326,22077106,51358015
8000,2026-03-08 19:53:09.458,39254494,5532,35212929,471,2952,365,23593168,4535352,8578103,136980,4470872,5942386,1229314002,4624456,4225489,14757,6488,7304413,8101437,3703239,28478,28915732,29690870,70581033
9000,2026-03-08 19:53:10.458,14903064,6680,10147042,545,2981,422,32121624,3836288,42771497,149762,4219721,4392633,1084869360,4414853,4143241,3895,350,7790811,8594286,4071516,9877,13861218,10211738,25372904
10000,2026-03-08 19:53:11.458,18462400,4194,18074369,380,2490,396,31893392,5428086,24730216,127575,5707780,7513962,1374208187,5415849,4234430,36608,18569,9077156,8909942,4266611,36575,28587167,18160582,33487630
11000,2026-03-08 19:53:12.458,30551158,3694,31641633,394,2786,484,23877687,5391979,14212617,131369,5166003,5388520,1081231807,4327583,3601243,19260,6553,8804928,9240201,4617936,14349,17512008,16064846,44848451
12000,2026-03-08 19:53:13.458,38973674,4605,35333971,421,3176,403,39350429,4753632,22477672,148604,5312525,7093069,1414012493,5655237,4876838,3764,4104,8603200,8871115,4088243,24877,25431733,24980504,63724884
13000,2026-03-08 19:53:14.458,10762908,1483,14358556,271,1878,264,20918183,3940829,13567612,85532,3929922,4390047,832389271,3199528,2412456,28647,13443,6143041,6199442,3002124,15121,11086875,1967007,10288756
