elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-09 14:42:41.318,42706221,30283785,7157970,16497,30283785,9753129,48084120,30283785,10018822,794,30283785,10402576,2569,30283785,9710992,3167,30283785,6319747,58188975,30283785,5045395,256221,30283785,4467251,63323295,30283785,2851278,570225,30283785,2913742,262506,30283785,2968433,1044,30283785,2957043,6317128,30283785,2919634,87364,30283785,3140192,1142,30283785,3126413,5082,30283785,1197698,22,30283785,1332707,575233,30283785,2177756,46069,30283785,3857994,4687,30283785,4167416,92,30283785,4274164,23522330,30283785,5336960,34425563,30283785,5266728,75425236,30283785,5171699
1000,2026-03-09 14:42:41.818,41920792,58858453,11277861,11007,58858453,13356636,29369815,58858453,13665646,817,58858453,15913103,3690,58858453,14718727,3564,58858453,14365919,59152495,58858453,14067340,309341,58858453,11811764,52722271,58858453,10571648,229037,58858453,7683483,168752,58858453,7873828,563,58858453,7722804,5969921,58858453,7841094,91489,58858453,7881480,13060,58858453,8526473,9686,58858453,4192544,850,58858453,2492235,938472,58858453,3995530,169098,58858453,6369364,19512,58858453,6784049,947,58858453,6897730,38143863,58858453,8510115,37204960,58858453,8355802,78882942,58858453,8158166
1500,2026-03-09 14:42:42.318,27860496,101067025,19084720,7006,101067025,21276110,19289920,101067025,19858584,212,101067025,21375433,349,101067025,19690195,583,101067025,17676533,11539385,101067025,17695747,199044,101067025,17795512,26789228,101067025,17137364,256312,101067025,14908939,459772,101067025,15148443,1205,101067025,13746175,10177212,101067025,14009532,112807,101067025,14209393,27214,101067025,15724105,11109,101067025,7796401,408,101067025,7668908,1583323,101067025,11171020,100655,101067025,16222982,5012,101067025,16653116,309,101067025,14691975,40560280,101067025,16661666,33472298,101067025,16417164,66669525,101067025,16256717
2000,2026-03-09 14:42:42.818,17336766,144438323,22474262,14028,144438323,26883880,47431582,144438323,27470866,989,144438323,32114860,2627,144438323,30786867,3520,144438323,27204920,52571551,144438323,26762395,391615,144438323,24424115,44182232,144438323,25867626,415182,144438323,24963631,299779,144438323,24644841,3820,144438323,24649266,7927137,144438323,26391833,118379,144438323,25263896,11593,144438323,26499281,4827,144438323,10231961,122,144438323,9414692,424997,144438323,13698282,47123,144438323,19638251,1903,144438323,19875464,80,144438323,17842984,16595797,144438323,19795159,17567686,144438323,19422689,34965682,144438323,19258059
2500,2026-03-09 14:42:43.318,89548750,205511932,35054004,33220,205511932,42022989,81499086,205511932,40493249,1078,205511932,44760757,2433,205511932,40788996,1645,205511932,34963571,23576408,205511932,35012259,126295,205511932,32752946,22957817,205511932,34221374,199903,205511932,32506027,117662,205511932,31357127,1763,205511932,33096140,1635247,205511932,34951851,38593,205511932,33862172,894,205511932,35847164,7172,205511932,14985783,269,205511932,16794997,804702,205511932,23548364,76360,205511932,32070147,3711,205511932,32506159,279,205511932,27893005,43111877,205511932,29531093,62768048,205511932,30731986,142705323,205511932,30035602
3000,2026-03-09 14:42:43.818,33456716,229992093,38044756,9129,229992093,47006954,54243897,229992093,46095266,1777,229992093,49414307,11908,229992093,45426013,3192,229992093,38975384,37098292,229992093,38395103,222175,229992093,37405234,50533920,229992093,38816986,362428,229992093,37945069,296367,229992093,37837268,2003,229992093,38220747,3919480,229992093,40082253,48664,229992093,37463507,1602,229992093,38902142,5415,229992093,16733198,51,229992093,17983685,788728,229992093,26518846,17194,229992093,37345282,401,229992093,37202750,7,229992093,31979452,33591199,229992093,31835746,9072756,229992093,31417032,60385469,229992093,32342304
3500,2026-03-09 14:42:44.318,16394572,257331463,43803133,28516,257331463,52438987,7006463,257331463,50681508,4356,257331463,54107704,885,257331463,49381694,2021,257331463,43289764,2180110,257331463,41441013,4035419,257331463,41628201,5026556,257331463,42775054,373242,257331463,42350019,8973272,257331463,43678920,2900,257331463,44003822,116525620,257331463,46137624,1711191,257331463,43030910,123,257331463,43785721,4708,257331463,19019279,52,257331463,19505547,2075405,257331463,28753739,26012,257331463,40796612,540,257331463,40491773,301,257331463,35828194,37051440,257331463,35710197,39439617,257331463,36947689,63158785,257331463,37937470
4000,2026-03-09 14:42:44.818,12122815,292991241,51974243,32980,292991241,59227833,7581304,292991241,57740416,4715,292991241,60205326,1146,292991241,55438803,3414,292991241,49253214,8788963,292991241,47344732,3331841,292991241,44974448,3470752,292991241,46125569,287344,292991241,48551802,3583062,292991241,49130825,5162,292991241,50166558,55164540,292991241,52525389,664831,292991241,47462486,12,292991241,48222407,4197,292991241,21218872,26,292991241,21722767,3143791,292991241,32496414,10399,292991241,46063486,594,292991241,46340429,244,292991241,43071417,9481207,292991241,43517534,9418829,292991241,44489375,28119957,292991241,47708569
4500,2026-03-09 14:42:45.318,9539252,329369938,64105488,33011,329369938,71327680,9421560,329369938,71925836,7065,329369938,74117291,1242,329369938,62041588,2529,329369938,55609955,5191836,329369938,51497647,4391720,329369938,49193394,9441008,329369938,51871897,469599,329369938,53512098,8844112,329369938,54771653,14511,329369938,55697158,73866175,329369938,56983553,1279610,329369938,52252672,37,329369938,52440373,3067,329369938,22763459,28,329369938,23248119,2587251,329369938,35526487,1355,329369938,49813648,6,329369938,50771788,27,329369938,47499974,3069616,329369938,47925129,2858888,329369938,48920781,5474058,329369938,52165947
5000,2026-03-09 14:42:45.818,4666007,381756772,72898906,15191,381756772,80213348,3544855,381787591,79644145,2167,381797419,80495104,467,381807135,67025491,1069,381816135,59988875,2648308,381821841,56393197,3251965,381826667,56271425,4833617,381831412,61085613,281980,381836149,62691840,4291848,381840936,64854033,3731,381845591,64269256,139747901,381850427,67583051,2907330,381855064,62443076,30145,381859851,62804276,11736,381864635,28371048,137,381926993,27692907,7423187,381946191,44419428,15432,381961250,60269235,684,381966133,61366630,65,381970984,58035797,5556546,381975845,56162870,5647360,381980610,57822705,10081060,381985550,60172123
