elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-08 22:25:58.396,125408229,499362280,80903848,7076763,499351152,81911922,88995167,499332483,82876036,3062,499326566,83811518,6177,499320359,83737119,4570,499312309,83686656,26099243,499305708,83680994,22134353,499299502,83701735,679099,499293526,83902824,346250,499287403,83695587,22141139,499280985,83668307,14370012,499275074,83681209,3352206741,499268616,83641319,16029063,499261877,83885036,9721983,499255313,83924644,148828,499248538,42015266,72816,499269678,41783615,38032705,499266957,62771809,23930032,499260140,83809035,10581496,499253546,83661976,87369,499248520,83455830,84390975,499257805,82466473,85947756,499252608,81445997,216507883,499246772,80595049
1000,2026-03-08 22:25:58.896,75188522,995476995,164446804,6742641,995465592,165300212,54953840,995447046,166331563,6316,995441227,167206686,10544,995435089,167757459,6049,995427214,167849742,94742048,995420679,168061181,16583952,995414553,168198832,108337580,995408347,167965312,365137,995402505,167707027,17614438,995396163,167616378,13729017,995390093,167550209,3500577111,995383705,167497772,16474201,995378341,167201340,11589741,995373010,166282016,28822,995382348,81950323,3458,995375144,81744406,30109828,995368641,122681157,22838162,995361926,163627521,10687440,995355359,163439616,25337,995348641,163692474,43230021,995342256,163782048,47879635,995335759,163544555,133972512,995329109,163733947
1500,2026-03-08 22:25:59.396,88087180,1493531892,248226232,7740828,1493520547,248893657,22357969,1493501948,249886170,2855,1493496053,250560373,4736,1493506126,251313517,5085,1493498193,251659206,45489167,1493491671,251898215,19847286,1493485505,252207814,50146045,1493479273,251684205,356223,1493474724,250720903,18526058,1493469699,249336905,9424481,1493464973,248316583,3223063957,1493459541,247527903,15396967,1493453105,247191701,10994105,1493446632,247256500,84382,1493439911,123659725,73514,1493432888,123736679,31267881,1493426330,185653353,20636826,1493419544,247602534,7672715,1493412970,247398202,163778,1493406277,247720996,119672654,1493399847,247777630,103544903,1493393313,247549590,200788480,1493386960,247747937
2000,2026-03-08 22:25:59.896,66536890,1986674225,331106766,5977678,1986662786,331831767,52025070,1986644158,332544498,3013,1986638303,332973209,5020,1986632141,333950661,5082,1986625823,333798585,39323094,1986620464,333331362,14827993,1986615355,332691898,51353865,1986610410,330965932,593562,1986604569,329912503,15163107,1986598182,329419356,6364862,1986592115,329803879,2475931384,1986585617,330001868,10961838,1986578932,330146297,8519212,1986572412,330501513,31120,1986565676,165460327,5097,1986558263,165235594,28728984,1986551765,247932357,21019699,1986545080,330159905,8729719,1986538476,329746627,38474,1986531767,330394535,47358410,1986525341,330421091,50205169,1986518815,330694971,114399691,1986512130,330881958
2500,2026-03-08 22:26:00.396,18082425,2485224042,414946645,8355981,2485214277,415202117,789922,2485197034,414905221,5272,2485192509,414334296,6315,2485187218,414367612,4947,2485179471,413926035,65259358,2485172890,414434188,18195567,2485166704,414762541,86376254,2485160496,413964586,429320,2485154410,413449375,18872632,2485148016,412999268,10576821,2485141898,413409184,3050137231,2485135818,413602178,15021205,2485129164,413985653,10395839,2485122639,414314281,173730,2485115951,207414142,72690,2485108563,207107915,37806565,2485102001,310779686,24866629,2485095191,413979629,11603797,2485088904,413552018,81458,2485082238,414261391,55719713,2485075785,414281610,28229246,2485069213,414564447,47611339,2485062447,414768378
