elapsed_ms,timestamp,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,l1d.replacement,l1d_pend_miss.fb_full,l1d_pend_miss.pending,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-references,cache-misses,mem-loads,mem-stores,mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any
622,2026-03-08 19:07:20.728,8954114,24006,9501261,1968,12128,8525,15438807,1146974,10450920,965557,1285705,1501125,207461066,863654,675743,258493,261963,2440953,1985951,601311,509768,9798412,4926337,11626529
921,2026-03-08 19:07:21.027,810325,2848,842603,214,2088,2326,10435011,564103,9087441,134187,564228,461079,172527268,696308,636934,7955,3143,1181023,1266965,587841,1409,833593,156221,888176
1397,2026-03-08 19:07:21.503,5461439,10420,2897136,2325,12637,6526,4371246,843156,5948735,238261,693506,391409,68099855,331438,262037,99330,79702,1073248,1106853,303676,63300,4669827,2461113,7490609
1573,2026-03-08 19:07:21.679,3310955,3795,131300,1936,6211,3250,925013,744043,123914,23736,746216,526406,182227601,720577,663269,10393,7300,920992,976230,334338,13343,9745831,8755385,14549225
1846,2026-03-08 19:07:21.952,1157336,2523,4083989,810,5642,1578,9851909,1139471,7726142,40522,1132320,1168787,253171886,781226,694200,14595,9295,1580611,1883210,1052929,5275,2690183,84276,1274267
3548,2026-03-08 19:07:23.654,13859029,39390,8291430,4830,35829,31241,15137549,994672,7234065,1381480,1173098,667266,69667234,428065,206844,266872,214083,2420455,1267710,178304,407306,14888709,7538468,20042231
6449,2026-03-08 19:07:26.555,15252623,64117,7045537,4736,54562,42518,16263866,1726125,6676240,2155400,882875,252522,56973080,455272,213801,373311,354191,3943248,1681936,111576,540086,20310294,11544881,27991846
6647,2026-03-08 19:07:26.753,38746734,29808,17461135,2256,52200,10954,44840013,1628022,18337300,1195066,2182688,126450,30904690,360242,52351,34963,10450,3938334,852062,50915,36316,54040300,19696004,59374228
6972,2026-03-08 19:07:27.078,28304846,37463,10910123,1349,29619,14926,28772409,1512419,10601102,1254547,1239140,55842,21517100,199163,95425,39109,54698,2901602,1261134,113939,174382,22961848,10378599,37398202
7698,2026-03-08 19:07:27.804,19974049,55450,10676600,2518,77289,35924,21850885,1665780,12778705,2853508,1647424,1077470,48916402,289904,113989,159078,176359,3960973,1881040,133464,217046,14615520,6722329,21642624
8274,2026-03-08 19:07:28.380,18211676,75203,5702651,1252,7831,8994,20079284,1492495,6567828,958763,854305,21196,37184778,279097,216987,104389,114009,3276942,1648860,121874,75365,19747087,7359727,27332401
9671,2026-03-08 19:07:29.777,13503553,66874,5842705,3290,36060,26647,7719836,1500031,7896178,3180248,963792,133826,22536035,208718,360924,138526,121463,4332729,1445278,63847,226810,7341538,5227413,15777623
10497,2026-03-08 19:07:30.603,24823045,77383,13601043,5881,68662,20534,17519825,1386705,9146232,2454602,919398,296650,26487892,135802,119838,78285,26070,3042848,1263020,33363,56715,4919792,3436873,18435326
12074,2026-03-08 19:07:32.180,20361208,77537,9513370,5105,33249,16503,13843626,746349,7314762,1862797,952122,322431,24951534,227168,49151,250272,259080,4051995,2207345,143711,633491,23058998,10491009,29960280
13674,2026-03-08 19:07:33.780,36317978,61376,22496036,6884,32258,14216,42456676,1655150,25558603,2021311,2039902,1085088,38146310,294845,76876,308853,199480,3383931,1345910,68491,303403,28650250,16746693,48205947
14223,2026-03-08 19:07:34.329,38752475,64380,17825419,5640,13104,13552,35862875,2164085,21003567,1573451,2055396,255452,60128797,296755,384615,264825,65088,2702767,1118020,304285,225776,32593769,19821443,55346104
14397,2026-03-08 19:07:34.503,10348186,1157,9270650,86,600,41,6519166,900885,8505256,20423,937517,1116131,195823765,765469,693940,523,60,1389832,1478002,744722,1222,3790488,5302174,15756408
14573,2026-03-08 19:07:34.679,1737302,2397,4554320,380,584,40,9071410,879368,8324881,22004,654155,13050,143021292,589437,511651,1162,92,1323731,1398386,567955,149,830837,42368,904096
14771,2026-03-08 19:07:34.877,633958,4274,45973,84,648,69,716219,635685,48274,31968,735214,746871,211289703,774785,659674,12323,7262,1434199,1679955,732578,11527,9426434,6285866,9176650
14948,2026-03-08 19:07:35.054,2866925,3351,39968,66,572,52,786475,708216,40038,23655,751635,1113892,212680063,749229,681728,4737,5604,956876,1091883,284624,12057,10127236,9034218,14393964
