elapsed_ms,timestamp,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,l1d.replacement,l1d_pend_miss.fb_full,l1d_pend_miss.pending,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-references,cache-misses,mem-loads,mem-stores,mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any
500,2026-03-08 20:27:36.840,12260700,5565241,768171,5543,5673,5079,99501513,11952431,106375438,434535,15364231,10255127,2758758437,11854786,9409801,33456,3846,28281655,20969336,9325209,3049,12480724,765306,13177652
1000,2026-03-08 20:27:37.340,91664424,4695541,77606195,8993,23155,15140,60743092,15550476,37987239,2644352,15008243,11901203,3075183497,13304420,10374221,264749,133438,32555315,23246010,10604195,97324,71751824,62028703,140093848
1500,2026-03-08 20:27:37.840,25137740,4826168,1229262,4862,10561,9789,30453180,12876661,36706567,1481268,14385412,11896729,2823153550,12106606,8929198,150554,66327,25960440,20227832,8481984,77629,70526157,44259635,69305639
2000,2026-03-08 20:27:38.340,12695153,4387719,1142552,9086,11371,12879,14416706,14963893,18903450,723101,14188452,6826777,2527457043,10924153,8711932,251151,157325,26907274,20653357,7720434,79588,31035415,15321516,28192163
2500,2026-03-08 20:27:38.840,86119068,5054417,89373085,3409,6486,4623,72259095,17139328,32013290,375485,14889745,10385847,2914926621,12660918,11037642,169450,112396,29472006,22826425,10024800,32808,50536232,51995480,132134738
3000,2026-03-08 20:27:39.340,37853088,4733693,47228731,2744,7889,5017,76183277,13217288,73025905,453899,12099676,5905012,2519107751,10690083,8976831,30103,3140,25138579,20267859,8730759,3763,13422046,759484,38040979
3500,2026-03-08 20:27:39.840,41684664,4960570,35507313,7393,20987,11102,66693188,17560033,53665289,439527,15319093,10185378,2906989977,12404776,10740351,292818,186121,30245161,23622001,10527212,276851,59558004,44514382,77698251
4000,2026-03-08 20:27:40.340,59794671,4794972,23786779,2720,8611,5056,10776873,13545650,689237,467542,13920367,11485408,2778709349,10751555,9037018,164221,83066,26075907,20587595,7045744,182048,80775584,60296833,111902875
4500,2026-03-08 20:27:40.840,56261767,5166733,52965435,2829,7143,4960,83246618,15303537,94106696,411912,15037647,13117348,3279744019,14623259,12145134,34074,1843,30773464,24118534,11558406,1877,14604995,16434541,71790859
5000,2026-03-08 20:27:41.340,80233278,4659195,89809519,4098,6245,4835,93721651,17298333,82965363,429946,17137801,15540982,3599077045,15482031,12091671,25177,2081,31752860,24514636,11916033,15448,38948625,41933700,124823911
5500,2026-03-08 20:27:41.840,64085813,6414173,50818877,4215,6455,4746,71649377,16548851,53825054,385589,18474400,18287498,3440265525,14614626,10251956,154658,79640,30239118,22504717,10189126,80198,72613016,52861524,116793025
6000,2026-03-08 20:27:42.340,58332435,5324415,39369971,3000,6210,5168,16672767,17871133,24446336,437824,17300565,16713071,3411573941,14578861,10502235,95460,6333,27114371,21050144,9558179,62798,59455032,43210982,94851512
6500,2026-03-08 20:27:42.840,31099145,5069338,778714,2856,8164,5275,12035914,14462323,766215,408420,13868182,11423090,2852530381,12348381,8708595,360768,223691,26481189,21293264,8309006,234570,152376379,98048779,119114840
7000,2026-03-08 20:27:43.340,14923758,6406924,733571,2939,6081,4973,15483246,19482545,705133,362435,18021186,12207654,2600859884,10537964,6805291,397877,198367,32450238,23257080,10287827,109515,65215608,25716521,35675635
7500,2026-03-08 20:27:43.840,82944153,6383278,41180317,2844,6389,4859,38902800,17850153,55475168,360584,18401178,17004985,3661582750,16100122,12148532,90771,90937,33223551,24672037,11621645,140784,120008259,99019832,182506295
8000,2026-03-08 20:27:44.340,159771284,5728703,82749925,2820,4390,4395,18791004,24159791,743381,317599,23497381,23186504,4038568223,17489524,12214148,147350,78369,36665440,23872681,8794618,178865,161977668,162910338,359590468
8500,2026-03-08 20:27:44.840,69145653,5734822,108668329,4184,5006,4321,159997572,17762566,90994819,328224,19778009,18340187,3713418169,17283887,12034753,14913,1226,35084433,23250200,11254008,1306,15829037,9165009,73311045
9000,2026-03-08 20:27:45.340,18531660,7812889,673034,2800,6288,4559,32873955,23003843,45924846,330627,19717864,10849268,2179506025,9524186,6468619,420852,199992,38251125,27303855,15106448,19785,18512740,665329,19116062
9500,2026-03-08 20:27:45.840,154964911,4865838,151486706,2925,4846,4503,70767121,20395699,11256227,320990,19871292,17701314,3696945325,17325792,12561008,16929,1371,36938079,24802033,11434139,60645,80930956,87918240,250260240
