elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-08 20:48:06.600,92197706,498184806,80653242,4197045,498169019,81691466,63998962,498162936,82644601,3439,498157320,83429811,4890,498151223,83633267,4508,498144474,83538974,44207657,498138314,83472843,15762258,498131855,83736353,19465148,498125533,83630968,422058,498119048,83598082,16494075,498112991,83423881,17186295,498106920,83364436,3617964308,498099585,83498581,16393182,498093156,83554538,13447155,498086863,83810634,194565,498080763,41893879,97556,498105190,41638095,33527110,498102676,62599253,24863647,498096031,83543090,10048655,498089821,83491815,116082,498099932,83303680,104253929,498095242,82295672,97478792,498089797,81343420,195685002,498084425,80398250
1000,2026-03-08 20:48:07.100,42421773,994453989,163928276,4554671,994438627,164951368,4023567,994432475,165948674,3680,994426799,166967687,6352,994420683,167017324,6394,994414114,166705464,13241747,994407850,166761964,15657740,994401303,166740710,6423960,994395004,166768219,509311,994388506,166724638,15199015,994395271,166654953,11932971,994389422,166793746,2455496334,994382129,166896375,10288295,994375668,166991653,8474554,994369380,166955936,335600,994363274,83557901,223022,994359129,83080835,29357428,994353871,124009092,23354496,994348192,164899352,10847780,994342740,163807436,209952,994336527,163506109,65877028,994330219,163438312,51501297,994323588,163246076,97682688,994316994,163063102
1500,2026-03-08 20:48:07.600,33603601,1492234549,247374469,4862794,1492219319,248207407,10001585,1492213351,249421678,5386,1492207830,250707435,8158,1492202149,250762689,4802,1492212886,250450691,67063117,1492207130,250263411,15649592,1492200861,250165843,50173740,1492195136,250084385,379767,1492188912,250074764,16857668,1492183151,250255930,15806194,1492193636,250438569,3184500229,1492188620,250226623,13586193,1492183747,249324359,10919352,1492178733,248284841,215460,1492173143,123218887,192516,1492167337,123215509,30617219,1492161503,185142548,22839854,1492155807,247040772,9474644,1492149751,247279667,98820,1492143421,247525743,78506276,1492137625,247422332,48747840,1492131200,247001385,83655587,1492124824,246592591
2000,2026-03-08 20:48:08.100,60063479,1986273189,330442180,3888763,1986257372,331461567,43850806,1986251195,332545329,3368,1986245513,333732371,10013,1986239651,334035827,6109,1986232946,333580196,15904758,1986226694,333603974,14751003,1986220163,333467577,28580998,1986215805,332171104,440038,1986210624,331329928,12265379,1986205640,330715916,5214022,1986200574,329946698,2392776559,1986193498,330261854,9994793,1986187225,330023904,8455780,1986180921,329688288,77215,1986174805,164804870,2777,1986168697,164455945,25386132,1986162215,247072325,19756642,1986155599,329725996,7684742,1986149215,329810296,48979,1986142840,330446023,54900143,1986136518,330474384,56633114,1986129890,329984994,119156603,1986123270,329650807
2500,2026-03-08 20:48:08.600,56230094,2485125302,414473342,4614273,2485109700,415465314,19935067,2485103546,416078593,17918,2485097965,417315601,61006,2485093477,417040961,23482,2485088007,415363209,43465974,2485082862,414853854,15655081,2485077394,413675858,67711345,2485071333,412418370,353975,2485064904,412647264,15144811,2485059116,413028684,9627885,2485053095,413025483,2613672565,2485045795,413871866,12590433,2485039360,413763940,10616076,2485033083,413442042,209620,2485026980,206820589,137466,2485020917,206478445,30149261,2485014722,310077263,22007821,2485008086,413703107,9448911,2485001727,413823060,92579,2484995314,414383948,61025183,2484989030,414448092,47318262,2484982433,414005765,113343102,2484975869,413613986
3000,2026-03-08 20:48:09.100,43246177,2984660880,497917260,4707726,2984646374,497671110,58308254,2984641234,497324807,3035,2984636749,497595004,8317,2984630865,497359357,5646,2984624122,496896195,61276919,2984618012,497305121,17478929,2984611443,497110998,45772179,2984605114,496354145,366110,2984598622,496597926,16687097,2984592519,497035208,13337392,2984586417,497041322,3031667046,2984579050,497829891,13783558,2984572583,497700994,10578756,2984566234,497380302,155090,2984560127,248728828,68094,2984554023,248381843,32126758,2984547519,372974534,23714000,2984540857,497584890,11098829,2984534458,497784646,67761,2984528236,498367918,53064330,2984521884,498458673,25621501,2984515211,498010906,65705987,2984508566,497604555
3500,2026-03-08 20:48:09.600,112545288,3484212708,578384420,4940440,3484197002,579167215,37729845,3484190826,579750115,2890,3484185147,581054965,6964,3484179165,581288687,5009,3484172406,580799845,15877859,3484166154,581244728,18459144,3484159832,581075131,21863810,3484153527,580323121,306430,3484147035,580569056,16273166,3484140960,581021730,12222710,3484134905,580783649,2789561195,3484127564,581556677,13132890,3484121094,581446658,10917808,3484114797,581111251,57551,3484108679,290649506,32977,3484102580,290331812,33298533,3484096095,435982261,22865589,3484089547,581517421,8765902,3484083150,581794303,145052,3484078691,581919432,120693548,3484073634,580933738,111503925,3484068115,579571542,244576793,3484062531,578105548
4000,2026-03-08 20:48:10.100,71322167,3983207218,661819983,4833960,3983191533,663034577,60327568,3983185349,663612289,7289,3983179687,664976870,6155,3983173593,665247754,4817,3983166805,664813603,119777479,3983160531,665202374,14811331,3983153969,665005633,112219049,3983147640,664236884,370176,3983141131,664480174,18347693,3983135069,664964764,19165671,3983129260,664730539,3624654612,3983121905,665500927,15312627,3983115432,665372821,12126082,3983109101,664842294,21600,3983103041,332471851,960,3983098675,331875603,33888093,3983093862,497503125,25087943,3983088273,663041208,12254112,3983082948,662298318,26429,3983076702,662343660,48217577,3983070363,661894565,50094582,3983063783,661544107,127609828,3983057164,660999853
4500,2026-03-08 20:48:10.600,73883140,4482367215,745777478,4989479,4482351822,747003839,64676018,4482345802,747579398,5590,4482353118,748849407,5414,4482347093,749159009,5172,4482340384,748740389,80561212,4482334229,749093713,18687163,4482327707,748911326,58222178,4482321425,748105717,375246,4482314962,748304897,18805422,4482308980,748817185,17221453,4482302949,748669323,2993503995,4482297228,748986402,12184222,4482292046,747888610,9972946,4482286801,746328379,148349,4482280985,372452345,44863,4482274924,372265573,35086270,4482268444,558880637,26465678,4482261768,745319797,14528732,4482255385,745601408,12961,4482248928,745922018,40194257,4482242637,745479908,38423117,4482235970,745237613,122966947,4482229379,744639292
5000,2026-03-08 20:48:11.100,63917843,4981800956,829509220,4847166,4981785127,831041516,21814508,4981778937,831583945,4600,4981773223,832814796,6643,4981767088,833066133,5384,4981760290,832715858,95561480,4981754013,833044751,14618384,4981747496,832891624,101694625,4981743199,831659960,432046,4981737818,830753811,17545685,4981732745,830266653,17099496,4981727601,829117304,3420677017,4981720515,829334111,15318242,4981713999,829316366,12296200,4981707654,828803922,122943,4981701509,414402232,65056,4981695371,414192171,33328381,4981688856,621816111,23651054,4981682161,829213427,10142463,4981675750,829558921,97084,4981669265,829826039,73844273,4981662939,829066162,56364776,4981656572,828878904,129648322,4981649952,828277477
5500,2026-03-08 20:48:11.600,71106934,5481337867,913400543,4778633,5481322220,914950961,70868501,5481316010,915491550,5506,5481310307,916719649,7283,5481305923,916585587,4521,5481300249,915242992,91496825,5481294969,914561113,14615866,5481289409,913333039,101481302,5481283310,912082859,321781,5481276816,912163471,16073930,5481270708,912699628,15147140,5481264620,912624084,3316080070,5481257262,913330859,14889606,5481251176,913318380,12291239,5481244876,912776960,19049,5481238788,456347901,1442,5481232674,456119275,32513275,5481226171,684730379,24581835,5481219527,913120363,12440833,5481213117,913505473,18454,5481206669,913605583,40806635,5481200339,912850376,41416591,5481193673,912674538,121460802,5481187055,912074825
6000,2026-03-08 20:48:12.100,104174789,5980668572,996675282,4417096,5980653751,997213361,115099344,5980648515,996752661,2740,5980644019,997222135,7515,5980638157,997048329,4392,5980631401,996701139,82830829,5980625120,997046583,17773161,5980618556,996792794,69801028,5980612236,996089708,292773,5980605855,996143637,16713548,5980599886,996682422,14016035,5980593796,996650022,3346320562,5980586461,997326816,14897261,5980579962,997355099,11939193,5980573634,996776530,22087,5980567484,498206560,3052,5980561367,497722431,33014615,5980554863,747340222,24413956,5980548193,996708603,11932620,5980541777,997216546,19129,5980535600,997591607,42139689,5980529238,996859677,48636887,5980522584,996681716,164245691,5980515922,995837258
6500,2026-03-08 20:48:12.600,15096497,6480073838,1077121828,5045128,6480058176,1078639458,17815809,6480052002,1079176252,5606,6480046278,1080736276,10574,6480040189,1081020737,4761,6480033683,1080656720,71946422,6480027443,1080548992,15536440,6480034035,1080277312,74078054,6480027797,1079603340,329410,6480021269,1079655580,15726804,6480015209,1080664671,11223776,6480009172,1080619088,2468437507,6480001867,1081354803,10855250,6479995431,1081405953,8731678,6479989304,1080787253,204461,6479983239,540143299,75494,6479977163,539723704,33903169,6479970703,810329054,24959270,6479964057,1080691780,12423087,6479957692,1081212672,3128,6479952858,1081100753,15057604,6479947703,1079395760,671906,6479942321,1078222045,15595092,6479936782,1076325003
7000,2026-03-08 20:48:13.100,29373928,6979710715,1160868390,5620856,6979695039,1162363059,55684931,6979688833,1162905962,7839,6979683094,1164480623,5937,6979676969,1164997181,3961,6979670182,1164678787,166536467,6979663898,1164558697,14308653,6979657386,1164247173,142287749,6979651202,1163589486,464206,6979644732,1163622870,16417622,6979638641,1164625294,16544333,6979632563,1164625095,3462082275,6979625260,1165355117,16526353,6979618760,1165403705,13212473,6979612444,1164787013,15708,6979606356,582055658,1333,6979602063,581187024,36037335,6979596705,871775021,24775429,6979591046,1162143022,12688136,6979585579,1161771137,1183,6979579356,1161556024,16110501,6979573039,1160868345,668208,6979566373,1160689821,17237437,6979559756,1159743621
