elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-09 14:41:15.985,45420487,498058734,80509507,24885,498048264,81575993,26243227,498028805,82784924,2270,498022406,83788244,12647,498015480,83953453,1672,498008139,83663562,33498707,498001116,83722837,32797260,497994438,83731032,10154182,497988032,83739103,339142,497981688,83744826,31879216,497974755,83455059,5948932,497968199,83465914,5869214762,497961633,83152136,29735412,497955145,83462238,20681065,497948322,83707133,19820,497941889,41704416,6030,497967005,41455185,86308021,497965471,62176421,51923922,497958975,83147401,26053220,497952938,83429930,6904,497948144,83301063,46386349,497943482,82520376,36489727,497938275,81276866,64479035,497932634,80240535
1000,2026-03-09 14:41:16.485,26841882,996506880,164415035,49933,996496670,165457926,2036958,996477638,166671036,2733,996471546,167717642,8624,996465204,167874872,980,996458245,167618503,25176803,996451450,167398064,23876693,996445518,167385717,4034373,996438997,167169646,391190,996433310,167204647,27111396,996426779,167152399,14417717,996420434,166951799,7925147731,996414285,166811855,36828170,996407977,167073993,26615396,996401436,167125872,25722,996395326,83361386,6976,996393915,82979488,70632680,996389162,123671155,52169398,996384405,164647038,27068210,996379324,163939821,7286,996373260,163552184,30278064,996366749,163787267,10483369,996359819,163514528,29686854,996352911,163508464
1500,2026-03-09 14:41:16.985,32277227,1494351218,248304214,52304,1494340900,249414762,15669859,1494321463,250255121,6392,1494315055,251280407,9475,1494308056,251232553,1923,1494300712,250917258,31866690,1494293699,251091231,32337608,1494287016,251105777,17348907,1494280249,251115275,424969,1494273899,251214116,35883718,1494267068,251000694,21906717,1494260492,250477629,8067782994,1494255421,249862130,33915178,1494250027,249111204,23766339,1494244197,248312348,25309,1494237999,123156956,5726,1494231467,123155437,82407546,1494224643,184842831,50651801,1494217937,246466951,23119124,1494211410,246745335,6558,1494204398,246957468,31697984,1494197661,247147429,11904386,1494190488,247211709,37825688,1494183396,247434205
2000,2026-03-09 14:41:17.485,33714694,1993006625,332230031,17774,1992996263,333354451,21533850,1992977057,334165267,1391,1992970810,335262409,9901,1992963971,335124482,1053,1992957614,334840492,35047169,1992950838,335034189,33390303,1992961545,335035097,15555374,1992957034,334693551,396441,1992952731,333477890,28004656,1992948019,332269107,11781847,1992942658,330695403,6098919820,1992936479,329671458,27951324,1992946426,329985555,20957690,1992940945,330164385,31625,1992935301,165169378,4561,1992929085,165154134,80482634,1992923644,247788047,49590349,1992917023,330285388,22523741,1992910628,330584880,6086,1992903738,330684553,32912985,1992897413,330877666,16458347,1992890439,331092780,40196770,1992883382,331216707
2500,2026-03-09 14:41:17.985,30270089,2491931700,416093239,35363,2491921205,417223406,10112030,2491902845,418047717,11050,2491897297,419191567,37827,2491891599,418571644,13747,2491885822,417267496,32749365,2491879904,416477893,32386861,2491874266,415426230,20412153,2491867786,414941576,451026,2491861386,414751558,36350043,2491854465,414567447,15378774,2491847983,413959568,7637706965,2491841385,413535959,36105930,2491834974,413921394,25200675,2491828236,413999636,77174,2491821825,207032750,11167,2491815254,207070310,79392437,2491808484,310406155,50175337,2491801778,413905880,22003738,2491795243,414218201,10224,2491788287,414306041,32826418,2491781565,414741609,10217521,2491774461,414913293,33276069,2491767390,415051004
3000,2026-03-09 14:41:18.485,28395084,2991238931,499576189,21129,2991229345,499722993,1695177,2991210738,499605132,22138,2991205291,499522277,95337,2991198429,498703006,40086,2991191085,498455209,33915131,2991184373,498620261,33625245,2991177756,498789418,17351099,2991170874,498968769,305992,2991164445,498763890,35630086,2991157530,498286428,18437808,2991150977,497654945,8357207254,2991144324,497171774,42529606,2991137713,497585880,27258876,2991130820,497927705,151563,2991124400,248998018,14484,2991117781,249045433,84309536,2991110921,373421515,53351691,2991104159,497911000,26079052,2991097573,498225543,13666,2991090533,498335032,31858885,2991083802,498672613,8305591,2991076583,498860212,30272692,2991069460,499016098
3500,2026-03-09 14:41:18.985,41469291,3487191462,579833484,11002,3487180854,580970493,31164194,3487161326,581266245,2199,3487154861,581896061,9132,3487147838,581536205,1404,3487140484,581103525,39668945,3487133509,581606570,36894103,3487126820,582147791,21024174,3487119930,582470572,399428,3487113507,582395163,33646469,3487106507,581919539,18794899,3487099914,581412595,6805279637,3487093228,580860112,29637979,3487086972,581303733,20110657,3487080140,581904948,24945,3487073668,290759200,2915,3487067086,290593829,81615437,3487060452,435955376,49454778,3487053708,581390809,20292302,3487047121,581181138,4673,3487042059,580496158,35766649,3487036507,579852465,18534809,3487030265,579098099,51761550,3487024189,578823823
4000,2026-03-09 14:41:19.485,42008411,3983941989,662917069,23172,3983931330,664143581,18015020,3983911793,664746381,3986,3983905325,665631794,20342,3983898535,665060609,5473,3983891134,664480901,38420606,3983884077,665051257,36459316,3983877784,665508877,16651368,3983870988,666040588,389292,3983864560,666320618,36875298,3983857646,665486824,17696254,3983851056,665112324,7156711802,3983844424,664492275,35982694,3983838140,664737433,20337395,3983831248,665361324,36328,3983824777,332160670,6750,3983819624,331647416,82432885,3983814009,497005230,51907868,3983808294,662474436,24117224,3983802723,661522152,6618,3983795987,660870156,42908194,3983789261,660946716,29498439,3983782121,660812604,59622852,3983775002,661269135
4500,2026-03-09 14:41:19.985,37358404,4480089312,746020689,15372,4480078839,747250419,15047176,4480059386,748605079,1607,4480052922,749528793,13855,4480045860,748863087,1144,4480038506,747963647,37638803,4480031432,748478034,35487271,4480024800,748872822,15555986,4480018050,749514339,388789,4480011616,749845597,33665714,4480004640,748731081,16890139,4479998204,748151113,7371604261,4479992999,746984737,37670167,4479987670,746224191,23621731,4479981842,746146979,24180,4479975603,371840815,4688,4479969000,371694712,82919073,4479962132,557742337,52698105,4479955391,744228445,25777207,4479948823,744498159,5987,4479941783,744444797,40031113,4479935037,744782975,21237248,4479927843,743886081,47736811,4479920725,744321538
5000,2026-03-09 14:41:20.485,36282200,4975723573,829609209,13789,4975713641,830613671,20424746,4975694238,831778800,1721,4975688019,832452101,15236,4975681505,831743758,1610,4975675168,830992245,35299817,4975668232,831787616,34308544,4975661586,832431749,15376374,4975656709,832574455,378830,4975651627,831712513,38060028,4975645616,829593121,16919772,4975640105,827746229,7045556431,4975633705,826719982,35176924,4975627106,826977948,20931450,4975620295,827868720,28705,4975613889,413579080,6595,4975607323,413388950,92491037,4975600513,620403192,50673524,4975593766,827401760,23628665,4975587309,827419107,6350,4975580319,827425744,41888093,4975573604,827782245,22773561,4975566459,827278696,46314821,4975559586,828159546
5500,2026-03-09 14:41:20.985,39988166,5471254602,912904331,20110,5471244338,914127937,27314386,5471224997,915646644,2919,5471218576,916284259,14185,5471213408,914835573,1930,5471207269,912784780,37807340,5471201242,912478373,34266356,5471195672,911893175,12762505,5471189157,912033665,475313,5471182842,912405672,32157683,5471176472,911157874,10389742,5471170667,910568571,6482161243,5471165850,909986958,34434472,5471160077,910323937,20251583,5471154999,911403686,28639,5471149060,455231464,5989,5471142493,454868603,81957654,5471135810,682734313,52530429,5471129086,910749534,22748322,5471122619,910990568,5738,5471115679,910423154,38858743,5471108989,910694423,23948078,5471101879,909797093,52487513,5471094840,910710153
6000,2026-03-09 14:41:21.485,37135148,5968752404,996124462,9650,5968742809,996372871,16865034,5968724355,996596924,1318,5968718910,996226977,10705,5968712141,994661129,1615,5968704902,993597503,40100492,5968697962,994449364,40035100,5968691290,994887766,25500625,5968684560,995881013,406964,5968679312,996210345,43139522,5968673007,995040410,31537718,5968666917,994038883,9039787182,5968661000,993198453,42491597,5968655011,993574855,25617515,5968648314,994721140,21474,5968642487,496965145,3738,5968636086,496583387,88712554,5968629442,745423078,54808299,5968622792,994404831,23178331,5968616229,994890595,4076,5968609584,994100684,36509455,5968602900,994369027,12528484,5968595773,993511686,42318752,5968588642,994445128
6500,2026-03-09 14:41:21.985,42569963,6465920010,1076148268,23915,6465909409,1077138891,27013042,6465890238,1078346881,1480,6465883788,1078997137,11929,6465876736,1078056545,1777,6465869396,1076678794,38534362,6465862395,1077834399,36900863,6465855719,1078248036,20199972,6465848842,1079247015,400108,6465842430,1080117601,38124972,6465835716,1078911068,28711568,6465829156,1077918244,8494109098,6465822516,1077040221,35385710,6465816396,1077427307,23899056,6465809889,1078582950,24357,6465803988,538873585,3831,6465797605,538291022,83598584,6465791953,807881821,48629322,6465785476,1077791649,18595249,6465779263,1078334968,4940,6465774042,1077019633,36779127,6465768450,1076526944,19715115,6465762212,1074451210,55733645,6465756096,1074347419
7000,2026-03-09 14:41:22.485,36961074,6963336006,1159807681,9004,6963325444,1160798463,12115059,6963305972,1162210004,1263,6963299581,1162845305,9777,6963292567,1161598537,1368,6963285219,1159941774,39469517,6963278399,1160874391,41710040,6963271816,1161283959,28683989,6963265138,1162550352,400036,6963258827,1163681422,47371176,6963251953,1162763644,38884656,6963245430,1161441642,9322041969,6963239006,1160689026,43774304,6963232469,1161069187,25979710,6963225615,1162194622,24492,6963219608,580829821,4974,6963214641,579524005,87282222,6963222042,869114994,52306123,6963216320,1159018943,21636362,6963210737,1158521002,3893,6963203992,1157119247,36914091,6963197257,1157624613,13895821,6963190100,1156279248,43019222,6963183076,1157239945
7500,2026-03-09 14:41:22.985,38758556,7459533894,1243702851,12779,7459523384,1244471644,19763960,7459503903,1245917800,1706,7459497531,1245873697,11257,7459490599,1244362087,1362,7459483316,1242890138,37546561,7459476317,1243800687,38661085,7459469825,1244930698,21819809,7459462989,1246229057,345350,7459456673,1247122828,38178475,7459449681,1246070528,17615369,7459443144,1244692195,7307996931,7459438497,1243363341,34777736,7459433182,1242959291,22397513,7459427413,1243231951,21037,7459421373,620496037,4768,7459414827,619496238,87771127,7459408024,929997677,49007827,7459401307,1240599386,23892371,7459394765,1241361743,5598,7459387816,1240428888,38640722,7459381084,1241024577,20684734,7459373971,1239900918,51013414,7459367338,1240840377
8000,2026-03-09 14:41:23.485,42173111,7956340977,1326931831,12784,7956330771,1327478969,23339468,7956311369,1328893782,1478,7956305338,1328893019,9365,7956298490,1327791536,1523,7956291247,1326771060,39825731,7956284361,1327661614,37421850,7956277818,1328532341,18114229,7956272878,1329238096,355791,7956268048,1328871830,36075080,7956262350,1326844438,21868485,7956256964,1324673895,7558517888,7956250728,1323556500,34337741,7956244319,1324400958,23554648,7956237579,1325454983,20955,7956231335,661768412,4502,7956224790,660877639,87800038,7956218083,992334426,52643307,7956211456,1323927729,23949265,7956204942,1325146405,5359,7956198062,1324256754,38577843,7956191428,1324646680,19933080,7956184683,1323542901,53244072,7956177970,1324507265
8500,2026-03-09 14:41:23.985,41616408,8452692514,1410301742,3960,8452681902,1410638780,22477747,8452662426,1411812768,1334,8452656047,1412050987,11914,8452650675,1410417228,1560,8452644672,1408357763,41516113,8452638601,1408500440,41281665,8452632833,1408174347,26871509,8452626305,1408836821,344108,8452619877,1409743021,42201283,8452612935,1408336534,29835729,8452606540,1407427844,8496756661,8452599908,1406808607,38386629,8452593311,1407451939,23922460,8452586807,1408863121,22942,8452580397,703699803,3836,8452573788,702806495,94104801,8452566922,1055258745,53715001,8452560269,1407844971,22485414,8452553769,1408993869,5156,8452546794,1408057886,38325578,8452540060,1408403694,15459412,8452532904,1407312729,51027835,8452525835,1408083409
9000,2026-03-09 14:41:24.485,34125126,8948925716,1493569511,10791,8948917218,1492637766,11711196,8948899677,1492811292,2969,8948894474,1491539632,16926,8948888468,1489886463,3425,8948881607,1489302672,36638426,8948874805,1490180111,35673945,8948868256,1491323128,16734752,8948861795,1492537188,382876,8948855608,1493186732,38214625,8948849273,1491512282,25043083,8948842900,1490607188,8690816458,8948836754,1489935287,37906973,8948830577,1490801553,27181365,8948824217,1492731112,33181,8948818032,745424390,6519,8948811874,743954066,81738565,8948805273,1117381625,55334828,8948798764,1490931750,26189660,8948792407,1492330072,4961,8948785637,1491624964,37832688,8948779101,1491777989,14010715,8948772177,1490733130,39186113,8948765660,1491513483
9500,2026-03-09 14:41:24.985,35539636,9444993365,1573419112,14560,9444982869,1573676289,19428628,9444963374,1574628367,3425,9444956990,1574378448,18197,9444949947,1573162302,3032,9444942716,1572648531,38947695,9444935730,1573618444,37713475,9444929129,1574490401,20327618,9444922314,1575492572,430528,9444915965,1576198541,37665550,9444909127,1574641294,22250061,9444902611,1574253341,7552665147,9444895979,1573550150,35515347,9444889405,1574099932,21612966,9444882577,1575965008,23968,9444876400,787306587,4807,9444869832,785892737,84607570,9444863001,1179775406,51403097,9444856290,1574334362,22322623,9444850078,1575680424,5002,9444844969,1574500777,38276067,9444839637,1573895762,22026528,9444833488,1571801958,47514175,9444827462,1571342442
10000,2026-03-09 14:41:25.485,39697181,9941058209,1656812010,14864,9941047875,1657232114,24695441,9941028469,1658371030,3183,9941022138,1657948294,11702,9941015226,1656527030,1656,9941007951,1655916022,39106312,9941001042,1656680027,35943469,9940994384,1657726747,17684940,9940987767,1658949276,411082,9940981417,1659785158,35421567,9940974551,1658504947,21541811,9940967988,1658202270,7739950579,9940961387,1656518379,37445736,9940954853,1657096048,20821740,9940948067,1658939684,21182,9940941999,828783439,4123,9940937597,826954841,79205353,9940932072,1240572960,48717938,9940926468,1655131241,20127312,9940920998,1655954284,4374,9940914290,1654333957,39259122,9940907562,1654767903,20885477,9940900687,1653424071,53704635,9940893683,1653893460
10500,2026-03-09 14:41:25.985,31580639,10437993709,1740527633,6620,10437983186,1740585760,10063547,10437963857,1741292297,4664,10437957535,1741131049,15559,10437950728,1739437454,6013,10437943513,1739090323,38661528,10437936565,1740069426,38559611,10437930387,1740506175,27987402,10437936613,1741709164,400340,10437930335,1742589958,44167733,10437923407,1741566036,41091956,10437916908,1741839783,9528888804,10437912493,1739964888,39645603,10437907557,1739573721,25820453,10437901899,1740397830,37106,10437896114,868635453,6607,10437889621,867267141,79426362,10437882816,1301862040,52394841,10437876178,1737382438,20968887,10437869762,1739321133,5272,10437863235,1738163493,33587193,10437856666,1738619557,9323307,10437849552,1737287729,36934532,10437842525,1737530393
11000,2026-03-09 14:41:26.485,38234026,10934723836,1824277561,14789,10934713197,1824049312,25241609,10934693827,1824573028,2397,10934687379,1824389065,11848,10934680386,1822735108,1409,10934673021,1822654116,36204792,10934665979,1823912147,34095369,10934659365,1824043358,15432388,10934654319,1824772236,394986,10934649152,1824487454,33640562,10934643227,1822385802,22654033,10934637642,1821969354,7300663650,10934631615,1819887599,34473365,10934625025,1820722179,22325203,10934618144,1822621369,22815,10934611727,910582426,5836,10934605134,908640156,91654495,10934598291,1364197755,49618377,10934591788,1820651654,21302884,10934585240,1822110712,5648,10934578605,1821469139,35374851,10934571896,1821920007,15416755,10934567486,1820562324,46856909,10934560364,1821301245
11500,2026-03-09 14:41:26.985,35765260,11431957213,1907781126,13538,11431946606,1907513014,14512337,11431927479,1908139023,1395,11431921092,1908144086,9704,11431915786,1905930556,1512,11431922724,1904820862,37340129,11431916688,1905196386,35346254,11431910946,1904359386,19842493,11431904323,1905095465,368600,11431897899,1905800013,37302928,11431891041,1904508670,22201716,11431884509,1904623026,7948316901,11431877858,1902812677,37713414,11431871256,1903720439,24934788,11431864373,1905880093,24848,11431858163,952310535,5366,11431851574,950103153,89256465,11431844708,1426612896,52633294,11431838004,1904083786,24991794,11431831463,1905766318,4715,11431824479,1905305832,39841051,11431817743,1905809323,17269277,11431810662,1904140692,43202574,11431803572,1904712362
12000,2026-03-09 14:41:27.485,35519909,11928241984,1991046262,15488,11928232709,1990016615,13856392,11928214304,1989440904,1992,11928208931,1987956416,10219,11928202201,1985407067,1321,11928195019,1985277796,38178470,11928188026,1986867071,37439708,11928181740,1987509269,19777499,11928174908,1988293405,366757,11928168548,1988832899,38565240,11928161643,1987474173,23746974,11928155127,1987564714,8125864664,11928148512,1986486978,37133931,11928142002,1987329329,25283577,11928135166,1989351249,26525,11928128761,993806183,4425,11928122520,991836793,92634269,11928115711,1489338748,51154669,11928109012,1987509075,24184385,11928102534,1989229946,5332,11928095546,1988700240,37388940,11928088855,1988980495,16389702,11928081689,1987571832,44519036,11928074614,1988344035
12500,2026-03-09 14:41:27.985,40109227,12424799389,2070351282,21248,12424789034,2070592636,23523282,12424769686,2070977670,1848,12424763351,2070417175,10857,12424756322,2069020587,1621,12424749113,2068862565,38845116,12424742092,2070495080,37748985,12424735531,2070912814,20720597,12424728732,2071588706,441632,12424722481,2072125408,33399637,12424715559,2070743820,19038786,12424709556,2071389882,6768868199,12424702980,2070420814,32664963,12424696438,2070784409,20473413,12424689574,2072569654,28513,12424683374,1035327425,4928,12424676786,1033619830,85347644,12424670096,1551857491,48755084,12424663362,2070999101,21688641,12424656847,2072952701,5144,12424651328,2072102192,41300879,12424646425,2071379729,25832377,12424643226,2069013846,56575445,12424637324,2068540534
13000,2026-03-09 14:41:28.485,40273365,12921164037,2153125162,14673,12921153415,2153872081,20800355,12921134011,2154372161,1775,12921127948,2154297764,10808,12921120931,2152930120,1362,12921113574,2152785134,44176589,12921106528,2154393475,41011022,12921100358,2154524811,20968478,12921093562,2155156311,393529,12921087195,2155440985,35497563,12921080276,2154034023,23646024,12921073741,2154987096,7722834472,12921067093,2153799434,37793393,12921060682,2154435643,23242089,12921053848,2155885860,24291,12921047421,1076604489,5097,12921042732,1074802897,85933194,12921037291,1613046509,49709104,12921031705,2152167212,20204140,12921026151,2153419433,4551,12921019397,2152052195,37139165,12921012637,2151773018,17473667,12921005462,2150303506,49721687,12920998384,2150327283
13500,2026-03-09 14:41:28.985,44212965,13417217218,2236800538,13971,13417206597,2237503001,23227379,13417187193,2237490687,1505,13417180998,2237458486,12523,13417173954,2236010854,1110,13417166622,2235909536,42426139,13417159572,2237550226,40808254,13417153167,2237896387,21930504,13417146449,2238361084,409810,13417140078,2238393546,42187207,13417133498,2237218632,25267617,13417126950,2238159684,8162039229,13417122134,2236726245,42432602,13417116639,2236595137,23185216,13417110813,2237026075,21069,13417104687,1116295080,3345,13417098079,1114955110,95181083,13417091221,1674160740,51126538,13417084492,2234211560,22760387,13417077994,2236015294,5281,13417070997,2235370766,41934828,13417064293,2235096264,20519523,13417057090,2233707490,55274140,13417050003,2233921975
