elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-09 14:42:07.207,1282904,499805883,80637968,1194,499784889,81614577,702689,499778241,82910190,1227,499773932,83902107,9999,499768306,84012822,874,499762076,84000661,1265706,499755669,83983565,136000,499749776,83972192,700629,499743767,83961359,300636,499737744,83733204,137429,499731311,83746935,1718,499725102,83748816,3334153,499718618,83740826,29949,499712632,83976548,5272,499706635,83968140,18548,499700555,41999038,1891,499719394,41998119,258339,499717126,63001541,82422,499710822,84030528,8314,499704718,84017262,2446,499700088,83537596,1223032,499693474,82524861,695398,499688197,81207828,1847361,499683067,80226055
1000,2026-03-09 14:42:07.707,1322522,997595054,164517743,825,997574016,165465061,710839,997567331,166803914,1028,997549419,167773813,9923,997543671,167869252,909,997537355,167738744,1291795,997531053,167714433,164346,997525109,167704611,750980,997518883,167699123,411655,997512800,167572001,166099,997506316,167384766,6782,997500012,167362776,6542598,997493424,167093674,44108,997487355,167368465,13854,997481289,167604870,23009,997475052,83232444,2712,997469914,82725677,449670,997464684,123516774,159374,997459331,164501215,16636,997454151,164222267,3867,997447964,163753200,1252528,997440018,163961853,722248,997433610,163578058,1932224,997427397,163588500
1500,2026-03-09 14:42:08.207,1322481,1495510572,247772002,1767,1495489676,248721905,696221,1495482976,249850799,1055,1495465079,250796037,9527,1495459349,251149537,1018,1495453031,251019234,1253023,1495446576,251306727,155550,1495440955,251431790,706445,1495434786,251682197,406456,1495428710,251549487,151550,1495422235,251274695,2409,1495415977,251339443,3963245,1495410532,250297682,45602,1495405552,249578877,7217,1495400423,248844484,21982,1495394482,122926787,2724,1495388216,122962747,603914,1495381912,184747991,121026,1495375554,246731403,8287,1495369380,247742106,1841,1495362974,247713160,1278631,1495355035,247924983,729992,1495348921,247490915,1941150,1495342731,247324794
2000,2026-03-09 14:42:08.707,1477440,1993741814,331379224,1510,1993721217,332614227,755387,1993714722,333584615,1155,1993697055,334612117,11106,1993691533,334957954,1137,1993685434,334810988,1318091,1993679166,335002638,165463,1993673388,335106815,733606,1993668724,334792618,376178,1993664052,333679578,160638,1993658786,332400352,5864,1993653840,331462844,8577095,1993647787,330464193,63720,1993641848,330517209,15732,1993635966,330998303,25237,1993629926,164864694,3638,1993624269,164925739,637889,1993618120,247657771,172464,1993611911,330614386,15414,1993606210,331614812,2946,1993600051,331569184,1342742,1993592334,331540286,811226,1993586105,331127768,2171892,1993580103,330901173
2500,2026-03-09 14:42:09.207,2223210,2492588132,415361835,10381,2492567177,416581772,1251092,2492560522,417583577,13021,2492542676,418618087,60471,2492538140,418160404,18773,2492533052,417021306,2099755,2492527714,416173547,195963,2492523088,415299194,1219559,2492517212,415268559,316377,2492511257,415121813,189810,2492504820,414877365,21248,2492498571,414903269,4176642,2492492368,414160353,52344,2492486377,414270161,4567,2492480364,414692902,49783,2492474173,206821991,7269,2492467959,206753134,532263,2492461676,310457811,78484,2492455364,414177681,6496,2492449236,415125519,7976,2492442883,415255399,2288342,2492434992,415255153,1282420,2492428641,415063181,3304333,2492422478,414877774
3000,2026-03-09 14:42:09.707,1256495,2991926087,498780920,1067,2991906092,498971616,647797,2991900387,499069175,1061,2991883457,499086512,9498,2991878035,498633938,1020,2991871765,498554985,1223071,2991865325,498643585,143469,2991859471,498757798,690309,2991853248,499246135,316937,2991847256,499095082,141709,2991853942,498869016,1751,2991847675,498660675,2890850,2991841144,497943273,32787,2991835282,498035579,4984,2991829218,498186376,18358,2991823026,248524019,1599,2991816724,248735849,278592,2991810389,373438008,45720,2991803993,498168078,3638,2991797815,499098981,1528,2991791399,499238278,1224613,2991783449,499223539,709449,2991777040,498964157,1866866,2991770834,498831241
3500,2026-03-09 14:42:10.207,1252368,3490933951,579012197,818,3490912983,580205833,692480,3490906299,581568817,1240,3490888684,582573228,10653,3490882969,582620227,1366,3490876686,582534764,1286566,3490870248,582583085,144772,3490864482,582613436,722073,3490872565,583114253,326605,3490866555,582952599,137945,3490860135,582797529,2055,3490854073,582646838,3124334,3490847518,581866649,30423,3490841510,581749322,5573,3490835477,581857954,18757,3490829270,290325561,1525,3490835904,290530632,270796,3490829614,436230316,60291,3490823265,581940612,4927,3490817140,583067563,1737,3490812436,582726947,1211792,3490805675,581707588,689536,3490800286,580211278,1819175,3490795063,579074612
4000,2026-03-09 14:42:10.707,1739430,3990451851,662955329,5954,3990431224,664082527,988182,3990424700,665526607,8297,3990406981,666570827,42036,3990401430,666581184,12057,3990395289,666527396,1767919,3990402045,666587772,182027,3990396235,666580245,1035720,3990390131,667098854,277667,3990384458,666934068,184597,3990378224,666786272,16424,3990372068,666668825,3079773,3990365864,665877779,45061,3990359989,665742480,3511,3990354172,665829281,38330,3990348253,332300338,4831,3990343713,331982908,348363,3990339138,497688342,47810,3990333871,663106633,3080,3990328805,663246401,4267,3990323161,662896198,1676032,3990315514,662908156,952380,3990309261,662625231,2524699,3990303390,662475539
4500,2026-03-09 14:42:11.207,1265853,4489763884,746706224,816,4489742914,747880804,675250,4489736237,749328720,1005,4489718591,750351358,10521,4489712890,750574627,903,4489706597,750283404,1228277,4489700165,750348984,133672,4489694244,750372391,680712,4489688043,750879444,305189,4489682005,750943786,139547,4489675558,750822936,2195,4489669295,750656823,2943484,4489663845,749382113,39884,4489658986,748231761,4922,4489653956,747036723,18126,4489648036,372028028,1651,4489641757,372500742,335240,4489635439,559220892,62468,4489629063,745648424,3793,4489622904,746764839,1112,4489616522,746900259,1228037,4489608592,746864332,705920,4489602212,746566769,1852955,4489596011,746463464
5000,2026-03-09 14:42:11.707,1246323,4989382150,830424492,821,4989361133,831635395,689003,4989354455,833051384,1004,4989336574,834369858,11561,4989330903,834578571,962,4989324615,834256951,1215892,4989318181,834319803,135106,4989312265,834328370,664490,4989307186,834318237,290669,4989302226,833404875,129221,4989296801,832245372,1512,4989291428,831066332,1923135,4989285111,829851939,23007,4989279053,829682747,2008,4989273008,829569416,18919,4989266779,414019175,902,4989260647,414466752,314568,4989254339,622197025,33334,4989247994,829625323,1957,4989241838,830753408,1212,4989235482,830900216,1198690,4989227588,830843586,685349,4989221218,830554779,1846389,4989215423,830199671
