elapsed_ms,timestamp,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,l1d.replacement,l1d_pend_miss.fb_full,l1d_pend_miss.pending,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-references,cache-misses,mem-loads,mem-stores,mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any
8500,2026-03-08 17:40:11.530,12617802,4458,8479776,282,1830,187,11000896,2144716,8249735,73471,2231624,2098506,498124718,1800460,1610724,13476,6457,3825658,4350266,2177996,6505,9968949,9620160,22082461
9000,2026-03-08 17:40:12.030,24208664,2648,8640494,269,1822,316,2973752,2808469,123766,61295,2725534,3507156,665738746,2454020,2031765,14525,11389,3979986,4019946,1242069,40517,29515295,25993861,54605048
9500,2026-03-08 17:40:12.530,27394195,2108,21370357,193,1563,136,12291718,2481431,5002394,53947,2442851,2937261,634011825,2404878,2105585,1857,127,3925751,4103694,1905811,8269,13919228,17724532,44914715
10000,2026-03-08 17:40:13.030,8898009,8153,7018260,496,2436,427,12219622,2172789,7816922,126341,2396812,3056234,598388102,2277886,1914510,14204,9233,3747817,3761390,1413153,25528,17087200,11791611,20746071
10500,2026-03-08 17:40:13.530,19664583,4909,6948904,243,2245,311,3024954,2828753,149312,95933,2890845,3482172,659682514,2369272,1835914,13020,6192,3850663,3793702,1425924,27293,23259636,19370867,41983957
11000,2026-03-08 17:40:14.030,16530136,5982,13613311,393,2199,374,17901686,2499818,16780078,93326,2450007,2310268,490611733,2056271,1746079,14381,6431,4407639,4545634,2445744,5960,9555980,9057953,26322018
11500,2026-03-08 17:40:14.530,4077514,2304,122945,235,1613,218,2490786,2298290,126088,59151,2332698,2658765,546241130,1973116,1453849,32994,18214,3383605,3507666,1464538,26899,18554182,10090370,13308820
12000,2026-03-08 17:40:15.030,2518105,1960,123090,206,1538,177,8159765,2053673,18046981,65155,1562022,397343,343765509,1713496,1861518,9241,862,3979605,4455144,2252662,215,2582096,118306,2614527
12500,2026-03-08 17:40:15.530,2676157,3959,875210,457,2338,609,16786563,1852387,18475916,61964,2478737,2987548,597386857,2161925,1896185,13972,6534,3590926,3827502,1681681,9611,7071320,2118189,2740029
13000,2026-03-08 17:40:16.030,15046904,7162,15401027,563,3313,683,16579363,2482179,6160414,186331,2285868,2157064,484329450,1790736,1556546,15321,6431,3748864,4132357,2032842,2818,4658255,4527518,18543680
13500,2026-03-08 17:40:16.530,34187276,3929,23903500,380,2837,425,3281738,2650870,221004,122511,2664702,3495410,705794346,2776289,2529455,2464,243,4335180,4621454,2076220,20360,26061706,28195622,65488221
14000,2026-03-08 17:40:17.030,4494197,784,14672985,515,2851,551,37415205,2010656,27384993,57735,2457344,2976537,632108853,2556428,2209308,1961,188,4049635,4291604,2122180,514,2614005,142642,2752335
14500,2026-03-08 17:40:17.530,3099436,1311,124647,186,1618,161,2596467,2442554,123268,62424,2519140,2323570,464234534,1661831,1068968,34840,19512,3711637,3724894,1786910,14690,8815383,4273285,6431307
15000,2026-03-08 17:40:18.030,16426185,2459,9655141,216,1667,185,6057547,2670014,6895844,55654,2536922,2832725,634881032,2688981,2532972,11652,9285,4584329,4580410,1918175,26418,23290019,20144057,37650618
15500,2026-03-08 17:40:18.530,13952452,2724,12374949,212,2100,187,12185228,2410586,8945948,48845,2358102,2234367,491536419,2186933,1989796,3167,133,4203740,4326081,2022404,8688,11410961,9559934,21679213
16000,2026-03-08 17:40:19.030,11608663,2493,8767978,227,1485,223,12375219,2353953,11100466,61244,2183657,2024830,527209051,1992683,1871275,8405,612,3610896,4042720,1897968,1395,5417677,5469449,17619779
16501,2026-03-08 17:40:19.530,2442544,6219,118586,220,1291,156,2284254,2080384,125454,66691,2128428,2408283,566167876,1731391,1411639,36965,20828,3278407,3827065,1632733,22881,10720342,4062127,5842240
17000,2026-03-08 17:40:20.030,11856135,8326,9280648,246,1297,169,10400513,1792865,9826720,64656,1915001,1488100,537757211,1858413,1832815,13442,7813,3444625,4217142,2017703,14546,12213011,10238986,21829684
17500,2026-03-08 17:40:20.530,5412086,10377,7039073,289,1617,224,15296665,1729716,13591988,60887,1674688,927029,449638590,1457579,1349191,2006,348,2689880,3304620,1422681,801,2117105,126097,4136158
18000,2026-03-08 17:40:21.030,4138945,5215,133006,213,1586,217,5403705,1905749,7138562,73322,1973410,2537061,573365589,1756224,1561831,25424,13165,3161815,3807416,1783636,35418,15287700,9495594,12701852
18500,2026-03-08 17:40:21.530,10822219,3135,9234242,1039,4706,1390,13642057,2076829,12835033,73658,1994015,1906865,503336474,2071931,2007692,3374,389,3599792,4150275,1910128,5155,8029146,8412783,20789648
19000,2026-03-08 17:40:22.030,10931379,7445,5411792,219,1476,235,2390366,2237351,2656720,69739,2220894,2047389,518037959,1929218,1623829,22298,7013,3777406,4080804,1697875,27965,14942799,10992290,21416541
19500,2026-03-08 17:40:22.530,12566548,8890,13998476,237,1279,245,10332365,1840681,7342035,71626,1794706,1492036,472582340,1730713,1610328,2831,306,3065398,3574555,1498864,11784,8689052,6854849,17376876
20000,2026-03-08 17:40:23.030,19671305,3774,16596746,225,1697,209,5706275,2068867,4256903,67798,1779973,1344369,485037246,1833204,1846473,5698,327,3493355,4307184,2004472,8831,11771857,14023722,35616920
20500,2026-03-08 17:40:23.530,10463051,9701,9392947,301,1740,353,12677121,1537054,7336239,79389,1497937,976294,409886973,1441985,1494589,2977,458,2940880,3642553,1778232,2772,5355290,5687866,17769573
21000,2026-03-08 17:40:24.030,10012949,3624,8985442,203,1461,156,8500343,2785825,1982166,65515,2454687,2405449,439162276,1590281,1252370,31113,14370,4138938,4579083,2320436,7306,4980979,2477608,12363049
21500,2026-03-08 17:40:24.530,15274239,8403,12462697,245,1513,233,9735137,1787269,3569625,74329,1728213,1678938,474205080,1766937,1692430,3446,2802,2968576,3368484,1286994,9233,8890086,8215496,24054037
22000,2026-03-08 17:40:25.030,10547486,3525,4346623,211,1576,184,2256602,2075995,3936515,47353,1768882,1093670,421428531,1696172,1800423,21096,5009,3523154,4184260,1948859,11289,11260376,8944608,19375430
22500,2026-03-08 17:40:25.530,13405410,3430,15306204,320,1748,196,11369670,2295735,5316954,62854,2187083,2648707,582689013,1954493,1737319,11570,6361,3380768,4077231,1666954,18938,13737775,10822630,20923437
23000,2026-03-08 17:40:26.030,7711555,5385,107335,203,1766,207,11300861,2058982,8356347,57884,2295550,2834885,603288768,2058602,1847808,16727,12497,3232926,3727263,1543532,23638,18802847,14004343,21630439
23500,2026-03-08 17:40:26.530,3716736,15932,5858182,594,1253,246,10433068,1808648,8624988,75365,1577298,705553,437968116,1415726,1349382,10120,8711,2849210,3530345,1413053,10239,3461852,120595,2218216
24000,2026-03-08 17:40:27.030,9612141,5722,8578156,548,2554,673,10341204,2024027,4138135,76901,1779787,1922117,576028974,2048238,1985941,9471,8107,2904388,3645457,1638660,16404,11327654,8103024,18036232
24500,2026-03-08 17:40:27.530,2705372,4543,166683,270,2261,320,8801772,2072245,9389377,98720,2071826,1170760,355383154,1480155,1371890,34647,16829,4353212,4655213,2226631,6108,2809146,161953,2917096
25000,2026-03-08 17:40:28.030,6893525,8920,8992264,390,3241,547,15840466,2181722,14076025,159529,2223781,2369395,488053908,1924688,1737048,10075,1108,3960911,4169162,2066998,679,2912280,234269,6656449
25500,2026-03-08 17:40:28.530,10396631,8422,7981582,466,1612,221,14138765,1667876,8220710,82996,1475376,763359,430779193,1434760,1489379,3125,434,2783411,3449624,1430952,2443,4419527,4605740,15920254
26000,2026-03-08 17:40:29.030,8789266,7378,7927825,800,3504,1121,8651007,2226163,1481578,60357,2195891,1941549,557007991,1933621,1620735,25140,14465,3828147,4275043,1927751,22465,11617437,7069229,15522460
26500,2026-03-08 17:40:29.530,8840418,6060,12552764,244,1515,250,19021883,2325920,11836653,65467,2285325,2880771,610073658,2186213,1978252,13637,7432,3248817,3680182,1500923,12887,10014518,6134819,14741422
27000,2026-03-08 17:40:30.030,23738512,3179,16900580,196,1511,172,10125617,2536757,2748229,54541,2399675,3145056,634029029,2351413,2050913,1982,169,3886706,4000117,1592804,23208,19858070,19607487,45007839
27500,2026-03-08 17:40:30.530,22323060,6696,15818003,221,1624,187,6584414,2229520,125399,94011,2098159,2348462,558171842,1888550,1728762,9411,6605,3427821,3943327,1727026,31685,19180798,18673200,40144799
28000,2026-03-08 17:40:31.030,12117148,3546,11556639,612,1566,264,20748569,2216973,15950825,59190,2383762,2963478,623400789,2385665,2157056,2544,182,3531096,3971111,1747133,12292,11878586,9963485,22738333
28500,2026-03-08 17:40:31.530,23916574,2324,24137133,192,1505,171,15498487,2439682,4541418,55562,2270203,2565949,607777584,2299459,2119371,2498,259,3726372,4141897,1850147,8565,10783199,12125241,36002454
29000,2026-03-08 17:40:32.030,23791969,2843,17653892,203,1682,203,9981635,3000304,193231,57375,2905875,3789648,755676813,2924756,2473380,2394,137,4383069,4422544,1821338,25646,21710463,20184004,44643664
29500,2026-03-08 17:40:32.530,27992090,2218,19303612,298,1969,181,2821181,2463669,120857,56503,2387174,2625406,566304350,2218509,1783337,13809,7745,3849500,3860594,1654530,29349,25993313,25940795,54644137
