elapsed_ms,timestamp,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,l1d.replacement,l1d_pend_miss.fb_full,l1d_pend_miss.pending,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-references,cache-misses,mem-loads,mem-stores,mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any
500,2026-03-08 17:40:03.530,2752733,785,132265,449,1724,359,3000610,2781050,1933731,57362,2564459,2385822,439405513,1702651,1163543,43479,17938,3960553,4048313,1827306,15531,10696122,4328887,6303581
1000,2026-03-08 17:40:04.030,13311119,4619,8470682,487,1620,447,10858859,2343748,4837853,60962,2223380,2186713,525997973,1804496,1717707,10389,11247,3515449,4050220,1675632,19711,13575534,10415392,25466368
1500,2026-03-08 17:40:04.530,8335381,3495,4254801,211,1700,233,11408314,2274843,8329330,64872,2350932,3037274,633969698,2319773,2052685,11914,11556,3447297,3547728,1279176,25376,21618376,15355971,23671737
2000,2026-03-08 17:40:05.030,11009471,6183,8790957,236,1608,247,3067469,2135836,823185,81018,2058939,2432740,527713991,1907824,1696728,21962,11817,3530031,4009311,1826840,16314,13467743,11035799,23157943
2500,2026-03-08 17:40:05.530,2811317,4432,117734,200,1438,207,2664068,2425023,4550560,54895,2199949,1764603,418945218,1548369,1195227,22009,9809,3712347,3834509,1855972,13372,9195735,3925042,5542318
3000,2026-03-08 17:40:06.030,10958042,3210,12323109,221,1605,202,12247337,2177226,6699017,66577,2246759,2102197,478653736,1901442,1683489,16051,7174,3682684,4009408,1910566,11464,10015880,7831075,18518123
3500,2026-03-08 17:40:06.530,3614839,1218,5991630,273,1824,179,10354446,1811101,8305238,68798,2003101,2248178,496116124,1686312,1673053,51830,15936,3335134,4062347,2033647,6054,3825593,119730,2318249
4000,2026-03-08 17:40:07.030,12569128,2025,11872306,250,1816,144,13070384,2031814,12877285,64003,1981074,1719607,563920402,2126871,1953967,2439,419,3741517,4234773,2072360,29779,10536826,8435890,19181018
4500,2026-03-08 17:40:07.530,11215968,16457,6505103,277,1159,158,1784864,1580121,122892,68186,1633336,1519444,493341876,1611609,1519183,14567,6375,2931900,3581459,1438871,21783,12820376,9740447,20395324
5000,2026-03-08 17:40:08.030,27022976,5825,23440519,216,1408,204,8073089,2367139,120037,59130,2286761,2918408,594631863,2246871,2026064,2332,2084,3707603,3988106,1762933,12446,14513865,16928799,44733760
5500,2026-03-08 17:40:08.530,3201606,1116,126142,199,1878,203,8946019,2584987,13144176,62823,2183591,1414634,400695555,1690581,1634401,30203,8827,4018537,4594266,2489148,331,3161791,124396,3317559
6000,2026-03-08 17:40:09.030,2495333,3462,124658,213,1736,226,13997903,1832962,20813172,65560,2009508,1444440,475486275,1911785,1812557,8169,603,3637675,4132238,2002154,406,2549176,132815,2680128
6500,2026-03-08 17:40:09.530,2451401,2410,117439,177,1638,164,2672869,2476650,124466,55552,2409252,2591439,511836505,1860267,1337200,31851,18708,3701983,3905365,1668377,27783,14566887,5819090,4784912
7000,2026-03-08 17:40:10.030,4268938,1381,7634636,211,1432,186,20617335,2762737,19368186,54986,2850121,3087005,602539534,2351305,1885049,14870,6113,4412659,4399206,2268496,4246,4180996,117708,3334602
7500,2026-03-08 17:40:10.530,16006513,2357,8565734,213,1869,159,4601356,2555609,6613322,59066,2396463,2683128,575011981,2469017,2092305,4270,5159,4125590,4021204,1708035,18824,18429009,17198970,34173646
8000,2026-03-08 17:40:11.030,10530664,3392,9000131,251,3177,235,5424223,2262442,844218,58958,2097042,1180373,440338943,1654422,1393015,23438,10916,4053850,4584190,2046765,15974,10513821,8010068,17915855
