elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-09 14:40:24.820,259348970,492465306,80053845,5560,492453317,81921331,151264408,492447319,83037295,2469,492441809,83934927,35486,492435740,85203090,3675,492428617,85211078,261777512,492422422,84885766,231741967,492416288,85933063,147485695,492409872,85009021,1326956,492403678,84023088,227746853,492397356,84228517,6534533,492391224,83187125,5216014344,492386394,82683679,131839043,492380978,81765982,30646,492391290,81843395,90942,492385251,40385033,3406,492422373,39322620,364987828,492412512,59041537,404975,492422068,79087816,39537,492416013,79435149,3232,492409943,79519737,262685739,492403467,79687752,146896602,492397049,79398058,283945676,492390859,79347473
1000,2026-03-09 14:40:25.320,248549542,991223195,163943302,5236,991211682,165831425,138366449,991205764,167013416,1310,991200240,167914118,26355,991194187,169164829,1558,991187055,169222086,246211329,991180776,169261736,217147894,991176247,169849084,140796058,991171197,167903308,850056,991165952,165646639,218506609,991160590,164484212,6687716,991155171,162680991,5152189337,991148914,162670320,126332770,991142066,162979779,26053,991134340,164035976,72869,991127921,82411475,5374,991121368,81321187,350552068,991105801,122067851,375390,991099013,163147242,26799,991092341,163461435,7525,991085571,163569191,252063697,991078764,163651098,141139014,991071895,163276380,274344812,991065089,163232117
1500,2026-03-09 14:40:25.820,259487898,1489632952,247461134,2183,1489621028,249739888,145912699,1489615365,250886901,1606,1489611147,251354459,29761,1489606630,251611657,1384,1489600454,250686743,257762624,1489595163,249758466,228982661,1489589305,250322573,149347073,1489583306,249351656,915043,1489577109,248088319,235775867,1489570724,247847237,3184684,1489564579,246620543,5549546241,1489558337,246662963,132733630,1489551403,246676375,18524,1489543637,247818049,74042,1489537223,124384867,6913,1489530702,123243922,362155896,1489515108,184985535,271337,1489508299,246868347,14067,1489501626,247232317,3052,1489494866,246922749,259154767,1489488097,246607114,147709885,1489481226,246445372,288780188,1489474426,246324589
2000,2026-03-09 14:40:26.320,239332221,1973695461,326017075,4578,1973684579,327214274,133415214,1973678977,327933420,2048,1973673536,329502244,29749,1973667510,330781030,2584,1973660795,330712206,245398989,1973654643,330699607,216714578,1973648642,331419324,139124847,1973642306,330859646,1209899,1973636090,329526627,219953676,1973629707,329385298,3532584,1973623577,328395866,5209426328,1973617739,327837228,124342666,1973610880,327967970,22819,1973603143,328997679,78029,1973597037,165593419,5887,1973590483,164930693,342449887,1973574919,246603313,392974,1973568141,329446944,29514,1973561501,329056220,6320,1973554701,327875620,251127239,1973547914,328136380,138764100,1973545945,327243502,263978057,1973540219,325860772
2500,2026-03-09 14:40:26.820,258598388,2471637092,408260831,10122,2471625119,410201069,149522337,2471619134,411469719,14737,2471613630,413059672,68547,2471607569,414512227,16648,2471600446,414503209,250232787,2471594211,414271644,221585952,2471588429,414687445,139072958,2471582058,414156524,957227,2471575888,412755599,222809940,2471569490,412825604,3146127,2471563325,412114460,5251769254,2471557103,411275093,126349138,2471550176,411682828,10031,2471542416,412687049,176539,2471536063,207520272,7859,2471529532,206926431,347519420,2471514005,309330862,141216,2471508564,412740649,5905,2471503519,411406519,8275,2471497790,409178264,249161480,2471492113,408699709,143231785,2471485557,407643038,281020277,2471478749,407246739
3000,2026-03-09 14:40:27.320,263384919,2970422885,491983730,2338,2970411221,494163824,148073767,2970405290,495450455,1254,2970399795,497088301,30026,2970393718,498495065,1144,2970386606,498510560,269355376,2970380518,498312911,240095060,2970374457,498663856,152841403,2970368091,498169317,783673,2970361835,496310325,240243476,2970355445,496359823,3336981,2970349260,495677277,5655565103,2970342989,494842476,136025755,2970336043,495705049,2455,2970329425,496025653,58259,2970324133,247834910,1984,2970317827,246935147,350509764,2970302218,369072675,132049,2970295408,492906133,8412,2970288728,492572584,2013,2970281904,491318505,265781528,2970275090,491870972,152650030,2970268214,491364007,294013169,2970261484,490948250
3500,2026-03-09 14:40:27.820,268059174,3468583617,575648588,2450,3468571701,577577122,153869761,3468565705,579099458,1164,3468560710,580828325,29847,3468555069,581985348,1179,3468548230,582233816,264250526,3468542037,581784556,236035021,3468536228,582150613,153266393,3468530101,581897215,884087,3468523863,580045585,235494209,3468518625,579602255,3236216,3468513495,577936205,5417454953,3468508430,576083385,127803019,3468502461,575971692,8291,3468494977,576424746,73324,3468488552,288929916,3172,3468481977,288596824,369189089,3468466371,431745423,172562,3468459549,576561744,10317,3468452824,576554127,2676,3468445997,575269955,267959857,3468439166,575800518,150722071,3468432272,575104238,295813450,3468425461,574554866
4000,2026-03-09 14:40:28.320,269987874,3966616171,658936061,3635,3966604161,661237158,153034611,3966598341,662811023,1665,3966592806,664442825,27962,3966586721,665585941,1697,3966579574,666127499,264824947,3966574553,664812300,233250259,3966569671,664250100,147543196,3966564201,662988211,699123,3966559017,660108190,226235876,3966552890,659977457,6425647,3966546676,659067498,5514879738,3966540440,658257473,133738282,3966533482,659146471,5738,3966525684,660142025,50892,3966519294,330929390,935,3966512718,330597071,368900047,3966497138,494764177,106761,3966490309,660501974,6510,3966483609,660458678,1534,3966476967,659153981,269272336,3966470134,659014051,154491565,3966463237,658358983,296389639,3966456426,657851576
4500,2026-03-09 14:40:28.820,242138857,4465442271,742679251,5945,4465430293,745015300,138568051,4465425557,746061841,3192,4465421683,746914904,32338,4465416722,747042629,3588,4465410844,746562598,244708830,4465404911,745196030,221212012,4465398843,745382257,144533670,4465392509,744906619,896143,4465386271,743034116,222934836,4465379900,743487389,6682851,4465374052,742830803,5284215829,4465367787,742232961,128266517,4465360886,743138696,13963,4465353117,744137025,97286,4465346698,372930085,4710,4465340125,372565481,342745995,4465324547,557445708,205993,4465317788,744191899,13093,4465311156,744158465,3768,4465304343,742902026,248316004,4465297767,743010512,146486249,4465290863,742351373,269180434,4465284069,741641497
5001,2026-03-09 14:40:29.321,246254307,4965252396,824717688,19010,4965241727,826105728,140031513,4965237060,826623039,23453,4965232062,828420072,113779,4965226247,829269511,22714,4965219462,829775045,246437320,4965213347,828915458,218066775,4965207442,829140882,142631200,4965201616,828944140,827296,4965195643,826760091,222324850,4965189441,827224546,4063730,4965183733,826592885,5244021780,4965177696,825939015,127569663,4965170978,827141948,6097,4965163365,828154735,267533,4965157145,414942834,12654,4965150729,414328930,344244735,4965135389,620203514,150691,4965128793,827977105,8929,4965122216,827950698,11636,4965115531,826934951,248827639,4965108872,827019430,143403925,4965102125,826342177,271006316,4965096331,824676885
5500,2026-03-09 14:40:29.820,258709870,5462138217,905813874,2813,5462126263,908488179,146110384,5462120259,909571359,1258,5462114751,911659346,29863,5462108665,912687003,1262,5462101512,913177499,261949224,5462095227,912753198,236613053,5462089184,913059981,151685969,5462082777,912807892,767885,5462076502,910716672,238291179,5462070081,911078451,3561004,5462063882,910460829,5602663237,5462057575,909377003,134338992,5462050618,910412835,7340,5462042820,911519680,64790,5462036367,456669494,3820,5462029783,456051800,371567126,5462014139,682931448,264268,5462008833,911250873,14494,5462003211,910437719,3336,5461997357,908461614,257014291,5461991506,907197817,146938126,5461984869,905964411,285478285,5461978041,904944303
