elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-08 22:30:14.567,79945632,498996798,80809316,7458319,498985701,81817172,52927702,498978717,82785718,3500,498970755,83533947,5828,498965071,83727487,6027,498958475,83686927,33950988,498952185,83652887,19424222,498946277,83926044,810616,498940254,83582765,434516,498934321,83638723,20013282,498927953,83398919,15407562,498921592,83404328,3675013780,498915005,83753274,16571929,498908692,83638430,10978537,498902120,83818545,180720,498895604,41825694,129912,498917918,41852779,30794033,498915281,62828845,21939825,498908837,83864060,9019001,498902455,83909523,167259,498897250,83520713,121633588,498906635,82544434,101852245,498901124,81530334,180641627,498895506,80534807
1000,2026-03-08 22:30:15.067,48639617,997917106,164247081,7531055,997906300,165489844,69076358,997899340,166605377,4906,997891642,167373767,6171,997885561,167522658,4712,997878947,167487960,146508459,997872664,167577581,17495221,997866723,167866952,128318136,997860699,167504626,484970,997854753,167509751,19016137,997848388,167269629,13539997,997842034,167260544,3598266767,997835405,167678264,16958592,997829095,167631434,11590645,997822534,167811228,21483,997816248,83836411,2011,997811511,83353456,34597255,997806603,124290075,22960673,997800963,165217523,10969293,997795588,164199071,2137,997788997,163817758,14828551,997782524,163613155,6551157,997775906,163438638,55832845,997769066,163462378
1500,2026-03-08 22:30:15.567,15513815,1497745856,248209582,8414220,1497734919,249454973,722929,1497727950,250559349,4844,1497720045,251336191,5543,1497714155,251526009,5127,1497707534,251478903,71593990,1497701246,251573470,18805226,1497695362,251823159,59438239,1497689753,251491656,347664,1497683933,251478671,22800511,1497677572,251237726,18616931,1497671212,251274950,3503299720,1497666688,251217096,15436967,1497661696,250177067,9978096,1497656179,249367693,256835,1497650044,123743303,117733,1497643768,123733098,34572514,1497637749,185640942,23864583,1497631137,247568929,11080795,1497624740,247645280,74732,1497617923,247791306,55921776,1497611884,247614465,26888708,1497605307,247438223,42539353,1497598469,247464871
2000,2026-03-08 22:30:16.067,37655061,1997230433,332160866,8800346,1997219307,333172092,65105536,1997212340,334231595,5362,1997204422,334828734,7231,1997198385,335029055,4259,1997191846,335228127,141202613,1997185585,335337405,20770361,1997179683,335812559,141655679,1997175266,335025837,291159,1997170447,334072371,16089871,1997165149,332780395,6157896,1997159897,331827002,2536364838,1997153533,331690175,15109904,1997147240,331602564,12127227,1997140962,331854626,62993,1997134499,165746250,915,1997128258,165711941,42033359,1997121971,248626138,27566548,1997115383,331563461,14411074,1997109007,331649481,1095,1997102216,331814535,17717386,1997095807,331613129,686648,1997089198,331456924,28366920,1997082391,331437757
2500,2026-03-08 22:30:16.567,18468679,2496744562,416178544,7357801,2496733503,417159504,33223466,2496726617,418183027,4852,2496718835,418781298,7075,2496714900,418509419,4802,2496709859,417464542,98812040,2496704820,416594682,17729408,2496700018,416066771,90540108,2496694318,415177596,300584,2496688655,415488185,20541419,2496682369,415175422,16428161,2496676055,415256611,3475645014,2496669472,415673915,15592827,2496663275,415584635,10114854,2496656964,415878422,152578,2496650519,207728855,72308,2496644456,207650795,33699861,2496638320,311536995,24227906,2496631797,415461519,11466328,2496625524,415587174,34913,2496619304,415747139,26157314,2496612995,415587765,714494,2496606431,415442754,15070062,2496600110,415394426
