elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-09 14:40:41.876,97395743,500360346,80997110,20618,500346501,81901017,68664357,500353993,82934051,1144,500345874,83910555,1073352,500339461,83980484,29677,500331974,84025839,94681759,500325298,83994189,3739284,500318593,84048327,66004734,500312301,83993112,46851933,500305953,83933993,3871299,500299241,83943346,38384,500291975,83935974,58069289,500285401,83955276,1073961,500278696,84005543,2572,500272112,84003965,664517,500265818,41992627,1345,500281148,42005883,37381800,500277746,63020731,179989,500270834,84006156,6377,500264130,84006432,1102,500258279,83488434,100016091,500253041,82532853,70507659,500246978,81525128,147086096,500240589,80531356
1000,2026-03-09 14:40:42.376,104441580,998824012,164594985,22688,998810925,165702766,73427027,998804606,166764341,1238,998796813,167748830,887825,998790709,167831021,37939,998783451,167907438,102434942,998777046,167988807,3709695,998770669,167929226,69466124,998764606,167688230,46883460,998758410,167513357,4137250,998752020,167386947,62159,998744939,167438362,68131208,998738433,167659261,1225958,998732248,167760865,11959,998725864,167929610,578023,998721268,83458881,2203,998715939,82484263,40199530,998710287,123495571,305136,998704563,165285388,13827,998698208,164741570,2020,998691086,164612769,99332301,998684133,164446238,71122607,998677054,163476247,154421731,998669551,163561749
1500,2026-03-09 14:40:42.876,90168121,1495323323,248627781,31192,1495309714,249660312,64824172,1495303084,250747825,1193,1495294898,251761922,815026,1495288590,251842510,21018,1495281082,251916641,95996365,1495274373,251954002,3889482,1495267650,251879233,68588330,1495262622,251085600,44729032,1495257483,249954661,4341243,1495251816,248844396,123902,1495245501,247924283,74327797,1495239050,247685610,1318565,1495232324,247751626,16302,1495242264,247921602,666158,1495235654,123998631,3062,1495228649,124025443,42279185,1495221737,186053835,351603,1495214812,248838544,18405,1495208092,248258224,2368,1495200791,248125003,92489594,1495193557,247985526,64999045,1495185975,247008926,136428390,1495177937,247554653
2000,2026-03-09 14:40:43.376,92529228,1995032805,332359670,19819,1995019006,333377742,65153485,1995012372,334754014,950,1995004184,335770829,945509,1994999017,335238834,16170,1994992638,334342990,93793584,1994986958,333377424,3550309,1994981258,332279251,63668761,1994975246,331659071,43188711,1994968853,331518424,3473304,1994962130,331404051,90497,1994954825,331479738,62343749,1994948256,331677158,1038608,1994941544,331730607,10667,1994934936,331928834,642979,1994928332,165996937,2355,1994921321,165993123,38451087,1994914345,249022294,296954,1994907382,332811131,11203,1994900653,332271941,2138,1994893319,332151372,98054469,1994886082,332016575,68732959,1994878764,330744641,142180306,1994870701,331283834
2500,2026-03-09 14:40:43.876,95363904,2495038095,415751274,32162,2495025264,415801452,65202607,2495019692,416181496,15622,2495012623,416195603,1089300,2495006324,415836319,46075,2494998853,415925358,92950495,2494992173,415941187,3664250,2494985610,415857168,67636303,2494979425,415652870,46001161,2494973546,415512380,3748763,2494966980,415419920,85931,2494959874,415482342,63552006,2494953517,415690925,1097746,2494946978,415722892,4990,2494940360,415913822,717876,2494934097,208004999,8612,2494927211,207999253,36381663,2494920344,312023731,169010,2494913774,416816339,6838,2494907577,416271327,9496,2494900283,416159192,95685146,2494893205,416014886,68249375,2494885628,414746928,144308803,2494877575,415276759
3000,2026-03-09 14:40:44.376,98739079,2994718457,496315248,22763,2994704838,497420093,70636631,2994698646,498778888,5519,2994690638,499748018,1048057,2994684197,499830400,25490,2994676800,499892692,100946024,2994670330,499946422,3185128,2994663815,499886579,70021838,2994657583,499644816,46684190,2994651381,499511446,3227886,2994644814,499405146,45544,2994638119,499187137,55364992,2994632034,499451572,1013810,2994625467,499448787,2355,2994618947,499638923,612227,2994612598,250060065,2444,2994605715,249955440,31020662,2994598873,374978128,96681,2994592044,500816239,2807,2994585563,500207355,2715,2994579569,499611939,98777061,2994574060,498453313,69917142,2994567858,496142097,147550097,2994568264,495713947
3500,2026-03-09 14:40:44.876,102930038,3493412302,580243995,20642,3493399117,581322138,72212557,3493393288,582729709,1149,3493385646,583682865,1314598,3493379268,583750779,25878,3493371833,583832044,103950536,3493365326,583866539,2707915,3493358756,583782050,74105530,3493352511,583573829,48410627,3493346361,584393697,2882708,3493339950,584345848,42261,3493332772,585070973,46188063,3493326299,585337151,860811,3493321128,583812637,2605,3493316021,583129796,507721,3493309885,290193179,590,3493303064,289905451,30963252,3493296567,434963940,55103,3493289743,580764584,1800,3493283169,580150142,951,3493276149,580140533,99145431,3493269625,579936432,72282495,3493262507,578574387,153691663,3493254552,579159427
4000,2026-03-09 14:40:45.376,114734375,3993319210,664242903,22640,3993305427,665296388,79840167,3993298807,666685139,938,3993290649,667699358,565459,3993284103,667735044,23690,3993276595,667842884,110346716,3993269914,667891391,2588714,3993263257,667767673,78956545,3993258127,666993462,48087918,3993253092,666818930,2462012,3993247368,665722116,54336,3993241096,665465376,57980565,3993234704,665316893,846950,3993228020,664310110,1273,3993221447,664704781,751157,3993215250,333153602,695,3993208313,332835591,24841640,3993201413,498902135,49983,3993194508,665726124,1424,3993188079,664172127,709,3993180784,664151485,111662768,3993173577,663966660,80381036,3993166002,662581296,171192292,3993158013,663126326
4500,2026-03-09 14:40:45.876,113453143,4492996209,748011145,22961,4492982298,749029346,79702064,4492975645,750431402,1010,4492967420,751667419,481948,4492961994,751123084,45416,4492955595,750260636,108183490,4492949935,749267095,2421018,4492944201,748178070,77707127,4492938445,747491278,48700635,4492932105,748318889,2373124,4492925356,748239991,50772,4492918071,748986538,61206103,4492911416,749325052,879183,4492904669,748354486,2076,4492898034,748748486,712114,4492891455,375165693,695,4492884433,374812862,22342887,4492877430,561873920,55930,4492870443,749722132,1813,4492863865,748124127,600,4492856494,748152912,112242745,4492849201,747964161,80893689,4492841576,746573966,171157986,4492833495,746904978
5000,2026-03-09 14:40:46.376,108767832,4991980613,831120986,21879,4991967873,831168365,75129029,4991962437,831571621,960,4991955119,831796920,596880,4991949028,831705861,43477,4991941748,831843106,107774983,4991935210,831605723,2625083,4991928532,831497694,79303671,4991922677,831001205,49026682,4991916336,831838649,2493787,4991909557,832018348,49646,4991902217,832744020,57217193,4991895562,833336028,864323,4991888829,832333808,899,4991882173,832719428,715829,4991875686,417171745,551,4991868744,416606642,25805773,4991861871,624634290,36263,4991855066,833499433,1368,4991848470,831870026,569,4991841582,832140778,108693338,4991834492,831974097,77335781,4991826888,830547884,163281018,4991818796,830917142
