elapsed_ms,timestamp,dTLB-loads,dTLB-loads_time_enabled,dTLB-loads_time_running,dTLB-load-misses,dTLB-load-misses_time_enabled,dTLB-load-misses_time_running,dTLB-stores,dTLB-stores_time_enabled,dTLB-stores_time_running,dTLB-store-misses,dTLB-store-misses_time_enabled,dTLB-store-misses_time_running,iTLB-loads,iTLB-loads_time_enabled,iTLB-loads_time_running,iTLB-load-misses,iTLB-load-misses_time_enabled,iTLB-load-misses_time_running,L1-dcache-loads,L1-dcache-loads_time_enabled,L1-dcache-loads_time_running,L1-dcache-load-misses,L1-dcache-load-misses_time_enabled,L1-dcache-load-misses_time_running,L1-dcache-stores,L1-dcache-stores_time_enabled,L1-dcache-stores_time_running,L1-icache-load-misses,L1-icache-load-misses_time_enabled,L1-icache-load-misses_time_running,l1d.replacement,l1d.replacement_time_enabled,l1d.replacement_time_running,l1d_pend_miss.fb_full,l1d_pend_miss.fb_full_time_enabled,l1d_pend_miss.fb_full_time_running,l1d_pend_miss.pending,l1d_pend_miss.pending_time_enabled,l1d_pend_miss.pending_time_running,LLC-loads,LLC-loads_time_enabled,LLC-loads_time_running,LLC-load-misses,LLC-load-misses_time_enabled,LLC-load-misses_time_running,LLC-stores,LLC-stores_time_enabled,LLC-stores_time_running,LLC-store-misses,LLC-store-misses_time_enabled,LLC-store-misses_time_running,cache-references,cache-references_time_enabled,cache-references_time_running,cache-misses,cache-misses_time_enabled,cache-misses_time_running,mem-loads,mem-loads_time_enabled,mem-loads_time_running,mem-stores,mem-stores_time_enabled,mem-stores_time_running,mem_inst_retired.all_loads,mem_inst_retired.all_loads_time_enabled,mem_inst_retired.all_loads_time_running,mem_inst_retired.all_stores,mem_inst_retired.all_stores_time_enabled,mem_inst_retired.all_stores_time_running,mem_inst_retired.any,mem_inst_retired.any_time_enabled,mem_inst_retired.any_time_running
500,2026-03-09 14:39:50.719,32543818,498421596,80384025,2768,498412660,81364883,32176591,498406661,82388703,2860,498400827,83638750,13668,498394114,83757815,797,498386959,83772938,32157373,498380257,83801983,51883120,498374208,83767122,33829618,498367971,83958376,392527,498361661,83717694,51023832,498354398,83711370,121415979,498346779,83745718,8450089456,498340428,83776068,32275303,498334233,83718159,31057734,498327723,83715232,30937807,498321142,42050058,26869730,498358697,41968437,71538835,498357829,62944447,69625183,498351323,83386328,34474626,498344714,83345879,26552186,498341125,82941460,35128026,498336702,81962466,30785674,498331793,81482319,64274450,498327279,80206669
1000,2026-03-09 14:39:51.219,31546882,997946838,164387769,13331,997937752,165279565,30697035,997931537,166365301,5771,997925658,167559786,10897,997919292,167674782,1540,997912158,167790521,32001606,997905523,167785710,46340015,997899427,167791523,28563881,997893214,167926554,492771,997886996,167716545,46712200,997879756,167656516,110492778,997872124,167679655,8520803055,997865948,167723822,30637551,997859355,167617033,30275329,997852938,167740930,28698692,997846702,84008125,30319081,997841913,83366754,68496415,997836973,124357301,66734457,997831144,164795408,24567760,997825327,163548732,31961320,997818872,163116850,28085556,997812322,163144538,30686712,997805348,163610003,62919527,997798886,163645417
1500,2026-03-09 14:39:51.719,28143834,1494851630,247141683,12304,1494842984,248327325,30352571,1494836767,249625407,6026,1494831221,251263261,9097,1494824496,251389332,891,1494817383,251531483,27829351,1494810971,251513905,45515419,1494805055,251571449,31910945,1494798830,251659185,416848,1494792581,251410168,45714107,1494785511,251349224,106050696,1494777906,251369321,8279785606,1494773177,250563423,29320020,1494767632,249257531,27749194,1494762118,248352860,30982957,1494755782,123773986,27911669,1494749285,123852681,67460877,1494742678,185836440,65098083,1494735847,247230708,30049351,1494728912,246879332,23999970,1494722156,247012174,29449425,1494715587,246721046,26158003,1494708607,246782027,55810296,1494702130,246390202
2000,2026-03-09 14:39:52.219,28948787,1994001208,331030258,8170,1993992226,331892167,29093404,1993987937,333373244,3541,1993982999,334973584,10906,1993976408,335114541,1265,1993969467,335558510,30290882,1993962846,335525854,45877080,1993956702,335640301,26824767,1993952107,334870672,437758,1993947061,333619524,44378187,1993940995,332580746,106287614,1993934416,331538422,7312501492,1993928392,331114490,27726759,1993921656,330791216,27840208,1993915221,330894131,27707746,1993908660,165560126,27196397,1993902213,165590881,68456694,1993895657,248594492,66208849,1993889054,330971007,27931412,1993882159,330896096,26072488,1993875518,331017669,29980532,1993868959,330749713,29785049,1993862031,330656749,58675684,1993857880,330234774
2500,2026-03-09 14:39:52.719,31218667,2493055441,414576634,4608,2493046540,415444272,30373077,2493040388,416950558,5382,2493034514,418727194,13924,2493030766,418583821,876,2493024912,417985445,27411853,2493019301,416693141,46643720,2493014380,415827127,33202192,2493008411,414932345,391461,2493002178,414712875,48856733,2492994973,414855108,110727648,2492987384,414855758,8828981451,2492981200,415151939,33521744,2492974517,414747055,32973571,2492968090,414914469,23181821,2492961477,207571340,21095965,2492955072,207640598,69916447,2492948461,311601551,67977267,2492941612,415010706,32914810,2492934757,414895195,26102876,2492927994,414946925,32728343,2492921468,414746463,28607168,2492914548,414625878,61296839,2492908113,414030106
3000,2026-03-09 14:39:53.219,29149608,2990554776,497748463,2483,2990547535,497378350,33144762,2990542894,498161704,2530,2990538508,498643740,12740,2990532075,498566537,1030,2990525013,498973179,32907797,2990518341,498669451,49992407,2990512326,499049705,30748881,2990506069,498406440,358822,2990499868,498401689,50603437,2990492735,498533638,107983117,2990502910,498519033,8601081824,2990496840,498819464,29670824,2990490203,498215133,29694801,2990483744,498384887,26179888,2990477341,249330682,28089184,2990470906,249426572,73424676,2990464477,374386624,71631035,2990457635,498795156,29737156,2990450741,498562646,32976333,2990444130,498597461,31722360,2990454340,498393113,30089620,2990447368,497998058,63117470,2990441007,497766822
3500,2026-03-09 14:39:53.719,31699995,3488849961,578223576,5135,3488841060,578787850,28734499,3488835018,580338083,5385,3488829180,581783549,18796,3488822572,582061618,1149,3488815468,582491697,31265417,3488808834,582436940,48581542,3488803248,582618103,32039960,3488796975,581883485,373881,3488790819,581870459,49204850,3488783593,581965896,111539898,3488775962,582226975,8282409273,3488769704,582538961,30911977,3488763275,581916470,29796650,3488756792,581872492,27309240,3488750335,291067346,28867892,3488743875,291420084,72211341,3488737403,437393208,69121575,3488730549,582793283,31271091,3488723654,582560811,26973566,3488719463,582061860,32793535,3488715266,580862515,29787138,3488710398,579457846,60433046,3488705731,578214212
4000,2026-03-09 14:39:54.219,31005645,3985795450,661594984,5915,3985786469,662364174,31761196,3985780243,664015139,1444,3985774376,665079315,11633,3985767649,665329181,1227,3985760505,665785166,27843490,3985754098,665467350,50360092,3985747958,666061585,33410538,3985741688,665369775,387354,3985735628,665327568,51375329,3985728407,665395998,113657162,3985720777,665708574,8430342926,3985714805,665751042,31783821,3985708371,665375137,31497210,3985702944,665588699,25192884,3985696735,333052339,23858911,3985694916,332880520,67811450,3985690935,498829617,66401046,3985685506,664262601,30123952,3985679997,662993599,28561724,3985673445,662243858,33155700,3985666882,661603831,29075670,3985659899,661078443,62557211,3985653385,660781975
4500,2026-03-09 14:39:54.719,32353521,4482772679,745270936,4499,4482763593,746232802,34020367,4482757325,747538882,5288,4482751485,748506128,11932,4482744752,748740921,957,4482737612,749189685,33423574,4482731213,748917484,50090458,4482725063,749750874,29954882,4482718826,748749573,393704,4482712852,748776197,50041507,4482705613,749064323,109058515,4482697962,748853193,9273923429,4482693510,748618746,33939671,4482689101,747190933,32351219,4482683849,746430722,31327236,4482677756,372690906,33673023,4482671783,372653765,75127521,4482665336,559565359,72753323,4482658500,745982523,30728331,4482651633,746013982,32410861,4482645199,746136995,34096500,4482638654,745305971,31890630,4482631693,744841928,65694661,4482625228,744445913
5000,2026-03-09 14:39:55.219,30278166,4980666216,828854754,2586,4980657363,829939144,35484900,4980651158,831474646,2255,4980645341,832468272,10916,4980638655,832644888,1196,4980631497,832869543,31136304,4980625013,832318030,50628446,4980618929,833148935,33150106,4980615615,831614992,344120,4980611719,830878597,49648757,4980606054,830502989,103605152,4980599954,828957709,9216750715,4980594054,828632954,33748240,4980587342,828154295,32586208,4980580840,828338528,30994346,4980574250,414586146,27814986,4980567792,414566627,72250291,4980561271,622485752,69803860,4980554399,829842334,31965980,4980547515,829923224,31636683,4980540837,829833121,30969907,4980534292,828857630,30580544,4980527347,828190263,62105708,4980520919,827780314
