elapsed_ms,timestamp,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,l1d.replacement,l1d_pend_miss.fb_full,l1d_pend_miss.pending,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-references,cache-misses,mem-loads,mem-stores,mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any
500,2026-03-08 19:23:19.924,14969239,6994,21742400,1855,4383,2335,15184649,2637815,5586711,95016,2302486,2077036,466622867,1992343,1738486,15722,3118,3963867,4193407,2104817,1183,2847348,268907,10404243
1000,2026-03-08 19:23:20.424,8934771,4451,1924241,197,2060,259,3248372,1799069,5185778,71090,2206082,2802996,598940776,2163925,1833299,21691,10310,3565817,4042286,1662380,27806,18714599,14233518,24781013
1500,2026-03-08 19:23:20.924,27415281,6947,22937653,227,2023,254,6226985,2358205,121308,80101,2166552,2241702,579100229,2305642,2113363,1967,221,3752928,4118001,1739369,18372,19555326,21248405,48957728
2000,2026-03-08 19:23:21.424,10453342,7048,7754839,263,1823,276,10495843,2129016,8446500,78984,2146625,2440460,577113884,2190900,2038360,10451,5706,3388024,3899757,1855346,15471,11298613,9445426,20186048
2500,2026-03-08 19:23:21.924,13145525,3802,13292493,188,1904,179,11023863,2402775,7811357,64217,2580692,2564423,519843545,2112407,1704727,13504,6290,3949053,4118769,1905778,5636,8471351,8602735,22171858
3000,2026-03-08 19:23:22.424,2849088,4017,119000,193,1770,178,3060220,2861958,399194,72571,2589187,1898932,368339713,1229816,1013024,41631,22280,4757889,5062247,2441851,7505,3311345,118800,2870597
3500,2026-03-08 19:23:22.924,12622193,2768,5595122,201,3236,187,12044341,2319652,9712461,55196,2328417,1970573,565307321,2269067,1822211,11605,5433,3669409,3897205,1764880,22644,18120352,14030483,26431671
4000,2026-03-08 19:23:23.424,3110664,3383,344848,399,2196,253,16369100,2293576,17843940,81055,2565412,2614380,576005812,2419601,2177379,24051,10669,4368527,4533135,2147538,11753,10219828,4960288,8083390
4500,2026-03-08 19:23:23.924,19384972,4109,11880029,212,1912,172,4087762,2532609,113058,69697,2521592,2352687,608983339,2384592,1908400,12834,6047,4125116,4228228,1545249,24282,22343058,20509956,41300929
5000,2026-03-08 19:23:24.424,20905323,2745,12647087,201,1436,201,4344576,2605543,120846,60901,2895172,4180399,745490286,2792918,2422342,9559,6496,4010282,3907162,1451963,26931,24667003,22487998,46741086
5500,2026-03-08 19:23:24.924,10174403,2360,11418163,210,1942,172,25616350,2369216,19569014,64137,2303824,1710678,510185456,1989091,1699760,12482,6156,4051948,4525489,2390726,492,3840474,3130428,13412801
6000,2026-03-08 19:23:25.424,11372013,2870,8521625,206,2468,181,3661807,2339303,123763,57145,2220284,1974342,483624374,1736464,1464333,23544,14827,3745736,4105051,1894011,20142,13414888,11138960,24643691
6500,2026-03-08 19:23:25.924,2403411,6060,4598594,229,1905,282,15660419,1915047,22138812,82054,1945772,1837712,532191933,2123639,2023378,3808,295,3463239,4159400,1995445,511,2207065,131522,2393200
7000,2026-03-08 19:23:26.424,11767857,2235,8352329,221,2246,207,6388898,1745489,5772135,72200,1949924,2399483,586900539,2138327,2055471,2636,384,3436842,4092436,1935916,2276,6412709,6275364,19738476
7500,2026-03-08 19:23:26.924,13018519,2338,11152566,417,2919,481,19172068,2580465,11322416,63670,2511437,2374262,513696249,2068455,1839545,13829,8704,4035278,4150152,1766859,12774,10550824,8122768,22557402
8000,2026-03-08 19:23:27.424,16656864,2988,11964257,223,2231,235,14397950,2082530,9764653,72297,2234011,2736772,620784459,2246563,2059121,2022,1194,3550618,3896786,1623212,17010,16716995,16146448,34096825
8500,2026-03-08 19:23:27.924,10453644,3025,9304000,224,2265,252,6432371,2529965,126924,70193,2305961,2226749,478335345,1735101,1496709,24376,10604,3499506,3906997,1834891,9922,8229371,6077455,14884168
9000,2026-03-08 19:23:28.424,11603066,3367,4964272,338,2230,264,9510395,2100852,6516676,62904,2377726,3080015,609074897,2254526,2088768,8049,6746,3561843,3976675,1635283,25086,21172224,14807765,25846273
9500,2026-03-08 19:23:28.924,14022152,2422,16885739,210,2280,257,18692956,2177954,14210252,75939,2510288,3157869,628070289,2379020,2119076,2087,317,3869437,4267722,2116027,4853,7980284,7970611,20309513
10000,2026-03-08 19:23:29.424,21473451,1610,16810857,218,2048,214,11898109,2600392,12726776,73420,2640921,3128446,637821157,2460450,2258016,3714,119,4321139,4473505,2015778,18898,19475683,17233739,36904787
10500,2026-03-08 19:23:29.924,19895676,2228,11298195,203,2037,164,7461772,2491314,501324,67385,2541266,3173430,638603132,2476185,2014847,9775,7644,3965095,3736229,1348792,24020,22365517,19561859,41321434
11000,2026-03-08 19:23:30.424,26555672,2791,17429105,211,2793,177,9993337,2588378,4493151,62262,2410733,1945545,598496892,2425697,2081291,1981,127,4094468,4173545,1717317,18861,19641521,20558274,47343794
11500,2026-03-08 19:23:30.924,27573806,2606,17594781,197,1886,178,5557943,2700810,318128,64215,2636532,2852579,600929976,2343452,1929972,12526,3841,4180266,4421347,2033710,22484,23752467,25035548,57111730
12000,2026-03-08 19:23:31.424,4412245,1020,7476282,194,2045,212,31266473,1849212,25431380,63993,2233439,2682190,603687798,2459658,2191319,1648,104,4118629,4381558,2180487,210,2814292,119012,2904769
12500,2026-03-08 19:23:31.924,18098239,1888,11653406,197,2025,158,3894080,2723822,1757300,61649,2511599,2600352,523466656,2197798,2056725,21911,11893,4269033,4540377,2098292,18992,15264330,14656112,35964369
13000,2026-03-08 19:23:32.424,5891727,1325,8306951,191,1894,227,19923704,2197381,17415266,61976,1925068,1200916,420702228,2019947,1929544,1439,76,4373048,4466907,2218558,312,2718197,121567,4561426
13500,2026-03-08 19:23:32.924,2658433,1130,120269,187,2000,163,5737783,2284087,12818929,78318,1836740,718191,311854984,1541734,1381595,13642,5162,4144284,4333908,2200360,205,2673500,109051,2743732
14000,2026-03-08 19:23:33.424,17783276,2096,23152788,194,2676,205,21992003,2748032,9402733,59333,2933437,4295378,769759309,2814428,2310059,13211,6848,3937229,4231204,2128392,14513,13990051,11312644,24269688
14500,2026-03-08 19:23:33.924,15740445,2128,16083063,185,1904,202,10502639,2466312,2805239,67781,2615636,3104168,629833020,2371900,1886003,11993,6453,3775973,4113254,1914969,16423,14413317,11792698,24811473
15000,2026-03-08 19:23:34.424,11132708,1352,9693272,211,2135,208,14642744,2553037,9732653,75225,2259163,2099384,506184036,2092256,1896656,11113,2459,4391653,4748965,2527995,364,4101158,3829081,14963205
15500,2026-03-08 19:23:34.924,2636388,1396,119557,193,1639,163,3435961,2419884,5558435,50467,2441202,1934676,414859469,1528557,1060156,32660,18044,4222553,4409892,2084606,20894,10593384,2239829,2815067
16000,2026-03-08 19:23:35.424,17474473,1028,21129926,307,2009,231,21239674,2235326,9847828,51455,2522151,3200356,648139907,2570354,2220392,1779,134,4215080,4378288,2188412,258,4759075,6600020,25102205
16500,2026-03-08 19:23:35.924,15190418,1843,14096737,246,2241,216,21959227,2740375,15727731,60366,2813508,3929882,732931358,2751303,2353814,13371,6729,4097057,4245066,1812983,13579,12821866,11186135,26134726
17000,2026-03-08 19:23:36.424,2618926,1393,337912,212,2208,177,9878847,2154051,8252570,59624,2409432,2626793,512235170,1864316,1398373,24808,12182,3953308,4130308,2020449,8287,4552106,118880,2790808
